"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"300183","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300182","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300181","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300180","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300179","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300178","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300177","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300176","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300175","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300174","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300173","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300172","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300171","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300170","2001-08-15",NA,0.106628242074927,NA,NA,NA,NA,NA,NA,NA,NA,9.01517857142857,NA,NA
"300169","2001-08-16",NA,0,NA,NA,NA,NA,NA,NA,40.8163265306122,NA,8.92848809523809,NA,NA
"300168","2001-08-17",NA,0.0544747081712064,0.0537009834153779,NA,NA,NA,NA,NA,42.5012709710218,NA,8.86268968253968,NA,NA
"300167","2001-08-20",NA,0.299610894941634,0.118028534370947,NA,NA,NA,NA,NA,49.4724904635898,NA,8.84766439153439,NA,NA
"300166","2001-08-21",NA,0.601167315175096,0.318417639429312,0.163382385738546,NA,NA,NA,NA,56.465025384526,NA,8.88630913932981,NA,NA
"300165","2001-08-22",NA,0.625498007968128,0.50875873936162,0.315068304387293,NA,NA,NA,NA,56.6733233932881,NA,8.9214679207525,NA,NA
"300164","2001-08-23",NA,0.767782426778243,0.664815916640489,0.497330765143807,9.56028667743349,8.62737998923317,9.09383333333333,0.784415726341497,58.9171923366149,NA,8.96960553131883,NA,NA
"300163","2001-08-24",NA,0.808193668528864,0.733824701091745,0.635799785697951,9.62195065361757,8.6254660130491,9.12370833333333,0.913578878410901,61.6229989889605,NA,9.03365812714299,NA,NA
"300162","2001-08-27",NA,0.91449814126394,0.830158078857016,0.742932898863083,9.696822285338,8.613177714662,9.155,0.94141164573449,63.8430661497763,NA,9.10850371019059,NA,NA
"300161","2001-08-28",NA,0.814126394052045,0.845606067948283,0.803196282632348,9.73821395946862,8.60386937386471,9.17104166666667,0.827465161863119,60.3430291431009,NA,9.15536988216518,NA,NA
"300160","2001-08-29",NA,0.872987477638641,0.867204004318209,0.847656050374503,9.7860994023966,8.5864005976034,9.18625,0.881693025647052,62.3985613653912,NA,9.21265389787649,NA,NA
"300159","2001-08-30",NA,0.695885509838999,0.794333127176562,0.835714399814351,9.79341844096698,8.58499822569968,9.18920833333333,0.706847196178395,56.1884205376984,9.0704,9.22930004482629,NA,NA
"300158","2001-08-31",NA,0.722719141323793,0.763864042933811,0.808467058142861,9.79128257550574,8.58571742449426,9.1885,0.746633981650736,56.8885212815778,9.0919,9.24872670551612,2.12580112990488,NA
"300157","2001-09-04",NA,0.445438282647586,0.621347644603459,0.726514938237944,9.79474315916482,8.59992350750185,9.19733333333333,0.493862393104159,48.299572077376,9.0973,9.21389647811397,1.71697505498978,NA
"300156","2001-09-05",12.0637383570092,0.302325581395349,0.490161001788909,0.625124229775393,9.79833595301978,8.58224738031356,9.19029166666667,0.257864402361696,44.5601458879534,9.0855,9.15704361436544,1.20283635534291,NA
