"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"356742","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356741","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356740","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356739","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356738","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356737","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356736","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356735","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356734","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356733","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356732","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356731","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356730","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356729","2001-08-15",NA,0.920000000000002,NA,NA,NA,NA,NA,NA,NA,NA,4.46285714285714,NA,NA
"356728","2001-08-16",NA,0.920000000000002,NA,NA,NA,NA,NA,NA,48.5294117647059,NA,4.46514285714286,NA,NA
"356727","2001-08-17",NA,0,0.613333333333335,NA,NA,NA,NA,NA,30,NA,4.41512380952381,NA,NA
"356726","2001-08-20",NA,0.926829268292682,0.615609756097561,NA,NA,NA,NA,NA,50.0230432444888,NA,4.42244063492064,NA,NA
"356725","2001-08-21",NA,0.0243902439024385,0.317073170731707,0.515338753387534,NA,NA,NA,NA,38.4810304939299,NA,4.37944855026455,NA,NA
"356724","2001-08-22",NA,0.926829268292682,0.626016260162601,0.519566395663956,NA,NA,NA,NA,50.7250116849289,NA,4.39152207689594,NA,NA
"356723","2001-08-23",NA,0.926829268292682,0.626016260162601,0.523035230352303,4.64153215623428,4.24413451043239,4.44283333333333,0.568361418225937,50.725011684929,NA,4.40198579997648,NA,NA
