"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"425446","2015-11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425445","2015-11-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425444","2015-11-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425443","2015-11-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425442","2015-11-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425441","2015-11-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425440","2015-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425439","2015-12-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425438","2015-12-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425437","2015-12-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425436","2015-12-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425435","2015-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425434","2015-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425433","2015-12-10",NA,0.387179487179486,NA,NA,NA,NA,NA,NA,NA,NA,24.9115,NA,NA
"425432","2015-12-11",NA,0.153846153846159,NA,NA,NA,NA,NA,NA,48.3552631578949,NA,24.9059666666667,NA,NA
"425431","2015-12-14",NA,0,0.180341880341882,NA,NA,NA,NA,NA,29.9592391304349,NA,24.8318377777778,NA,NA
"425430","2015-12-15",NA,0.236470588235291,0.130105580693817,NA,NA,NA,NA,NA,39.5347788065129,NA,24.7943927407407,NA,NA
"425429","2015-12-16",NA,0.294117647058824,0.176862745098038,0.162436735377912,NA,NA,NA,NA,41.6297994015341,NA,24.768473708642,NA,NA
"425428","2015-12-17",NA,0.752941176470587,0.427843137254901,0.244937154348919,NA,NA,NA,NA,54.9955017496286,NA,24.7980105474897,NA,NA
"425427","2015-12-18",NA,0.705882352941176,0.584313725490196,0.396339869281045,25.1693890555281,24.6517109444719,24.91055,0.659912755755579,53.6388751477506,NA,24.8182758078244,NA,NA
"425426","2015-12-21",NA,0.776470588235296,0.745098039215686,0.585751633986927,25.1815305760929,24.6499027572405,24.9157166666667,0.75885903970137,55.4154892607957,NA,24.8438390334478,NA,NA
"425425","2015-12-22",NA,0.837378640776698,0.773243860651057,0.700885208452313,25.1964864238505,24.6464135761495,24.92145,0.796718275313626,56.3168685888438,NA,24.8699938289881,NA,NA
"425424","2015-12-23",NA,0.873786407766991,0.829211878926329,0.782517926264357,25.212110208748,24.642789791252,24.92745,0.797225712386938,57.2476931319866,NA,24.8966613184564,NA,NA
"425423","2015-12-24",NA,0.916666666666666,0.875943905070119,0.826133214882501,25.2324623455614,24.6361043211052,24.9342833333333,0.850544457233752,58.8225704515135,NA,24.9264398093289,NA,NA
"425422","2015-12-28",NA,0.613138686131388,0.801197253521682,0.835451012506043,25.3046262358694,24.6002737641306,24.95245,1.08808151214996,60.9892004190535,24.90008,24.961581168085,NA,NA
"425421","2015-12-29",NA,0.45985401459854,0.663219789132198,0.780120315908,25.3165092539282,24.6056907460718,24.9611,0.662113580414293,52.1278264037685,24.90328,24.9640370123403,0.296484893805604,NA
"425420","2015-12-30",NA,0.45985401459854,0.51094890510949,0.658455315921123,25.3325378907159,24.6059954426174,24.9692666666667,0.725818418588034,52.1278264037685,24.90448,24.966165410695,0.275424946119696,NA
"425419","2015-12-31",28.0917111135372,0.746575342465755,0.555427790554278,0.576532161598655,25.4362621341614,24.5486045325053,24.9924333333333,1.14315339488436,65.0340972909439,24.92368,25.0293433559356,0.402521293341174,NA
"425418","2016-01-04",27.2250250017832,0.541095890410959,0.582508415825085,0.549628370496284,25.4708581331772,24.5490085334895,25.0099333333333,0.800193581932535,54.6803608060489,24.93088,25.0440975751442,0.401697321652872,NA
"425417","2016-01-05",26.4202450408688,0.499602859412233,0.595758030762983,0.577898079047448,25.4978070479107,24.5577262854227,25.0277666666667,0.743489718260163,55.6932211975216,24.93928,25.0622178984583,0.409172062206875,NA
"425416","2016-01-06",26.0919282338429,0.413223140495869,0.484640630106354,0.55430235889814,25.5202412869599,24.5719587130401,25.0461,0.711505169643265,53.1354472248375,24.95008,25.0672555119972,0.384880823343914,NA
"425415","2016-01-07",25.7870626273188,0.197674418604653,0.370166806170918,0.483521822346752,25.5330894512237,24.5934438821097,25.0632666666667,0.641968423397966,53.7078371625469,24.95808,25.0742881103976,0.367819065420583,NA
"425414","2016-01-08",25.9809633237472,0.395348837209302,0.335415465436608,0.39674096723796,25.5674079229039,24.6021254104295,25.0847666666667,0.78513241437245,58.3629583118562,24.96768,25.1030496956779,0.404278495951971,NA
"425413","2016-01-11",26.1050663197227,0.361445783132532,0.318156346315496,0.341246205974341,25.5961480502522,24.6089852830811,25.1025666666667,0.747274317992681,57.9935226909993,24.98448,25.1266430695875,0.424969283077714,0.374138687213378
"425412","2016-01-12",25.9303995772045,0.301204819277109,0.352666479872981,0.335412763875029,25.6151908461608,24.6299424871726,25.1225666666667,0.686856439110504,56.0819991771731,24.99968,25.1404239936425,0.42041326108353,0.383393601987408
"425411","2016-01-13",25.7682090305804,0.337349397590364,0.333333333333335,0.334718719840604,25.5784113715323,24.7440552951343,25.1612333333333,0.674306075604061,56.9978531353471,25.01648,25.1563674611569,0.421535373429416,0.39102195627581
"425410","2016-01-14",24.6857816416316,0.144578313253014,0.261044176706829,0.315681329971049,25.5400156167497,24.837051049917,25.1885333333333,0.540020983504328,50.9011547476534,25.02808,25.1488517996693,0.366862000608026,0.386189965142253
"425409","2016-01-15",23.4746959325735,0,0.160642570281126,0.251673360107097,25.4956095602411,24.9088237730922,25.2022166666667,0.138340479073668,42.3616642722486,25.02488,25.1050048930467,0.230953826754288,0.35514273746466
"425408","2016-01-19",22.3501163455909,0.242424242424241,0.129000851892419,0.183562532960125,25.4911813111013,24.9252520222321,25.2082166666667,0.379460794823018,50.0906750541259,25.02884,25.0990042406405,0.198046585485279,0.323723507068784
"425407","2016-01-20",21.5667516377134,0.181818181818182,0.141414141414141,0.143685854529229,25.4842245051111,24.941875494889,25.21305,0.273116576815338,48.345289651691,25.03404,25.0858036752218,0.150930110880054,0.289164827831038
"425406","2016-01-21",21.1392336586836,0.111111111111111,0.178451178451178,0.149622057252579,25.4884077793684,24.9326922206316,25.21055,0.12711739232626,46.317553072406,25.05724,25.0650298518589,0.0900100511747715,0.249333872499785
"425405","2016-01-22",19.9285756195653,0.342105263157893,0.211678185362395,0.177181168409238,25.4871924494168,24.9407742172499,25.2139833333333,0.389004435742407,51.0549925073798,25.0784,25.067025871611,0.0889902091337991,0.217265139826587
"425404","2016-01-25",19.1710367869498,0.25,0.234405458089668,0.208178273967747,25.4875845697001,24.9393820969666,25.2134833333333,0.268668196561887,48.5920190934514,25.0944,25.0580890887295,0.0617096983277055,0.186154051526811
"425403","2016-01-26",18.5139850356827,0.236111111111109,0.276072124756334,0.240718589402799,25.4908190962683,24.9264809037317,25.20865,0.212967622118173,48.2784957129372,25.0944,25.0490105435656,0.0364435227803828,0.156211945777525
"425402","2016-01-27",17.6688254258228,0.423529411764706,0.303213507625272,0.271230363490425,25.4712668587677,24.9232331412324,25.19725,0.39310268427131,52.1978882511709,25.10072,25.0568758044235,0.0538127008629985,0.13573209679462
"425401","2016-01-28",18.1744272974879,0,0.219880174291939,0.266388602224515,25.4866944058548,24.8908389274785,25.1887666666667,0.0265630505425593,43.2784372440769,25.09272,25.0239590305004,-0.0281372404518088,0.102958229345334
"425400","2016-01-29",18.3427578780982,0.28358208955224,0.235703833772316,0.252932505229842,25.4877965699014,24.8814034300986,25.1846,0.278031789667422,49.2347039309505,25.09112,25.0207644931003,-0.0314850247222775,0.0760695785318119
"425399","2016-02-01",18.4990648458078,0.384615384615383,0.222732491389208,0.226105499817821,25.411512183199,24.9103544834677,25.1609333333333,0.358461052536233,50.9851002776195,25.09072,25.0259958940203,-0.014617682238105,0.0579321263778286
"425398","2016-02-02",18.7746390252211,0.343750000000003,0.337315824722543,0.265250716628022,25.3967555905685,24.9031110760982,25.1499333333333,0.331322613285785,50.0557527260114,25.08712,25.0265297748176,-0.0108015951871598,0.0441853820648309
"425397","2016-02-03",19.0305293346764,0.234375000000003,0.320913461538464,0.293653925883405,25.3851536867931,24.8933796465402,25.1392666666667,0.30492395799502,47.8634508424617,25.07792,25.0176591381752,-0.0300081370679273,0.0293466782382793
"425396","2016-02-04",18.9682528936291,0.38461538461539,0.320913461538466,0.326380915933157,25.3730807440604,24.8897859226062,25.1314333333333,0.41426903104679,49.5626915772662,25.07912,25.0166379197519,-0.0287720073761766,0.0177229411153881
"425395","2016-02-05",19.40479731987,0.204081632653063,0.274357339089486,0.305394754055472,25.3665023313108,24.8803643353558,25.1234333333333,0.321518442523249,46.3116847087883,25.07632,25.0024195304516,-0.0593777716791699,0.00230279855647649
"425394","2016-02-08",19.3472474699573,0.537037037037039,0.375244684768498,0.323505161798817,25.3343618509003,24.8948381490997,25.1146,0.656381403441407,52.6647841076505,25.06272,25.0154302597247,-0.022068405713549,-0.0025714422975286
"425393","2016-02-09",19.7885230399114,0.351851851851852,0.364323507180652,0.337975177012879,25.2954438009861,24.9107561990139,25.1031,0.535266711474748,49.3545111154625,25.05712,25.0133728917614,-0.0244850055782897,-0.00695415495368082
"425392","2016-02-10",20.4313215221999,0.259259259259259,0.382716049382717,0.374094747110622,25.2594216383478,24.9211116949855,25.0902666666667,0.380976993266951,47.7387784968312,25.04792,25.0049231728599,-0.0420503703911113,-0.0139733980411669
"425391","2016-02-11",23.9914219540163,0,0.203703703703704,0.316914420089025,25.5280248024191,24.5182418642476,25.0231333333333,-0.548872280661842,23.3686143921235,24.98276,24.8004000831453,-0.529452290831334,-0.1170691765992
"425390","2016-02-12",26.0060497424714,0.489089941458222,0.249449733572494,0.278623162219639,25.5148149815864,24.4767850184136,24.9958,0.186136227701772,42.8806449368435,24.95356,24.7456800720592,-0.611613046847215,-0.215977950648803
"425389","2016-02-16",27.8767755460369,0.552953698775945,0.347347880078056,0.266833772451418,25.5213155999397,24.4336177333936,24.9774666666667,0.174419391427273,44.855118901576,24.92236,24.7142560624513,-0.63053835200515,-0.298890030920072
"425388","2016-02-17",27.9533242493879,0.69664715274082,0.579563597658329,0.392120403769627,25.5063256422396,24.4286076910937,24.9674666666667,0.474514049211614,49.1170606456946,24.90236,24.7230219207912,-0.55103994876351,-0.34932001448876
"425387","2016-02-18",28.0244051882138,0.771154869611496,0.673585240376087,0.533498906037491,25.4989431981186,24.4266568018814,24.9628,0.531583601904775,51.2221656973114,24.88996,24.7492856646857,-0.437300326674728,-0.366916076925954
"425386","2016-02-19",27.9339252830903,0.803086748270356,0.756962923540891,0.670037253858436,25.5023669220905,24.4278997445762,24.9651333333333,0.578984885199564,52.1361053374358,24.87876,24.7800475760609,-0.323910888894197,-0.358315039319602
"425385","2016-02-22",27.8973340173756,0.792442788717403,0.788894802199752,0.73981432203891,25.4910008988663,24.4279324344671,24.9594666666667,0.575755547295675,51.7877794767445,24.87316,24.8040412325861,-0.237869059895812,-0.334225843434844
"425384","2016-02-23",28.1046335971968,0.739222990952634,0.778250842646798,0.774702856129147,25.4801882579232,24.4234117420768,24.9518,0.482525475926313,49.9894063650592,24.87476,24.8115024015746,-0.199923170482208,-0.307365308844317
"425383","2016-02-24",28.4876804868907,0.69664715274082,0.742770977470286,0.769972207438945,25.4702995697905,24.4139670968762,24.9421333333333,0.415935557907253,48.537285826183,24.86356,24.8073020813647,-0.193636250594753,-0.284619497194404
"425382","2016-02-25",28.4179671657088,0.792442788717403,0.742770977470286,0.75459759919579,25.4567115045619,24.4140218287714,24.9353666666667,0.565183983542507,51.9213905089028,24.86196,24.8276618038494,-0.12864489092107,-0.253424575939737
"425381","2016-02-26",27.6363763541477,0.840340606705694,0.776476849387972,0.754006268109515,25.4729042744329,24.4188290589004,24.9458666666667,0.662037772526229,53.5655578655341,24.86676,24.8573068966695,-0.0474008551495042,-0.212219831781691
"425380","2016-02-29",27.0627190996967,0.81373070782331,0.815504701082136,0.778250842646798,25.4750901442501,24.4189765224166,24.9470333333333,0.619589405333809,52.491578508318,24.86356,24.8763326437802,0.000698309714008971,-0.169636203482551
"425379","2016-03-01",26.6549243006744,0.832308552263834,0.828793288930946,0.806924946467018,25.4681537715097,24.4182462284903,24.9432,0.566799532777564,51.600252056802,24.86196,24.8874882912762,0.0255309371052004,-0.130602775365001
"425378","2016-03-02",26.225799614465,0.860257126886529,0.835432128991224,0.826576706334769,25.4665862093097,24.4181471240236,24.9423666666667,0.602660550187289,52.6818591609774,24.86276,24.9038231857727,0.060700069472408,-0.0923422063975189
"425377","2016-03-03",25.9659797038818,0.666666666666664,0.786410781939009,0.81687873328706,25.4646187785873,24.4177812214127,24.9412,0.575274334074028,51.6867284133768,24.85724,24.912646761003,0.0747371847583667,-0.0589263281663418
"425376","2016-03-04",25.8838756533978,0.553333333333332,0.693419042295509,0.771753984408581,25.4550447966215,24.4163552033786,24.9357,0.542649892988421,50.5303276427733,24.86184,24.9142938595359,0.0704735586192884,-0.0330463508092157
"425375","2016-03-07",25.3309695187351,0.354166666666663,0.52472222222222,0.668184015485579,25.4539480960682,24.4161852372651,24.9350666666667,0.585697163450143,51.1837677145421,24.85984,24.9190546782645,0.0743317099198615,-0.0115707386634003
"425374","2016-03-08",24.8175566794054,0.510638297872338,0.472712765957445,0.563618010158391,25.4397171824137,24.4190828175863,24.9294,0.637757462265906,53.0536376172117,24.85824,24.9325140544959,0.0989009914469152,0.0105236073586628
"425373","2016-03-09",24.3408161857421,0.582978723404251,0.482594562647751,0.493343183609138,25.4368603057706,24.4195396942294,24.9282,0.661666503952476,53.975782391049,24.8592,24.9487121805631,0.1278759588909,0.0339940776651102
"425372","2016-03-10",23.6319148872856,0.59574468085106,0.563120567375883,0.506142631993693,25.4433938174819,24.4190061825181,24.9312,0.674543301673419,54.1469503235648,24.8632,24.963550556488,0.151011785532762,0.0573976192386405
"425371","2016-03-11",22.9736493958616,0.702127659574466,0.626950354609926,0.55755516154452,25.2548340360805,24.7251659639195,24.99,0.78319622775833,55.6279300614426,24.8672,24.9830771489563,0.183357672454965,0.0825896298819053
"425370","2016-03-14",22.6297477486068,0.59574468085106,0.631205673758862,0.607092198581557,25.2356161901039,24.7873838098961,25.0115,0.697442228423993,53.7580694291157,24.8732,24.9933335290954,0.190621460238694,0.104195995953263
"425369","2016-03-15",22.2316533108406,0.538461538461542,0.612111292962356,0.623422440443715,25.1794332398317,24.894233426835,25.0368333333333,0.826671555944385,55.0595230202116,24.8732,25.0075557252161,0.206885249519528,0.124733846666516
"425368","2016-03-16",21.6172992784225,0.507692307692306,0.547299509001636,0.596872158574285,25.1877376248266,24.9052623751734,25.0465,0.807401563287126,54.6454552106411,24.8768,25.0185482951872,0.214060490985557,0.142599175530324
"425367","2016-03-17",20.4908352297516,0.671232876712334,0.572462240955394,0.577291014306462,25.2131882463707,24.9011450869627,25.0571666666667,0.989782675009696,57.4052080916621,24.8856,25.0387418558289,0.242713209330958,0.162621982290451
"425366","2016-03-18",19.1974358123816,0.617977528089884,0.598967570831508,0.57290977359618,25.2460088233113,24.8889911766887,25.0675,1.02985242734119,58.4268030863605,24.95476,25.0602429417184,0.271899711028478,0.184477528038056
"425365","2016-03-21",17.9964220676808,0.842696629213483,0.710635678005234,0.627355163264045,25.2914320382395,24.8719012950938,25.0816666666667,1.0760404228176,61.7223741242283,24.99116,25.0922105494893,0.323405109912311,0.212263044412907
"425364","2016-03-22",16.9309095597208,0.714285714285715,0.724986623863027,0.678196624233256,25.3170729938771,24.8822603394563,25.0996666666667,0.945402553715126,59.1956281842289,25.02076,25.1132491428907,0.344095638425945,0.238629563215515
"425363","2016-03-23",16.097039612775,0.670329670329672,0.742437337942957,0.726019879937073,25.3191547295599,24.9221786037734,25.1206666666667,0.884573924601155,58.169831167062,25.03876,25.1288159238386,0.349988820225433,0.260901414617499
