"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"453331","2006-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453330","2006-07-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453329","2006-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453328","2006-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453327","2006-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453326","2006-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453325","2006-08-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453324","2006-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453323","2006-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453322","2006-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453321","2006-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453320","2006-08-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453319","2006-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453318","2006-08-15",NA,0.0352941176470601,NA,NA,NA,NA,NA,NA,NA,NA,40.2571428571429,NA,NA
"453317","2006-08-16",NA,0.0941176470588214,NA,NA,NA,NA,NA,NA,53.2786885245901,NA,40.2441904761905,NA,NA
"453316","2006-08-17",NA,0.470588235294115,0.199999999999999,NA,NA,NA,NA,NA,63.5693215339233,NA,40.3182984126984,NA,NA
"453315","2006-08-18",NA,0.547368421052632,0.370691434468523,NA,NA,NA,NA,NA,66.5451135653261,NA,40.4145252910053,NA,NA
"453314","2006-08-21",NA,0.557894736842107,0.525283797729618,0.36532507739938,NA,NA,NA,NA,66.788572822795,NA,40.5005885855379,NA,NA
"453313","2006-08-22",NA,0.721649484536083,0.608970880810274,0.501648704336138,NA,NA,NA,NA,70.6931140446414,NA,40.6205101074662,NA,NA
"453312","2006-08-23",NA,0.539999999999999,0.606514740459396,0.580256472999763,41.8100453185496,39.5666213481171,40.6883333333333,1.12033154901094,72.9122497313905,NA,40.7537754264707,NA,NA
"453311","2006-08-24",NA,0.166666666666667,0.47610538373425,0.56386366833464,41.8230253297629,39.6516413369038,40.7373333333333,0.620967395693477,51.5230069674149,NA,40.7199387029413,NA,NA
"453310","2006-08-25",NA,0.38,0.362222222222222,0.481614115471956,41.8556748633562,39.7409918033105,40.7983333333333,0.715162266439183,58.9361330940231,NA,40.7759468758825,NA,NA
