"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"489606","2008-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489605","2008-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489604","2008-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489603","2008-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489602","2008-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489601","2008-05-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489600","2008-05-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489599","2008-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489598","2008-05-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489597","2008-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489596","2008-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489595","2008-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489594","2008-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489593","2008-06-04",NA,0.297872340425531,NA,NA,NA,NA,NA,NA,NA,NA,19.1164285714286,NA,NA
"489592","2008-06-05",NA,0.304964539007092,NA,NA,NA,NA,NA,NA,46.6981132075471,NA,19.1049047619048,NA,NA
"489591","2008-06-06",NA,0.302158273381294,0.301665050937972,NA,NA,NA,NA,NA,46.4620938628158,NA,19.0935841269841,NA,NA
"489590","2008-06-09",NA,0.307692307692307,0.304938373360231,NA,NA,NA,NA,NA,45.9617603428383,NA,19.0811062433863,NA,NA
"489589","2008-06-10",NA,0,0.203283527024534,0.269962317107579,NA,NA,NA,NA,20.2486217162774,NA,18.7782920776014,NA,NA
"489588","2008-06-11",NA,0,0.102564102564102,0.203595334316289,NA,NA,NA,NA,14.3058444652602,NA,18.3145198005879,NA,NA
"489587","2008-06-12",NA,0.282608695652174,0.0942028985507248,0.133350176046454,20.6853944610795,17.1249388722538,18.9051666666667,-0.0819011869817119,32.6362253084954,NA,18.0859171605095,NA,NA
"489586","2008-06-13",NA,0.315217391304348,0.199275362318841,0.132014121144556,20.7511051949267,16.8175614717399,18.7843333333333,0.0243474760503754,34.3803862026797,NA,17.9077948724416,NA,NA
"489585","2008-06-16",NA,0.271739130434783,0.289855072463768,0.194444444444445,20.7399994323797,16.5803339009537,18.6601666666667,0.105697464309251,33.1480162706238,NA,17.726755556116,NA,NA
"489584","2008-06-17",NA,0.397826086956522,0.328260869565217,0.272463768115942,20.6656994005099,16.4473005994902,18.5565,0.231375168608346,39.8784519553725,NA,17.6471881486339,NA,NA
"489583","2008-06-18",NA,0.287912087912088,0.319159101767797,0.312425014598928,20.6013305363082,16.2713361303585,18.4363333333333,0.179060401381309,36.3454864361096,NA,17.5088963954827,NA,NA
"489582","2008-06-19",NA,0.285714285714286,0.323817486860965,0.323745819397993,20.549514187652,16.0718191456813,18.3106666666667,0.16113517800767,36.2789228316305,18.2812,17.3877102094183,NA,NA
"489581","2008-06-20",NA,0.210989010989011,0.261538461538461,0.301505016722408,20.5168387043049,15.8414946290285,18.1791666666667,0.140846397691619,33.9990199651994,18.1648,17.2373488481626,-6.06496527972538,NA
"489580","2008-06-23",NA,0.316666666666666,0.271123321123321,0.285493089840916,20.428015697856,15.736984302144,18.0825,0.294110665254513,38.5265082316162,18.06,17.1563690017409,-5.85893700667529,NA
"489579","2008-06-24",37.5315264513206,0.435714285714285,0.321123321123321,0.284595034595034,20.3045200547391,15.6838132785942,17.9941666666667,0.368526606549388,44.1063558449679,17.9752,17.1528531348421,-5.40077098152944,NA
"489578","2008-06-25",35.9413083757497,0.593434343434343,0.448605098605098,0.346950580283913,20.2170562765985,15.6626103900682,17.9398333333333,0.463442314576089,49.2641868026882,17.9104,17.2191393835298,-4.73908594800011,NA
"489577","2008-06-26",35.0299130775258,0.481012658227848,0.503387095792159,0.424371838506859,20.0452910688092,15.6517089311908,17.8485,0.414610298632079,45.362970602407,17.8288,17.2165874657258,-4.37404996325425,NA
"489576","2008-06-27",34.6235535536382,0.401595744680851,0.492014248781014,0.481335481059424,19.8142191573462,15.6441141759871,17.7291666666667,0.348325161398246,42.2409273104219,17.7412,17.1623758036291,-4.21914494622833,NA
"489575","2008-06-30",34.2462197100284,0.413793103448276,0.432133835452325,0.475845060008499,19.5260378692368,15.6742954640966,17.6001666666667,0.342452254199682,39.8907971324793,17.6412,17.0740590298119,-4.19578692380277,NA
"489574","2008-07-01",34.7463354337602,0,0.271796282709709,0.398648122314349,19.3096181833465,15.5603818166535,17.435,0.120811672665853,34.2620277729246,17.5072,16.8841844925036,-4.53282323864936,NA
"489573","2008-07-02",34.8976501139069,0.266393442622951,0.226728848690409,0.310219655617481,19.0512953341919,15.5563713324748,17.3038333333333,0.269046003212054,41.1057552884902,17.4152,16.8062932268365,-4.44564004248654,-4.8701338144835
"489572","2008-07-03",34.8251039016125,0.327868852459016,0.198087431693989,0.232204187698036,18.7154986196811,15.6365013803189,17.176,0.322669538959018,42.5910698725201,17.3132,16.7587874632583,-4.2577172238912,-4.74765049636504
"489571","2008-07-07",35.9874408257406,0,0.198087431693989,0.207634570692796,18.4372656871801,15.5514009794866,16.9943333333333,-0.0293618452015454,33.4940698821791,17.1392,16.5176158014905,-4.78362671151805,-4.75484573939564
"489570","2008-07-08",37.0991004660617,0,0.109289617486339,0.168488160291439,18.0991111634457,15.5042221698876,16.8016666666667,-0.105677803778271,33.2392144908123,16.956,16.3019336946251,-5.18090996414903,-4.84005858434632
"489569","2008-07-09",38.1519401226818,0,3.70074341541719e-17,0.102459016393443,18.1112071711666,15.2534594955,16.6823333333333,-0.0280382214458538,33.0765912604922,16.7888,16.1110092020084,-5.46113957964921,-4.9642747834069
"489568","2008-07-10",40.0961006958059,0,3.70074341541719e-17,0.0364298724954463,18.4926383829383,14.6113616170617,16.552,-0.245115634480361,25.0314684534256,16.5496,15.7015413084073,-6.55411322338102,-5.28224247140172
"489567","2008-07-11",41.5784563830686,0.0415841584158417,0.013861386138614,0.00462046204620469,18.6647162583307,14.1416170750027,16.4031666666667,-0.0629989298900049,27.2191394349464,16.3184,15.374669133953,-7.27032991936435,-5.67985996099425
"489566","2008-07-14",41.4055885180908,0.397590361445783,0.146391506620542,0.0534176309197186,18.6189309499586,14.0297357167081,16.3243333333333,0.28478434312172,42.4600561740392,16.1584,15.3273799160926,-6.84935097252168,-5.91375816329973
"489565","2008-07-15",41.605223112145,0.285140562248996,0.24143836070354,0.133897084487565,18.571439683284,13.8625603167161,16.217,0.214652561242822,39.6322959550818,15.9768,15.2117292606136,-6.7366067017808,-6.07832787099595
"489564","2008-07-16",41.7905980923382,0.293172690763052,0.325301204819277,0.23771035738112,18.446636517614,13.729363482386,16.088,0.236146994805756,39.9399794079069,15.8844,15.1168320258651,-6.55636049050712,-6.17393439489818
"489563","2008-07-17",41.3476987399362,0.453441295546559,0.343918182852869,0.303552582791896,18.3396656889396,13.6803343110605,16.01,0.387680593868479,45.7468691767001,15.8836,15.1385877557498,-5.93202118993109,-6.12555175390477
"489562","2008-07-18",40.595404234634,0.497975708502024,0.414863231603878,0.361360873092008,18.260179563169,13.650820436831,15.9555,0.445292466966658,47.2947057665561,15.8396,15.1867760549831,-5.25900461421387,-5.95224232596659
"489561","2008-07-21",40.0856629532158,0.567088607594937,0.506168537214507,0.421649983890418,18.2049167739888,13.6107498926779,15.9078333333333,0.42138581901848,45.8849141919185,15.7808,15.1992059143187,-4.78643703485488,-5.71908126774425
"489560","2008-07-22",39.8488559437275,0.49620253164557,0.520422282580844,0.480484683799743,18.0587150154649,13.5756183178685,15.8171666666667,0.385384285016911,44.0837992356195,15.7188,15.1726451257429,-4.50839411857952,-5.4769438379113
"489559","2008-07-23",39.4635276814787,0.691139240506329,0.584810126582279,0.537133648792543,17.863449737762,13.6168835955714,15.7401666666667,0.525079086592314,49.9070500217607,15.6644,15.2522924423105,-3.83602377953871,-5.14875982623678
"489558","2008-07-24",39.5128353979419,0.653179190751445,0.613506987634448,0.572913132265857,17.5355087060132,13.7194912939868,15.6275,0.471829269001443,46.7094481399683,15.612,15.2586534500024,-3.51038249315311,-4.82108435962005
"489557","2008-07-25",39.6421285752713,0.703583061889251,0.682633831049008,0.626983648421912,17.2323959924274,13.8086040075726,15.5205,0.445333516903301,46.0336381364602,15.556,15.2508329900021,-3.2674130443744,-4.51035009657092
"489556","2008-07-28",40.0187916576101,0.602605863192183,0.653122705277626,0.649754507987028,16.9808970669755,13.8711029330245,15.426,0.429470143718266,43.9125677067983,15.5012,15.2027219246685,-3.20230237885529,-4.24874055302779
"489555","2008-07-29",39.6896773241875,0.674121405750799,0.660103443610744,0.665286659979126,16.7309120347929,13.9707546318738,15.3508333333333,0.550419829868936,46.1535241346013,15.442,15.1956923347127,-2.97952555372564,-3.99489755316736
"489554","2008-07-30",38.8742080250275,0.550314465408805,0.609013911450595,0.640746686779655,16.67200692382,13.97599307618,15.324,0.556626811023355,45.0355646600189,15.3568,15.1696000234177,-2.84994325908953,-3.7659066943518
"489553","2008-07-31",38.1169865329504,0.401015228426396,0.541817033195333,0.603644796085558,16.5138983405899,14.0337683260768,15.2738333333333,0.588503424705774,47.32566083679,15.2608,15.1803200202953,-2.58504946089461,-3.52973524766036
"489552","2008-08-01",36.297602582501,0.545023696682464,0.498784463505888,0.549871802717272,16.3573745956726,14.1202920709941,15.2388333333333,0.80895894945403,50.5225420870562,15.1972,15.2376106842559,-2.15937893259426,-3.25566398464714
"489551","2008-08-04",34.69033040996,0.507246376811594,0.484428433973485,0.508343310224902,16.3992708741562,14.1133957925105,15.2563333333333,0.745128588973423,49.9781137734861,15.1468,15.2792625930218,-1.83263460455679,-2.97105810862907
"489550","2008-08-05",33.2697724495931,0.363095238095238,0.471788437196432,0.485000444891935,16.4344685709329,14.1215314290671,15.278,0.666599137675868,49.4994186051446,15.1068,15.3086942472856,-1.58175295271152,-2.69319707744556
"489549","2008-08-06",31.9506829149668,0.363095238095238,0.411145617667357,0.455787496279091,16.4672062061439,14.1354604605228,15.3013333333333,0.64524167881625,49.4994186051446,15.1008,15.3342016809808,-1.36711924901476,-2.4279815117594
"489548","2008-08-07",31.1117929237636,0.214285714285714,0.313492063492063,0.398808706118617,16.2788901979337,14.498776468733,15.3888333333333,0.511890626042282,46.8948050951756,15.0588,15.3229747901834,-1.31317792912637,-2.2050207952328
"489547","2008-08-08",29.079841291997,0.294117647058824,0.290499533146592,0.338379071435337,16.0489744399211,14.9220255600789,15.4855,0.770198591477023,48.5281783497938,15.0164,15.3319114848256,-1.18327805159502,-2.00067224650524
