"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"557372","2013-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557371","2013-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557370","2013-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557369","2013-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557368","2013-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557367","2013-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557366","2013-03-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557365","2013-03-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557364","2013-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557363","2013-03-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557362","2013-03-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557361","2013-03-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557360","2013-03-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557359","2013-03-15",NA,0.230769230769235,NA,NA,NA,NA,NA,NA,NA,NA,19.9971428571429,NA,NA
"557358","2013-03-18",NA,0.0909090909091027,NA,NA,NA,NA,NA,NA,100,NA,19.9975238095238,NA,NA
"557357","2013-03-19",NA,0,0.107226107226113,NA,NA,NA,NA,NA,100,NA,19.997853968254,NA,NA
"557356","2013-03-20",NA,0,0.0303030303030342,NA,NA,NA,NA,NA,100,NA,19.9981401058201,NA,NA
"557355","2013-03-21",NA,0,9.25185853854297e-18,0.0458430458430489,NA,NA,NA,NA,100,NA,19.9983880917108,NA,NA
"557354","2013-03-22",NA,0,9.25185853854297e-18,0.0101010101010114,NA,NA,NA,NA,52.72313324924,NA,19.9959363461493,NA,NA
"557353","2013-03-25",NA,0.166666666666662,0.0555555555555539,0.018518518518518,20.0241107279648,19.9918892720352,20.008,0.355168969494747,68.6728811799741,NA,19.9964781666628,NA,NA
"557352","2013-03-26",NA,0.0833333333333161,0.0833333333333259,0.0462962962962933,20.0249268102728,19.9927398563939,20.0088333333333,0.74336982501726,58.1155904809896,NA,19.9956144111077,NA,NA
"557351","2013-03-27",NA,0.300000000000018,0.183333333333332,0.107407407407404,20.0264249978643,19.993908335469,20.0101666666667,0.904920606751937,68.534396573689,NA,19.9975324896267,NA,NA
"557350","2013-03-28",NA,0.2,0.194444444444445,0.153703703703701,20.0264249978643,19.993908335469,20.0101666666667,0.289851330673395,60.4390100723956,NA,19.9978614910098,NA,NA
"557349","2013-04-01",NA,0.2,0.233333333333339,0.203703703703705,20.0263749458873,19.9942917207793,20.0103333333333,0.385713900198215,60.4390100723956,NA,19.9981466255418,NA,NA
"557348","2013-04-02",NA,0.2,0.2,0.209259259259261,20.0265998661306,19.9934001338693,20.01,0.198792751661718,60.4390100723956,19.9976,19.9983937421363,NA,NA
