"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"564202","2018-03-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564201","2018-03-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564200","2018-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564199","2018-03-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564198","2018-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564197","2018-03-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564196","2018-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564195","2018-03-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564194","2018-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564193","2018-04-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564192","2018-04-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564191","2018-04-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564190","2018-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564189","2018-04-06",NA,0.528,NA,NA,NA,NA,NA,NA,NA,NA,5.56514285714286,NA,NA
"564188","2018-04-09",NA,0.6,NA,NA,NA,NA,NA,NA,53.3738191632928,NA,5.58979047619048,NA,NA
"564187","2018-04-10",NA,0.616161616161616,0.581387205387205,NA,NA,NA,NA,NA,52.4214926590538,NA,5.60448507936508,NA,NA
"564186","2018-04-11",NA,0.278260869565217,0.498140828575611,NA,NA,NA,NA,NA,53.6678784731239,NA,5.62655373544974,NA,NA
"564185","2018-04-12",NA,0.74,0.544807495242278,0.541445176401698,NA,NA,NA,NA,61.8352958370273,NA,5.71647990405644,NA,NA
"564184","2018-04-13",NA,0.615,0.544420289855073,0.529122871224321,NA,NA,NA,NA,62.5055351355115,NA,5.80108258351558,NA,NA
"564183","2018-04-16",NA,0.67910447761194,0.678034825870647,0.589087536989332,6.49331323048236,5.22762010285097,5.86046666666667,1.08692478488594,63.9902047398218,NA,5.88893823904684,NA,NA
"564182","2018-04-17",NA,0.375757575757576,0.556620684456505,0.593025266727408,6.58962855441345,5.20763811225322,5.89863333333333,0.94479323535635,57.4700161122092,NA,5.92641314050726,NA,NA
"564181","2018-04-18",NA,0.422222222222222,0.492361425197246,0.575672311841466,6.76322142083441,5.18571191249892,5.97446666666667,1.10783574463422,62.1910962362512,NA,6.00289138843962,NA,NA
"564180","2018-04-19",NA,0.668100358422939,0.488693385467579,0.512558498373777,7.1386217026267,5.0505782973733,6.0946,1.27970920650909,71.595808683478,NA,6.19103920331434,NA,NA
"564179","2018-04-20",NA,0.569230769230769,0.553184449958643,0.51141308687449,7.51960312959303,4.8909302037403,6.20526666666667,1.17387615346834,72.3731165310853,NA,6.36690064287243,NA,NA
"564178","2018-04-23",NA,0.390769230769231,0.542700119474313,0.528192651633512,7.62986626295576,4.93266707037757,6.28126666666667,0.823323048985892,61.4344572980449,5.95072,6.44198055715611,NA,NA
"564177","2018-04-24",NA,0.377230769230769,0.44574358974359,0.513876053058849,7.73135149031592,4.98491517635074,6.35813333333333,0.805559606728474,60.6851182105991,6.00416,6.50118314953529,9.97610693572308,NA
"564176","2018-04-25",NA,0.427692307692308,0.398564102564102,0.462335937260669,7.82832594531764,5.03627405468236,6.4323,0.790479319547603,62.5201357719751,6.08616,6.57435872959725,9.73015403485054,NA
"564175","2018-04-26",32.8346709539712,0.404984423676012,0.403302500199696,0.41587006416913,7.92121729278653,5.10004937388013,6.51063333333333,0.786890638888454,61.5764899540664,6.16256,6.63111089898429,9.35553210746012,NA
"564174","2018-04-27",33.5405287763367,0.46417445482866,0.432283728732327,0.411383443832042,8.01818891148367,5.155077755183,6.58663333333333,0.786413376417028,63.8117350384368,6.22416,6.70562944578638,9.171628483274,NA
"564173","2018-04-30",34.8906386109616,0.407643312101911,0.425600730202194,0.420395653044739,8.10184714218836,5.25341952447831,6.67763333333333,0.793389937242586,60.9960198229903,6.28816,6.75154551968153,8.74817639448271,NA
"564172","2018-05-01",36.1443120288276,0.449270072992701,0.440362613307757,0.43274902408076,8.1958416623771,5.33035833762289,6.7631,0.795784888833498,65.1482082096623,6.3646,6.83813945039066,8.71805797966876,NA
