"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"581889","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581888","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581887","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581886","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581885","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581884","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581883","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581882","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581881","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581880","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581879","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581878","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581877","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581876","2020-02-28",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,19.7117285714286,NA,NA
"581875","2020-03-02",NA,0.203026481715007,NA,NA,NA,NA,NA,NA,22.8721258572005,NA,19.4181647619048,NA,NA
"581874","2020-03-03",NA,0.344262295081967,0.182429592265658,NA,NA,NA,NA,NA,31.23634049852,NA,19.2384094603175,NA,NA
"581873","2020-03-04",NA,0.416983523447403,0.321424100081459,NA,NA,NA,NA,NA,35.0301899463357,NA,19.1199548656085,NA,NA
"581872","2020-03-05",NA,0.472119936875329,0.411121918468233,0.304991870271783,NA,NA,NA,NA,37.0343961196535,NA,19.0372942168607,NA,NA
