"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"785390","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785389","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785388","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785387","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785386","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785385","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785384","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785383","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785382","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785381","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785380","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785379","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785378","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785377","2021-01-29",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,40.2817928571429,NA,NA
"785376","2021-02-01",NA,0,NA,NA,NA,NA,NA,NA,27.0404984423676,NA,39.6415538095238,NA,NA
"785375","2021-02-02",NA,0.0981754995655953,0.0327251665218651,NA,NA,NA,NA,NA,32.1824742727313,NA,39.2373466349206,NA,NA
"785374","2021-02-03",NA,0.46133796698523,0.186504488850275,NA,NA,NA,NA,NA,47.0488763548894,NA,39.4443670835979,NA,NA
"785373","2021-02-04",NA,0.527367506516073,0.362293657688966,0.193841104353702,NA,NA,NA,NA,49.2281362840776,NA,39.7251181391182,NA,NA
"785372","2021-02-05",NA,0.646394439617724,0.545033304373009,0.364610483637417,NA,NA,NA,NA,52.9844914572385,NA,40.1511023872358,NA,NA
"785371","2021-02-08",NA,0.662901824500434,0.612221256878077,0.506516072980017,46.2731425528483,36.7578641138184,41.5155033333333,0.760055097969256,53.4983336666199,NA,40.5456220689377,NA,NA
"785370","2021-02-09",NA,0.654213727193744,0.654503330437301,0.603919297229462,46.0924922366502,36.8268477633499,41.45967,0.725959817405728,53.1689682821584,NA,40.8742057930793,NA,NA
"785369","2021-02-10",NA,0.554300608166811,0.62380538662033,0.630176657978569,46.1280995029677,36.8292404970323,41.47867,0.628474185119999,49.4022192827451,NA,41.0056450206687,NA,NA
"785368","2021-02-11",NA,0.530842745438749,0.579785693599769,0.619364803552467,46.17117236665,36.8380009666833,41.5045866666667,0.608974747855121,48.532868565137,NA,41.0835590179129,NA,NA
"785367","2021-02-12",NA,0.562988705473501,0.549377353026354,0.584322811082151,46.1139024187979,36.8432709145355,41.4785866666667,0.624200097135123,49.8356348820724,NA,41.2004178155245,NA,NA
"785366","2021-02-16",NA,0.491746307558645,0.528525919490299,0.552562988705474,45.8337364770305,36.8897701896362,41.3617533333333,0.553844120664758,46.996420718199,40.558604,41.1923621067879,NA,NA
"785365","2021-02-17",NA,0.207645525629887,0.420793512887345,0.499565595134666,45.7598397039458,36.6736669627209,41.2167533333334,0.287579796066424,37.758205304728,40.359404,40.7493804925495,0.575414076497904,NA
"785364","2021-02-18",NA,0.291051259774109,0.330147697654214,0.426489043343952,45.5864094803435,36.5540971863232,41.0702533333333,0.368960834375683,41.400107550119,40.285404,40.4934630935429,0.166919228099172,NA
"785363","2021-02-19",17.6624335064114,0.443961772371851,0.314219519258616,0.355053576600058,45.3560640833145,36.5687759166855,40.96242,0.527416118461691,47.4687309642551,40.255204,40.5063346810705,0.19161943996,NA
"785362","2021-02-22",16.4073382224208,0.446050096339114,0.393687709495025,0.346018308802618,45.3579929755587,36.5688470244413,40.96342,0.617180137758706,49.5468344080618,40.224604,40.6041567235945,0.336794476404112,NA
"785361","2021-02-23",16.5804698039074,0,0.296670622903655,0.334859283885765,45.2830568606532,36.3809498060135,40.8320033333333,0.30637505374622,40.3662818828094,40.020604,40.2262691604485,-0.239062206676932,NA
"785360","2021-02-24",16.1764200210513,0,0.148683365446371,0.27968056594835,45.2757407972719,36.4189258693948,40.8473333333333,0.331316335255285,39.8167596458426,39.909404,39.8667666057221,-0.740063205430064,NA
"785359","2021-02-25",15.8012309369707,0.240267639902677,0.0800892133008923,0.175147733883639,45.2350928748798,36.6825737917869,40.9588333333333,0.450248576370772,46.2958616490462,39.818804,39.8185310582925,-0.730276842762523,NA
"785358","2021-02-26",16.6886541843741,0,0.0800892133008923,0.102953930682718,45.324880592789,36.457119407211,40.891,0.142036668906254,37.8612742900819,39.564004,39.2707269171868,-1.48258980082384,NA
"785357","2021-03-01",17.512690056963,0.1993281075028,0.146531915801826,0.102236780801203,45.1879849341155,36.7270150658846,40.9575,0.183152951129245,43.0978043309715,39.434404,39.0332966615619,-1.69950713377685,-0.40230577427878
"785356","2021-03-02",18.4711412040091,0.129106628242075,0.109478245248292,0.11203312478367,44.9387324173412,37.1402675826588,41.0395,0.073484430951833,41.6947601310152,39.280404,38.7395237733536,-1.9885921415754,-0.719563047738103
"785355","2021-03-03",19.5197410921317,0.0668587896253601,0.131764508456745,0.129258223168954,45.125545493405,36.6657878399284,40.8956666666667,0.0623594096916184,40.5321077018146,39.23,38.4129206035732,-2.30842173787933,-1.03733478576635
"785354","2021-03-04",21.1846656179731,0,0.0653218059558116,0.102188186553616,45.3750079954851,35.6646586711816,40.5198333333333,-0.062269507613724,35.3432708790672,39.0828,37.7778645230967,-3.09447351631749,-1.44876253187658
