"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"819911","2018-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819910","2018-06-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819909","2018-06-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819908","2018-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819907","2018-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819906","2018-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819905","2018-06-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819904","2018-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819903","2018-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819902","2018-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819901","2018-06-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819900","2018-06-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819899","2018-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819898","2018-06-20",NA,0.354838709677419,NA,NA,NA,NA,NA,NA,NA,NA,4.37228571428571,NA,NA
"819897","2018-06-21",NA,0.292803970223325,NA,NA,NA,NA,NA,NA,71.3595839524517,NA,4.47598095238095,NA,NA
"819896","2018-06-22",NA,0.258064516129032,0.301902398676592,NA,NA,NA,NA,NA,67.5749539993506,NA,4.54718349206349,NA,NA
"819895","2018-06-25",NA,0.317617866004963,0.289495450785773,NA,NA,NA,NA,NA,70.4666444220313,NA,4.64089235978836,NA,NA
"819894","2018-06-26",NA,0.305210918114144,0.293631100082713,0.29500964984836,NA,NA,NA,NA,69.0843694651232,NA,4.71544004514991,NA,NA
"819893","2018-06-27",NA,0.168734491315137,0.263854425144748,0.282326992004411,NA,NA,NA,NA,56.0579409882113,NA,4.70671470579659,NA,NA
"819892","2018-06-28",NA,0.168734491315137,0.214226633581472,0.257237386269644,6.17699359738464,3.42790640261536,4.80245,0.48698355825111,56.0579409882113,NA,4.69915274502371,NA,NA
"819891","2018-06-29",NA,0.205955334987593,0.181141439205955,0.219740832644058,6.2090675312001,3.47316580213323,4.84111666666667,0.612900010278762,58.5311750923967,NA,4.71259904568722,NA,NA
"819890","2018-07-02",NA,0.156327543424318,0.177005789909016,0.190791287565481,6.20481628807729,3.53408371192271,4.86945,0.45527444377378,54.1545141124744,NA,4.69758583959559,NA,NA
"819889","2018-07-03",NA,0.1875,0.183260959470637,0.180469396195202,6.20429151252922,3.59794182080411,4.90111666666667,0.486782280171623,56.7656560716778,NA,4.70457439431618,NA,NA
"819888","2018-07-05",NA,0.146439050413443,0.16342219794592,0.174562982441858,6.19155120646344,3.68468212686989,4.93811666666667,0.468838952419752,57.631892410721,NA,4.71729780840735,NA,NA
"819887","2018-07-06",NA,0.0430232558139537,0.125654102075799,0.157445753164119,6.17375129685454,3.76621536981212,4.96998333333333,0.426903133051259,55.5002840398723,4.59132,4.71645810061971,NA,NA
"819886","2018-07-09",NA,0.0391534391534395,0.0762052484602789,0.121760516160666,6.15276356138309,3.84800310528358,5.00038333333333,0.409296430591408,54.5962111586252,4.61828,4.71079702053708,3.24104333612203,NA
"819885","2018-07-10",NA,0.0529100529100532,0.0450289159591488,0.0822960888317422,6.12131852901366,3.945448137653,5.03338333333333,0.392740241211064,55.1490973353076,4.64228,4.7093574177988,2.92062811295588,NA
"819884","2018-07-11",54.7646531542276,0.12962962962963,0.0738977072310408,0.0650439572168227,6.0831292867803,4.05857071321969,5.07085,0.413964784418663,58.2057068376334,4.66968,4.72744309542563,2.88069574895131,NA
"819883","2018-07-12",55.5665931882904,0.211052631578948,0.131197438039543,0.0833746870765776,6.05151161189733,4.23738838810267,5.14445,0.696357481120582,61.2642983397383,4.70852,4.76391734936888,3.07605251724501,NA
"819882","2018-07-13",56.3112517913488,0.526315789473684,0.28899935022742,0.164698165166001,6.04663538013839,4.42296461986161,5.2348,0.889159355532741,70.2631383814211,4.76772,4.87539503611969,4.17241846590275,NA
"819881","2018-07-16",57.5595095535126,0.531724137931035,0.423030852994555,0.281075880420506,6.2909083970977,4.2880916029023,5.2895,1.15166552949293,75.7522668616097,4.8474,5.0442756979704,5.80636854462877,NA
"819880","2018-07-17",58.7186060469504,0.693103448275862,0.583714458560194,0.431914887260723,6.49418039263675,4.16281960736324,5.3285,1.14833380124933,79.3045975691803,4.9474,5.25303893824102,7.65573739107972,NA
"819879","2018-07-18",59.7949099337142,0.724137931034483,0.649655172413793,0.552133494656181,6.7192722980188,4.05782770198119,5.38855,1.03659455049069,79.9140175170489,5.05056,5.44596707980888,9.04793913819926,NA
"819878","2018-07-19",60.8913630047549,0.724137931034483,0.713793103448276,0.649054244807421,6.93049409908328,3.97027256758339,5.45038333333333,0.985194543060295,79.9140175170489,5.15976,5.6131714691677,9.95386295618557,5.41719402347448
"819877","2018-07-20",62.0953553833964,0.68741935483871,0.711898405635892,0.691782227165987,7.1691793034908,3.89665402984253,5.53291666666666,0.964804151577294,80.1475490194402,5.269,5.76221527327867,10.5318902828191,6.44013327534341
"819876","2018-07-23",63.2133483064207,0.76867151354924,0.726742933140811,0.717478147408326,7.38773724205676,3.83876275794323,5.61325,0.921741550044946,82.0931220472576,5.37896,5.92725323684152,11.1722616114629,7.3865589425673
"819875","2018-07-24",64.3804495481542,0.715135492399207,0.723742120262385,0.720794486346363,7.58145179065949,3.80258154267384,5.69201666666666,0.874887177127915,77.1871419416873,5.43248,6.04868613859598,11.2838380046631,8.16601475498646
