"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"932082","2020-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932081","2020-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932080","2020-12-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932079","2020-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932078","2020-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932077","2020-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932076","2020-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932075","2020-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932074","2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932073","2021-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932072","2021-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932071","2021-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932070","2021-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"932069","2021-01-08",NA,0.243055555555555,NA,NA,NA,NA,NA,NA,NA,NA,4.54928571428572,NA,NA
"932068","2021-01-11",NA,0.316666666666667,NA,NA,NA,NA,NA,NA,39.7887323943662,NA,4.53204761904762,NA,NA
"932067","2021-01-12",NA,0.366666666666667,0.308796296296296,NA,NA,NA,NA,NA,41.1281779661017,NA,4.52510793650794,NA,NA
"932066","2021-01-13",NA,0.358333333333333,0.347222222222222,NA,NA,NA,NA,NA,40.9646132619106,NA,4.51776021164021,NA,NA
"932065","2021-01-14",NA,0.4025,0.375833333333333,0.343950617283951,NA,NA,NA,NA,42.2749266217688,NA,4.51845885008818,NA,NA
"932064","2021-01-15",NA,0.283333333333333,0.348055555555555,0.357037037037037,NA,NA,NA,NA,39.7137002704544,NA,4.49999767007643,NA,NA
"932063","2021-01-19",NA,0.446601941747573,0.377478425026968,0.367122437971952,5.04383040981124,4.20971292352209,4.62677166666667,0.403964367949684,42.8431178738697,NA,4.4999979807329,NA,NA
"932062","2021-01-20",NA,0.0945945945945949,0.274843289891834,0.333459090158119,4.93872288155747,4.23682045177586,4.58777166666667,0.20398782245089,39.5285161845051,NA,4.47599824996852,NA,NA
"932061","2021-01-21",NA,0.0307692307692301,0.190655255703799,0.280992323540867,4.90111182916157,4.22539817083843,4.563255,0.223371483816779,40.0831943927194,NA,4.45786514997271,NA,NA
"932060","2021-01-22",NA,0,0.0417879417879416,0.169095495794525,4.88335259787435,4.20215740212565,4.542755,0.197460677028378,39.1171819270794,NA,4.43548312997635,NA,NA
"932059","2021-01-25",NA,0,0.01025641025641,0.0808998692493837,4.87494783574573,4.1523954975876,4.51367166666667,0.0312842422875802,35.6055691684527,NA,4.39075204597951,NA,NA
"932058","2021-01-26",NA,0.290909090909091,0.0969696969696969,0.0496713496713496,4.85205610539183,4.14095722794151,4.49650666666667,0.312721778143101,40.4533962444561,4.47092,4.37331843984891,NA,NA
"932057","2021-01-27",NA,0,0.0969696969696969,0.068065268065268,4.74340143393445,4.17344523273221,4.45842333333333,0.125544326242704,37.4196243876155,4.43492,4.33687598120238,-3.21633019300155,NA
"932056","2021-01-28",NA,0.182,0.157636363636364,0.117191919191919,4.75090519300925,4.15094814032409,4.45092666666667,0.137429603180582,40.4295620482967,4.412924,4.31863918370873,-3.19435119484761,NA
"932055","2021-01-29",43.8299012326438,0.00403225806451622,0.0620107526881721,0.105538937764744,5.16224920121349,3.86660413211985,4.51442666666667,1.46649925961282,38.8205327627208,4.391724,4.29215395921424,-3.29137805109559,NA
"932054","2021-02-01",45.3699529345211,0.104838709677419,0.0969569892473119,0.105534701857283,5.17126042330876,3.86292291002457,4.51709166666667,0.815572240196338,51.733660491697,4.391324,4.33586676465234,-2.40463804241946,NA
"932053","2021-02-02",46.8000009434071,0.171370967741936,0.0934139784946237,0.0841272401433693,5.24102023931369,3.83966309401965,4.54034166666667,0.89936880845311,58.0300656353916,4.402524,4.41775119603203,-1.08758133047843,NA
"932052","2021-02-03",48.3000141446514,0.217741935483871,0.164650537634409,0.118340501792115,5.37456456308803,3.79545210357864,4.58500833333333,1.00344208348129,61.7730383559544,4.414124,4.51938436989442,0.346986904418078,NA
