"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"956672","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956671","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956670","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956669","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956668","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956667","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956666","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956665","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956664","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956663","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956662","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956661","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956660","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"956659","2001-08-15",NA,0.408114558472553,NA,NA,NA,NA,NA,NA,NA,NA,23.0425,NA,NA
"956658","2001-08-16",NA,0.465393794749403,NA,NA,NA,NA,NA,NA,56.3451776649746,NA,23.1035,NA,NA
"956657","2001-08-17",NA,0.755600814663951,0.543036389295303,NA,NA,NA,NA,NA,64.8095687755744,NA,23.2737,NA,NA
"956656","2001-08-20",NA,0.707070707070707,0.64268843882802,NA,NA,NA,NA,NA,66.7429408265068,NA,23.4538733333333,NA,NA
"956655","2001-08-21",NA,0.783861671469741,0.748844397734799,0.644856408619374,NA,NA,NA,NA,71.0739601034921,NA,23.6926902222222,NA,NA
"956654","2001-08-22",NA,0,0.496977459513482,0.629503432025434,NA,NA,NA,NA,43.8782992748099,NA,23.5343315259259,NA,NA
"956653","2001-08-23",NA,0,0.261287223823247,0.50236969369051,25.341911983349,21.7772546833177,23.5595833333333,-0.296593639817319,31.8887927322312,NA,23.0637539891358,NA,NA
"956652","2001-08-24",NA,0.166110183639399,0.0553700612131329,0.271211581516621,25.4540622602021,21.4992710731312,23.4766666666667,0.0212558024496755,39.0294677000967,NA,22.7885867905844,NA,NA
"956651","2001-08-27",NA,0.258764607679466,0.141624930439621,0.152760738492001,25.4620178498397,21.343148816827,23.4025833333333,0.193463588374932,42.6416677006767,NA,22.6241085518398,NA,NA
"956650","2001-08-28",NA,0.34974958263773,0.258208124652198,0.151734372101651,25.4272906619365,21.2370426713968,23.3321666666667,0.277539021849971,46.0234461900791,NA,22.5542274115945,NA,NA
"956649","2001-08-29",NA,0.490818030050084,0.36644407345576,0.25542570951586,25.4044431759177,21.2195568240823,23.312,0.470847475954396,50.8609395323206,NA,22.6063304233819,NA,NA
"956648","2001-08-30",NA,0.374791318864775,0.405119643850862,0.34325728065294,25.389006136585,21.1668271967484,23.2779166666667,0.355228779094889,47.1203782503515,22.9082,22.5588197002643,NA,NA
"956647","2001-08-31",NA,0.395659432387312,0.420422927100723,0.397328881469115,25.3824136779024,21.1605863220976,23.2715,0.488985812047463,47.8630685548913,22.8832,22.5343104068957,-1.73894438407719,NA
"956646","2001-09-04",NA,0.38313856427379,0.384529771841959,0.403357447597848,25.37615299562,21.14784700438,23.262,0.436065806520767,47.4326089908016,22.8452,22.5030690193096,-1.67944132676677,NA
"956645","2001-09-05",20.7099306622741,0.496661101836394,0.425153032832498,0.41003524392506,25.3772726202406,21.1492273797594,23.26325,0.489770686560799,51.6761255684155,22.8244,22.566659816735,-1.37302530573207,NA
"956644","2001-09-06",19.5400748784994,0.508347245409015,0.462715637173066,0.424132813949175,25.3740760907294,21.1465905759372,23.2603333333333,0.505440586353169,52.1047488390649,22.8114,22.6311051745037,-1.09276135175824,NA
"956643","2001-09-07",19.84488510408,0.224540901502504,0.409849749582638,0.432572806529401,25.3728677140852,21.0206322859148,23.19675,0.240344162905639,42.2935201809061,22.7504,22.4602911512365,-1.4616048355452,NA
"956642","2001-09-10",20.8756193754482,0.018363939899833,0.250417362270451,0.374327583008718,25.4687725881359,20.7280607451974,23.0984166666667,0.0661516522959292,36.8630212036304,22.638,22.147585664405,-2.18138016380697,NA
"956641","2001-09-17",21.8327297702901,0.0861618798955615,0.1096889070993,0.256652006317463,25.4913403736204,20.4923262930463,22.9918333333333,0.149897632121555,39.4721735405498,22.557,21.9279075758177,-2.59192052575862,NA
"956640","2001-09-18",23.4805582538067,0,0.0348419399317981,0.131649403100516,25.6314313750912,19.9317352915755,22.7815833333333,-0.0459209206491646,33.6559322947583,22.4056,21.5381865657086,-3.44334314219426,NA
"956639","2001-09-19",25.0106847027864,0.0557432432432435,0.0473017077129349,0.0639441849146777,25.7075389352375,19.4372943980958,22.5724166666667,0.0203669252686595,35.9011528995836,22.259,21.2444283569475,-3.96666176585841,-2.1698980890553
"956638","2001-09-20",26.9814642085853,0,0.0185810810810811,0.0335749095752715,25.8381928822076,18.7728071177924,22.3055,-0.034601618738272,31.4090270111523,22.0576,20.8171712426878,-4.84030949290815,-2.70398036982587
"956637","2001-09-21",29.5795211225346,0,0.0185810810810811,0.0281546232916992,26.2175494373878,17.5259505626122,21.87175,-0.186496246083845,24.8737847400199,21.7752,20.1102150769961,-6.49459159890005,-3.46210261564071
"956636","2001-09-24",31.9920025426304,0,-8.55796914815225e-17,0.0123873873873875,26.2577036062714,16.5819630603953,21.4198333333333,-0.0728932726528318,24.6875641589796,21.4824,19.4861864000633,-7.8250775762764,-4.33469760776785
"956635","2001-09-25",34.4405219287422,0,-8.55796914815225e-17,0.00619369369369378,26.1011694076042,15.6956639257291,20.8984166666667,-0.0604485058566408,22.8858084205148,21.1234,18.8346948800549,-9.1947226707683,-5.30670262036794
"956634","2001-09-26",35.5772187615976,0.0387409200968523,0.012913640032284,0.00430454667742809,26.02136303889,14.9843036277767,20.5028333333333,0.0625797457906078,25.7001211823868,20.7882,18.3234022293809,-10.0630422700379,-6.25797055030193
"956633","2001-09-27",36.6327229635347,0.100255754475703,0.0463322248575185,0.0197486216299343,26.1366818106973,14.3814848559694,20.2590833333333,0.12449941499636,29.7060976113291,20.4714,17.9576152654634,-10.4223375420151,-7.09084394864456
"956632","2001-09-28",38.0956128060986,0,0.0463322248575185,0.0351926965824405,26.2224298776319,13.6155701223681,19.919,0.0924969871114537,25.9292465073686,20.0612,17.446599896735,-11.2812651763127,-7.92892819417818
