"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1038052","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038051","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038050","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038049","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038048","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038047","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038046","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038045","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038044","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038043","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038042","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038041","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038040","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038039","2020-02-28",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,5.28294285714286,NA,NA
"1038038","2020-03-02",NA,0.117021276595745,NA,NA,NA,NA,NA,NA,44.4218102804373,NA,5.22255047619048,NA,NA
"1038037","2020-03-03",NA,0.120567375886525,0.0791962174940898,NA,NA,NA,NA,NA,44.55695411053,NA,5.17154374603175,NA,NA
"1038036","2020-03-04",NA,0.106382978723404,0.114657210401891,NA,NA,NA,NA,NA,44.0950768253973,NA,5.12200457989418,NA,NA
"1038035","2020-03-05",NA,0.129310344827586,0.118753566479172,0.104202331458384,NA,NA,NA,NA,44.0950768253973,NA,5.07907063590829,NA,NA
"1038034","2020-03-06",NA,0.0976616915422885,0.111118338364426,0.114843038415163,NA,NA,NA,NA,42.7622914745777,NA,5.02803455112052,NA,NA
"1038033","2020-03-09",NA,0,0.0756573454566249,0.101843083433408,6.33003565151217,4.28748768182116,5.30876166666667,0.00612583810246295,36.1157907521132,NA,4.90562994430445,NA,NA
"1038032","2020-03-10",NA,0,0.0325538971807628,0.073109860333938,6.37926206120201,4.10457460546465,5.24191833333333,0.0148556941819765,35.3093425205497,NA,4.78887928506385,NA,NA
