"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1112472","2015-06-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112471","2015-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112470","2015-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112469","2015-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112468","2015-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112467","2015-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112466","2015-07-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112465","2015-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112464","2015-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112463","2015-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112462","2015-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112461","2015-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112460","2015-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112459","2015-07-16",NA,0.910112359550562,NA,NA,NA,NA,NA,NA,NA,NA,14.1865714285714,NA,NA
"1112458","2015-07-17",NA,0.77326968973747,NA,NA,NA,NA,NA,NA,84.0521253490537,NA,14.4950285714286,NA,NA
"1112457","2015-07-20",NA,0.764556962025317,0.815979670437783,NA,NA,NA,NA,NA,84.1052356145484,NA,14.7650247619048,NA,NA
"1112456","2015-07-21",NA,0.329113924050633,0.62231352527114,NA,NA,NA,NA,NA,64.2794311581992,NA,14.7696881269841,NA,NA
"1112455","2015-07-22",NA,0.126582278481013,0.406751054852321,0.615014750187081,NA,NA,NA,NA,57.4912173228751,NA,14.6670630433862,NA,NA
"1112454","2015-07-23",NA,0.126582278481013,0.194092827004219,0.407719135709227,NA,NA,NA,NA,57.4912173228751,NA,14.5781213042681,NA,NA
"1112453","2015-07-24",NA,0.2,0.151054852320675,0.250632911392405,17.1013336023854,12.522499730948,14.8119166666667,0.446729522512662,59.7700581838992,NA,14.5503717970323,NA,NA
"1112452","2015-07-27",NA,0.0248728094968907,0.117151695992634,0.15409979177251,17.0322064605086,12.7448268728247,14.8885166666667,0.423842370382918,56.5077283919275,NA,14.4769888907614,NA,NA
"1112451","2015-07-28",NA,0.0842283776144715,0.103033729037121,0.12374675911681,17.0022606075191,12.8547727258142,14.9285166666667,0.369354651428838,57.9118548539784,NA,14.4413903719932,NA,NA
"1112450","2015-07-29",NA,0.0840579710144925,0.0643863860419516,0.0948572703572355,16.9993189760587,12.889047690608,14.9441833333333,0.387067470466868,58.462022259852,NA,14.4212049890608,NA,NA
"1112449","2015-07-30",NA,0.0579710144927534,0.0754191210405725,0.0809464120398816,16.9936034198333,12.9314299135001,14.9625166666667,0.377934805289106,57.5505948325012,NA,14.3917109905193,NA,NA
"1112448","2015-07-31",NA,0.115942028985507,0.0859903381642511,0.075265281748925,16.9833051980934,13.0167281352399,15.0000166666667,0.42856561324535,59.0774000903697,14.39608,14.3928161917834,NA,NA
"1112447","2015-08-03",NA,0.156521739130435,0.110144927536232,0.0905181289136851,16.9659712127031,13.1826954539635,15.0743333333333,0.528722904064194,60.1576874617692,14.49328,14.4124406995456,0.383754358515387,NA
"1112446","2015-08-04",NA,0.231884057971015,0.168115942028986,0.121417069243156,16.9667158012015,13.2718508654652,15.1192833333333,0.491172433300281,62.1557364648724,14.55488,14.4641152729395,0.544269454992308,NA
"1112445","2015-08-05",31.6654357362512,0.180473372781065,0.189626389960838,0.155962419842018,16.9606207860255,13.3432792139745,15.15195,0.435878325178873,59.7958161874351,14.58648,14.4835665698809,0.558900496827364,NA
"1112444","2015-08-06",32.5496137686673,0.4125,0.27495247691736,0.210898269635728,16.9741649882723,13.4779350117277,15.22605,0.597423987824539,65.124564263419,14.64928,14.5950910272301,0.952221956756305,NA
"1112443","2015-08-07",33.8628787368731,0.463157894736842,0.352043755839302,0.272207540905833,17.0194516390263,13.5743150276404,15.2968833333333,0.649906972714285,65.124564263419,14.71208,14.6917455569328,1.2463269637047,NA
"1112442","2015-08-10",33.8667989936478,0.218214285714286,0.364624060150376,0.330540097635679,17.0167076224427,13.5717923775573,15.29425,0.497992209916649,56.4581778440982,14.75652,14.6809794826751,1.07719201928214,NA
"1112441","2015-08-11",33.9577140756085,0.471428571428571,0.384266917293233,0.366978244427637,17.0113263658545,13.5723403008122,15.2918333333333,0.646797144212073,61.9160118591128,14.82532,14.7661822183184,1.31573057701309,NA
"1112440","2015-08-12",34.0421352231435,0.535714285714286,0.408452380952381,0.38578111946533,16.9670530670955,13.5842802662379,15.2756666666667,0.673723362833493,63.1779347561848,14.87932,14.8640245892093,1.58199566764763,NA
"1112439","2015-08-13",34.2177873005277,0.703571428571429,0.570238095238095,0.454319131161236,16.7597086586821,13.6999580079845,15.2298333333333,0.821431421143996,66.3164106651168,14.96164,15.0114879773147,2.01929163862429,1.07552034815147
"1112438","2015-08-14",34.463268419455,0.676923076923077,0.638736263736264,0.539142246642247,16.6342206378752,13.7697793621248,15.202,0.861210640073477,66.1871485812019,15.03204,15.1379562470061,2.32775073329388,1.32596642517995
"1112437","2015-08-17",35.5754324576962,0.592493297587132,0.657662601027212,0.622212320000524,16.6808007477686,13.7401992522314,15.2105,1.0802100928181,69.1054442630075,15.10724,15.3075620807386,2.77227305142718,1.61522775042939
"1112436","2015-08-18",36.6413172528821,0.785714285714286,0.685043553408165,0.660480806057213,17.0697944566309,13.5468722100357,15.3083333333333,1.10508478968755,73.2971507292144,15.17484,15.5558871366401,3.46988377772706,1.98615895588893
"1112435","2015-08-19",37.8123259913426,0.778181818181818,0.718796467161078,0.687167540532152,17.4614330201866,13.4830003131467,15.4722166666667,1.05510553090219,74.4090730674433,15.24748,15.8012355184214,4.07432635324829,2.4037924353608
"1112434","2015-08-20",36.7518182200069,0.44743935309973,0.670445152331945,0.691428390967063,17.5644582617611,13.6203084049056,15.5923833333333,0.771528729604056,60.1375584474835,15.21668,15.8544041159653,3.89142272067566,2.70131849242377
"1112433","2015-08-21",35.6444757223084,0.414835164835165,0.546818778705571,0.645353466066198,17.6345774784343,13.7392225215658,15.6869,0.698039290866959,59.3180107371344,15.20148,15.8898169005032,3.66284702031321,2.89362419800166
"1112432","2015-08-24",33.1106304456273,0.107142857142857,0.323139125025917,0.513467685354478,17.6129961426813,13.8452705239854,15.7291333333333,0.414413442139591,49.2075120747434,15.14068,15.7711746471028,2.88004720444492,2.89090879929031
"1112431","2015-08-25",31.2874115600723,0.255289914811761,0.259089312263261,0.37634907199825,17.5873081191918,14.0249585474749,15.8061333333333,0.533835346842517,53.3371998208798,15.17028,15.7403513608224,2.50591556059345,2.81391015155094
"1112430","2015-08-26",30.609137197215,0.310250068700192,0.224227613551603,0.268818683613594,17.5942403945077,14.2123596054923,15.9033,0.653770450757,54.8029133279318,15.23988,15.7403045127128,2.2856374847138,2.70825561818351
"1112429","2015-08-27",29.9793110031332,0.554822753503709,0.373454245671887,0.285590390495584,17.6400472926008,14.4142193740658,16.0271333333333,0.784020109918349,60.7162892933934,15.34508,15.8589305776844,2.53546612122948,2.67369771879271
"1112428","2015-08-28",28.7514384401399,0.351384615384615,0.405485812529505,0.334389223917665,17.6538436830016,14.6048896503318,16.1293666666667,0.707273268109355,56.3619193562367,15.41596,15.8966731673265,2.45455128388394,2.62986843181095
"1112427","2015-08-31",26.7941121116229,0.138461538461538,0.348222969116621,0.375721009106004,17.6314359669251,14.6786640330749,16.15505,0.344761687118978,50.7984982861541,15.47396,15.8371167450163,2.01567106642369,2.5070289587335
"1112426","2015-09-01",25.1526317416598,0.0338461538461537,0.174564102564102,0.309424294736743,17.6109858749275,14.7247807917392,16.1678833333333,0.214313440578819,48.2770261541093,15.50996,15.7401678456808,1.47663821736055,2.30095081045891
"1112425","2015-09-02",23.7374842874261,0.00307692307692301,0.0584615384615381,0.193749536714087,17.5736843243478,14.7987490089856,16.1862166666667,0.175830281513218,47.5297610600216,15.53876,15.6428121329233,0.985151543870466,2.03779095714122
"1112424","2015-09-03",23.2688404642543,0.106153846153846,0.0476923076923074,0.0935726495726491,17.5701529679606,14.8496136987061,16.2098833333333,0.437555272495701,50.3048546959288,15.58456,15.6031038485336,0.759026117141137,1.7820379891412
"1112423","2015-09-04",22.8336711998805,0.138769230769231,0.0826666666666665,0.0629401709401705,17.5726007880503,14.8728992119497,16.22275,0.443666613125068,51.1846203684482,15.6266,15.5828233353958,0.627385219827881,1.55110743527854
"1112422","2015-09-08",23.268645213513,0.43026706231454,0.225063379745872,0.118474118034949,17.6414256636086,14.984341003058,16.3128833333333,0.792469667302819,58.6197778512672,15.703,15.6984468906763,1.02711592325084,1.446309132873
"1112421","2015-09-09",23.6725496547433,0.541543026706231,0.370193106596667,0.225974384336402,17.7475706975647,15.021195969102,16.3843833333333,0.808938945384174,61.0198665138246,15.784,15.8486539719195,1.51404772010704,1.45985685031981
"1112420","2015-09-10",24.2004258884696,0.658753709198812,0.543521266073194,0.379592584138578,17.9008869440842,15.0372130559158,16.46905,0.87979766870811,63.4261961002367,15.8884,16.0315001089969,2.06912908412604,1.58171129708105
"1112419","2015-09-11",24.6905966769298,0.750741839762611,0.650346191889218,0.521353521519693,18.0788971216115,15.0142028783885,16.54655,0.897032537919242,65.2398035562525,15.9768,16.231300094464,2.62431022801948,1.79023108326874
"1112418","2015-09-14",24.3804909972123,0.579250720461095,0.662915423140839,0.618927627034417,18.1902771886592,15.0298228113408,16.61005,0.783698658364253,59.971048953334,16.0448,16.3364600818688,2.7721666483689,1.98661819628877
"1112417","2015-09-15",23.5243681919217,0.461095100864553,0.597029220362753,0.636763611797603,18.1955008034336,15.030265863233,16.6128833333333,0.613877802693898,56.0519652870274,16.12476,16.3729320709529,2.65463383912412,2.12022132485584
"1112416","2015-09-16",22.7293970155804,0.524495677233429,0.521613832853025,0.593852825452206,18.1500218326491,15.0420781673509,16.59605,0.663221534224517,57.6511833157486,16.18516,16.4338744614925,2.63835106866399,2.22384727361747
"1112415","2015-09-17",22.2384196590027,0.538904899135446,0.508165225744476,0.542269426320085,18.0734235403045,15.0716097930288,16.5725166666667,0.712366051661892,58.025027514115,16.24036,16.4933578666269,2.61844359878038,2.30276653865005
"1112414","2015-09-18",22.1430656088169,0.524495677233429,0.529298751200768,0.51969260326609,18.1363896033016,15.0709770633651,16.6036833333333,0.722803072811685,57.4785904387899,16.27476,16.53824348441,2.54781238248294,2.35177570741663
"1112413","2015-09-21",21.7605636103457,0.472622478386167,0.512007684918347,0.51649055395453,18.1733478044744,15.090185528859,16.6317666666667,0.62592049935349,55.4539654410241,16.30236,16.5531443531553,2.37625115965903,2.35667079786511
"1112412","2015-09-22",21.5929432441661,0.462824207492795,0.486647454370797,0.509317963496637,18.157700189324,15.2702331440094,16.7139666666667,0.616607391431999,55.0594523055884,16.3106,16.5615251060679,2.19830135012187,2.32499690831646
"1112411","2015-09-23",21.4494957129008,0.559808612440192,0.498418432773051,0.499024524020732,18.2102670334472,15.3626662998861,16.7864666666667,0.707262202542671,59.4788377579818,16.3078,16.6333217585922,2.26593411606024,2.31318434986522
"1112410","2015-09-24",21.125679577903,0.511389897655992,0.511340905862993,0.498802264335614,18.2598785815917,15.4000547517417,16.8299666666667,0.662026297504826,58.2052611184238,16.29196,16.6822121907799,2.24386965836383,2.29932141156494
"1112409","2015-09-25",20.8533808864347,0.330049261083744,0.467082590393309,0.492280643009784,18.3011716707594,15.4024283292406,16.8518,0.682216891172997,59.3306327312087,16.32876,16.7405838986759,2.25729655642888,2.29091644053773
"1112408","2015-09-28",20.493988153231,0.245989304812835,0.362476154517524,0.446966550257942,18.3378707613295,15.4172625720039,16.8775666666667,0.636649620260141,58.6223429868711,16.36676,16.7845060455191,2.21730668861315,2.27619449015281
"1112407","2015-09-29",19.8129848026649,0.160427807486631,0.245488791127737,0.358349178679523,18.3091255501919,15.5910077831414,16.9500666666667,0.572329463566009,56.3059055108251,16.44316,16.8012385727832,2.08425139927837,2.23780587197792
"1112406","2015-09-30",18.4121768177134,0,0.135472370766488,0.247812438803916,18.1694098360552,15.8780568306115,17.0237333333333,0.409631267563428,51.1376230045206,16.48276,16.7650734297455,1.77579582234904,2.14540386205215
"1112405","2015-10-01",17.6108487189297,0,0.0534759358288769,0.144812365907701,17.9477852936131,16.2236813730535,17.0857333333333,0.175734936856233,47.5504984552135,16.50276,16.6950636391127,1.37557044927206,1.99143717949613
"1112404","2015-10-02",16.5994297148198,0.158163265306124,0.0527210884353743,0.0805564650102467,17.856089910557,16.389110089443,17.1226,0.264641161591109,51.4694468089346,16.49956,16.6757218205644,1.19431998232347,1.8320137400616
"1112403","2015-10-05",15.4661741944683,0.224489795918368,0.127551020408164,0.0779160148908051,17.7289605373724,16.6005061292942,17.1647333333333,0.277217406214803,53.0535987121626,16.52108,16.6762922444891,1.10096208531874,1.68580340911302
"1112402","2015-10-06",14.7706375603588,0.352040816326531,0.244897959183674,0.141723356009071,17.7305562168656,16.6039104498011,17.1672333333333,0.475827953976793,56.0263298733365,16.58028,16.7101199452239,1.13472999580033,1.57558872645049
"1112401","2015-10-07",15.4709400025553,0.400000000000001,0.325510204081633,0.23265306122449,17.7672299125957,16.5975700874043,17.1824,0.797180421617998,57.97506998211,16.65988,16.7621039525274,1.228802707598,1.50623152267999
"1112400","2015-10-08",16.6504928809022,0.390661478599222,0.380900764975251,0.317102976080186,17.8106777273209,16.5750556060125,17.1928666666667,0.963841916917481,59.6079539194383,16.74924,16.8263567588571,1.3559979949501,1.47618481713401
"1112399","2015-10-09",18.6517623007427,0.609195402298851,0.466618960299358,0.391009976452081,18.1568278598431,16.3339054734902,17.2453666666667,1.36013901546497,69.4991127671071,16.86984,17.0308425243428,1.96330853609341,1.57360956092589
"1112398","2015-10-12",20.536078330871,0.851851851851852,0.617236244249975,0.488251989841528,18.6488239150769,16.0315760849231,17.3402,1.28828352040783,74.7003392223908,17.021,17.3240635210971,2.80835873739396,1.8205593962195
"1112397","2015-10-13",22.4501174592151,0.784844384303113,0.748630546151272,0.610828583566868,19.0363080556261,15.8872586110406,17.4617833333333,1.11708039230944,73.3076616017076,17.1286,17.5661883849508,3.3801592190893,2.13247936079346
"1112396","2015-10-14",23.7152431814646,0.728010825439784,0.788235687198249,0.718034159199832,19.3022354250274,15.8308312416393,17.5665333333333,0.970069146027058,70.027046345225,17.2128,17.748029933624,3.68349155054954,2.44268179874468
"1112395","2015-10-15",23.8589310832107,0.603518267929635,0.705457825890844,0.747441353080122,19.4442565140684,15.8426434859316,17.64345,0.806774582583328,63.3403776940718,17.2628,17.8442926091408,3.66766775655931,2.68767899030761
"1112394","2015-10-16",23.9923555634034,0.69553450608931,0.675687866486243,0.723127126525112,19.6075702204078,15.8466631129255,17.7271166666667,0.827815417424299,65.9299194769996,17.314,17.9730535945887,3.76137834747061,2.90241886174021
"1112393","2015-10-19",23.8889673230793,0.668470906630583,0.655841226883175,0.678995639753421,19.7298406197089,15.9070593802911,17.81845,0.768970836223752,64.4870949513165,17.3816,18.0713131153102,3.74404791103704,3.07074467159957
"1112392","2015-10-20",23.2137262274286,0.598105548037889,0.65403698691926,0.661855360096226,19.8029648697287,15.9895351302713,17.89625,0.686293367179686,60.7637476027163,17.4552,18.1218046999355,3.57149579217548,3.17089489571476
"1112391","2015-10-21",22.0245112075733,0.319054652880354,0.528543702516275,0.612807305439571,19.8196548127794,16.0355118538872,17.9275833333333,0.520017742675919,50.801401575696,17.4872,18.0562307399441,3.03490504065396,3.1436969247026
"1112390","2015-10-22",21.0153738005159,0.273425499231951,0.396861900050065,0.526480863161867,19.8254712688461,16.0850287311539,17.95525,0.470970458110465,50.1534538072791,17.5148,17.9913999746182,2.55342093809532,3.02564172738114
"1112389","2015-10-23",20.0783176368197,0.299500831946755,0.297326994686353,0.407577532417565,19.8359445147484,16.1328888185849,17.9844166666667,0.494306503854322,52.9537020889868,17.5548,17.9698799780025,2.26241786220014,2.87299695434494
"1112388","2015-10-26",18.9637211351901,0.303350970017637,0.292092433732114,0.328760442822844,19.8555271380337,16.2063061952996,18.0309166666667,0.548160964424457,54.3350378558664,17.6072,17.9685626476021,2.06646005857889,2.71168957519173
"1112387","2015-10-27",18.7925590354706,0,0.200950600654797,0.263456676357755,19.8480266819661,16.2342399847006,18.0411333333333,0.30902765128458,44.0494934120689,17.62256,17.8394209612552,1.46181391911364,2.46171444397611
"1112386","2015-10-28",18.6336228000168,0.0408858603066443,0.114745610108094,0.202596214831669,19.8155089972916,16.3230910027084,18.0693,0.302629581834387,45.4398230402295,17.62336,17.7434981664212,1.02350020772923,2.17407159672674
"1112385","2015-10-29",18.1366808462801,0.166950596252129,0.0692788188529243,0.128325009871939,19.7363767525372,16.5182232474628,18.1273,0.363078833051762,49.5985636148955,17.64296,17.7096984108984,0.83446292750502,1.90614986288239
"1112384","2015-10-30",18.0477875825522,0.0817717206132874,0.0965360590573534,0.0935201626727907,19.6788406319399,16.6495260347267,18.1641833333333,0.285699598869476,46.9922011333498,17.64776,17.6470719561119,0.563755242442876,1.63767093879449
"1112383","2015-11-02",17.2028906711679,0.13162705667276,0.126783124512725,0.0975326674743347,19.6236278696235,16.7860721303765,18.20485,0.331480549714157,48.3940192637698,17.65936,17.608795695297,0.399259837343813,1.38998871850435
"1112382","2015-11-03",16.4183435391681,0.238611713665944,0.150670163650664,0.124663115740248,19.584680369404,16.8926862972626,18.2386833333333,0.343232690950553,50.6206799714651,17.68496,17.6009562692574,0.351981543149305,1.18238728343334
"1112381","2015-11-04",16.1263185781737,0.128318584070796,0.166185784803167,0.147879690988852,19.5865974324356,16.8874359008978,18.2370166666667,0.225711117563902,47.5943659795895,17.71536,17.5594954333564,0.192783043926159,0.984466435531908
"1112380","2015-11-05",17.2173044531019,0,0.12231009924558,0.14638868256647,19.6668114691734,16.7096218641599,18.1882166666667,0.0271805824367238,37.9221227204695,17.71616,17.3862293755755,-0.405956853521705,0.706381777721185
"1112379","2015-11-06",18.2303627655352,0.172932330827067,0.100416971632621,0.129637618560456,19.6431807378966,16.5415859287701,18.0923833333333,0.114483277071433,43.4494338595196,17.72296,17.2973987921655,-0.66242996285284,0.43261942960638
"1112378","2015-11-09",17.9684988539674,0.299598393574297,0.157510241467121,0.126745770781774,19.4515410630989,16.5216256035677,17.9865833333333,0.261341236749581,46.6311247820197,17.736,17.2585456198767,-0.724561719570571,0.20118319977099
"1112377","2015-11-10",18.8626361159462,0,0.157510241467121,0.138479151522288,19.2730877215233,16.4235789451433,17.8483333333333,0.0759503029612026,38.5060403594853,17.6992,17.0920728705598,-1.22951073244332,-0.0849555866718715
"1112376","2015-11-11",20.1057117739562,0,0.0998661311914321,0.138295538041892,19.1931106012875,16.1803893987125,17.68675,-0.0709400962369868,35.4966583504042,17.6376,16.8877964878185,-1.82932882523578,-0.433830234384653
"1112375","2015-11-12",21.4425805530328,0,-1.48029736616688e-16,0.0857921242195179,19.2115044422384,15.844828891095,17.5281666666667,-0.0796519356720406,34.1551418573889,17.56184,16.6827569561094,-2.38754283456265,-0.824572754420252
"1112374","2015-11-13",22.7018605903155,0,-1.48029736616688e-16,0.0332887103971442,19.1201982423478,15.5921350909856,17.3561666666667,-0.0204460883750617,34.0232615732452,17.44064,16.5023893619615,-2.81634986154822,-1.22292817584585
"1112373","2015-11-16",23.8711920535066,0,-1.48029736616688e-16,1.29526019539602e-16,18.9878191629806,15.3915141703527,17.1896666666667,0.0348003010229893,33.9526700746312,17.28424,16.3447374470333,-3.13255756659545,-1.60485405399577
"1112372","2015-11-17",24.8867054993358,0.0605095541401272,0.0201698513800423,0.0067232837933476,18.8354929173109,15.2485070826891,17.042,0.112859729396433,36.6424284278601,17.13904,16.2334391207622,-3.25685786598947,-1.93525481639451
"1112371","2015-11-18",25.5615657447241,0.0668789808917194,0.0424628450106154,0.0208775654635528,18.75382516344,15.1001748365599,16.927,0.165083804636672,36.9335787434299,17.00304,16.1396472379939,-3.31061176679178,-2.21032620647396
"1112370","2015-11-19",26.1882216868703,0.0987261146496817,0.0753715498938426,0.046001415428167,18.6664113660249,14.9779219673084,16.8221666666667,0.209320930395047,38.456425308942,16.88944,16.071694272928,-3.26777827499847,-2.42181662017886
"1112369","2015-11-20",26.634559380103,0.0957095709570954,0.087104888832832,0.068313094579097,18.5338703264637,14.8894630068696,16.7116666666667,0.237040004233099,38.2574547987097,16.76144,16.0101350365376,-3.20852854298957,-2.57915900474101
"1112368","2015-11-23",27.0203186899929,0.146718146718146,0.113717944108308,0.0920647942783277,18.3174217717969,14.8669115615365,16.5921666666667,0.275250628821794,39.7676965442516,16.64104,15.9687836983326,-3.08178619137335,-2.67968444206747
"1112367","2015-11-24",27.4411446798051,0.131782945736434,0.124736887803892,0.108519906915011,18.2362277648379,14.7920055684955,16.5141166666667,0.289759015131011,39.3075040034837,16.52944,15.9276125385549,-2.96816256299227,-2.73738006625243
"1112366","2015-11-25",25.4853781675784,0.263565891472868,0.180688994642483,0.139714608851561,18.1384756893327,14.785090977334,16.4617833333333,0.461695417904068,45.1207767991313,16.46424,15.9372642000809,-2.6752735547897,-2.72495876395989
"1112365","2015-11-27",24.9669474005281,0.550387596899224,0.315245478036175,0.206890453494184,18.0402411880488,14.8236588119512,16.43195,0.704580490426719,55.182470720769,16.43104,16.0442956400702,-2.04570233991197,-2.5891074791503
"1112364","2015-11-30",23.298546172861,0.294573643410852,0.369509043927648,0.288481172202102,17.9074808978921,14.8479191021079,16.3777,0.517093951190026,46.9198687183705,16.36104,16.0490562213941,-1.85774856879017,-2.44283569707828
