"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1140818","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140817","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140816","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140815","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140814","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140813","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140812","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140811","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140810","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140809","2020-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140808","2020-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140807","2020-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140806","2020-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140805","2020-03-05",NA,0.0674044265593596,NA,NA,NA,NA,NA,NA,NA,NA,10.6343142857143,NA,NA
"1140804","2020-03-06",NA,0.0670690811535924,NA,NA,NA,NA,NA,NA,49.2216687422167,NA,10.6244057142857,NA,NA
"1140803","2020-03-09",NA,0,0.044824502570984,NA,NA,NA,NA,NA,40.9781481776856,NA,10.5998182857143,NA,NA
"1140802","2020-03-10",NA,0.354838709677423,0.140635930277005,NA,NA,NA,NA,NA,49.3518269924246,NA,10.593175847619,NA,NA
"1140801","2020-03-12",NA,0,0.118279569892474,0.101246667580154,NA,NA,NA,NA,39.0470744512984,NA,10.5620857346032,NA,NA
"1140800","2020-03-13",NA,0,0.118279569892474,0.125731690020651,NA,NA,NA,NA,32.0646038425062,NA,10.5106076366561,NA,NA
"1140799","2020-03-16",NA,0,0,0.0788530465949828,10.8766575247689,10.3069758085644,10.5918166666667,-0.22991050061602,32.0646038425062,NA,10.4659932851019,NA,NA
"1140798","2020-03-17",NA,0,0,0.0394265232974914,10.9130263034889,10.2256070298445,10.5693166666667,-0.109986776256125,31.1516954576609,NA,10.4238608470883,NA,NA
"1140797","2020-03-18",NA,0,0,9.25185853854297e-18,11.0121325155338,10.0436808177995,10.5279066666667,-0.26882856943229,18.8958756930047,NA,10.3140127341432,NA,NA
"1140796","2020-03-19",NA,0.174000000000001,0.0580000000000002,0.0193333333333334,11.0361739740258,9.93189935930755,10.4840366666667,-0.0590125183587979,29.7279662537853,NA,10.2454910362575,NA,NA
"1140795","2020-03-20",NA,0.405405405405406,0.193135135135136,0.0837117117117119,11.0257929563914,9.88055371027531,10.4531733333333,0.162510110461667,40.4286313447135,NA,10.2194255647565,NA,NA
"1140794","2020-03-23",NA,0.275229357798166,0.284878254401191,0.178671129845442,11.014896947481,9.817783052519,10.41634,0.121584321614573,36.8057538211252,10.4257,10.1768354894556,NA,NA
"1140793","2020-03-24",NA,0.44954128440367,0.376725349202414,0.284912912912913,10.9774344195814,9.78924558041859,10.38334,0.25312005101253,43.6891634882402,10.4065,10.1652574241949,-2.73004315858293,NA
"1140792","2020-03-25",NA,0.412844036697249,0.379204892966362,0.346936165523322,10.9420805466361,9.7619327866972,10.3520066666667,0.263865726993582,42.6362418033561,10.384808,10.1498897676355,-2.59466402236,NA
"1140791","2020-03-26",49.5173005349006,0.366972477064221,0.409785932721713,0.38857205829683,10.8975081673723,9.73550516596102,10.3165066666667,0.241962800753671,41.2964725888883,10.356924,10.1299044652841,-2.49877616627238,NA
"1140790","2020-03-27",50.7143228941612,0.366972477064221,0.382262996941897,0.390417940876657,10.8564369622744,9.70990970439228,10.2831733333333,0.253016484007175,41.2964725888883,10.330888,10.1125838699129,-2.39568589764206,NA
"1140789","2020-03-30",51.8258436563317,0.366972477064221,0.366972477064221,0.386340468909277,10.8179913691327,9.68735529753402,10.2526733333333,0.276521075454389,41.2964725888883,10.302888,10.0975726872579,-2.28802792756436,NA
"1140788","2020-03-31",51.1465523634946,0.555555555555556,0.429833503227999,0.393022992411372,10.7719282318205,9.68741843484616,10.2296733333333,0.426535164960598,47.4801886522925,10.278888,10.1045629956235,-2.05935561187917,NA
"1140787","2020-04-01",51.362459125194,0.337078651685394,0.41986889476839,0.40555829168687,10.7193479229444,9.67799874372226,10.1986733333333,0.306014475550306,39.9305806804416,10.247288,10.0772879295404,-2.05426630207138,NA
"1140786","2020-04-06",50.5777475846618,0.784593437945792,0.559075881728914,0.469592759908435,10.658903510571,9.69547648942897,10.17719,0.524021885234125,48.7128234662438,10.224488,10.0869828722683,-1.82952584736492,NA
"1140785","2020-04-08",49.9919899396152,0.727532097004279,0.616401395545155,0.531782057347487,10.6000490351486,9.71165763151812,10.1558533333333,0.500915512385651,47.5158213663178,10.202888,10.0900518226325,-1.66413074098324,-2.2349417416356
