"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1148089","2019-05-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148088","2019-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148087","2019-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148086","2019-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148085","2019-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148084","2019-06-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148083","2019-06-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148082","2019-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148081","2019-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148080","2019-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148079","2019-06-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148078","2019-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148077","2019-06-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148076","2019-06-14",NA,0.140000000000001,NA,NA,NA,NA,NA,NA,NA,NA,25.4412857142857,NA,NA
"1148075","2019-06-17",NA,0.309999999999995,NA,NA,NA,NA,NA,NA,51.9736842105262,NA,25.449780952381,NA,NA
"1148074","2019-06-18",NA,0.5,0.316666666666665,NA,NA,NA,NA,NA,57.6717216770741,NA,25.4698101587302,NA,NA
"1148073","2019-06-19",NA,0.43,0.413333333333332,NA,NA,NA,NA,NA,55.0789697883217,NA,25.4825021375661,NA,NA
"1148072","2019-06-20",NA,0.666666666666673,0.532222222222224,0.42074074074074,NA,NA,NA,NA,58.2549810502251,NA,25.5008351858907,NA,NA
"1148071","2019-06-21",NA,0.416666666666673,0.504444444444449,0.483333333333335,NA,NA,NA,NA,51.8009037043161,NA,25.5047238277719,NA,NA
"1148070","2019-06-24",NA,0.583333333333337,0.555555555555561,0.530740740740745,25.6767286953608,25.3708046379725,25.5237666666667,0.814566085959048,55.3522581771787,NA,25.516093984069,NA,NA
