"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1201937","2014-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201936","2014-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201935","2014-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201934","2014-05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201933","2014-05-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201932","2014-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201931","2014-05-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201930","2014-05-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201929","2014-05-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201928","2014-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201927","2014-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201926","2014-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201925","2014-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201924","2014-05-21",NA,0.417355371900827,NA,NA,NA,NA,NA,NA,NA,NA,17.4742857142857,NA,NA
"1201923","2014-05-22",NA,0.469421487603305,NA,NA,NA,NA,NA,NA,47.7756286266925,NA,17.5198476190476,NA,NA
"1201922","2014-05-23",NA,0.548223350253808,0.478333403252647,NA,NA,NA,NA,NA,47.0890159847485,NA,17.5518679365079,NA,NA
"1201921","2014-05-27",NA,0.69039913700108,0.569347991619398,NA,NA,NA,NA,NA,49.8604979315211,NA,17.6062855449735,NA,NA
"1201920","2014-05-28",NA,0.789371980676329,0.675998155977072,0.574559850283039,NA,NA,NA,NA,54.4121902039053,NA,17.7006474723104,NA,NA
"1201919","2014-05-29",NA,0.761467889908257,0.747079669195222,0.664141938930564,NA,NA,NA,NA,54.7371945095413,NA,17.7858944760024,NA,NA
"1201918","2014-05-30",NA,0.793388429752066,0.781409433445551,0.734829086205948,18.9038020007305,16.8406646659362,17.8722333333333,0.933530680798087,57.9645083577796,NA,17.894441879202,NA,NA
"1201917","2014-06-02",NA,0.789256198347107,0.78137083933581,0.769953313992194,18.9888874542326,16.806579212434,17.8977333333333,0.895116808043579,57.793824479411,NA,17.9871829619751,NA,NA
"1201916","2014-06-03",NA,0.815909090909091,0.799517906336088,0.787432726372483,19.0320221639545,16.7861111693789,17.9090666666667,0.893722934168974,59.1538754528798,NA,18.0815585670451,NA,NA
"1201915","2014-06-04",NA,0.719047619047619,0.774737636101272,0.78520879392439,19.0631829799185,16.7736170200815,17.9184,0.828271826706186,55.7454357740361,NA,18.1386840914391,NA,NA
"1201914","2014-06-05",NA,0.394117647058824,0.643024785671845,0.739093442703069,19.1081500094698,16.7908499905302,17.9495,0.682899637452758,48.5763623154881,NA,18.1295262125805,NA,NA
"1201913","2014-06-06",NA,0.411764705882354,0.508309990662933,0.642024137478683,19.1294910054078,16.8021756612589,17.9658333333333,0.604913443414758,49.0574098574793,17.8158,18.1255893842365,NA,NA
"1201912","2014-06-09",NA,0.494117647058823,0.433333333333334,0.528222703222704,19.1696334667279,16.8456998666055,18.0076666666667,0.665954253876425,51.3448286027237,17.8254,18.1408441330049,1.95413091183259,NA
"1201911","2014-06-10",NA,0.560283687943262,0.488722013628146,0.476788445874804,19.2025149825029,16.9607183508305,18.0816166666667,0.742684814631972,55.0693877798215,17.8326,18.1860649152709,1.93811095004361,NA
"1201910","2014-06-11",9.30528390005476,0.544776119402983,0.533059151468356,0.485038166143279,19.1741948960881,17.1637051039119,18.16895,0.737612082650559,55.2231934796957,17.8362,18.2265895932348,1.90722486848474,NA
