"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1374240","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374239","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374238","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374237","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374236","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374235","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374234","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374233","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374232","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374231","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374230","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374229","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374228","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1374227","2001-08-15",NA,0.0740777777777775,NA,NA,NA,NA,NA,NA,NA,NA,6.333335,NA,NA
"1374226","2001-08-16",NA,0.259261111111111,NA,NA,NA,NA,NA,NA,39.99993999994,NA,6.28889033333333,NA,NA
"1374225","2001-08-17",NA,0.518522222222222,0.283953703703703,NA,NA,NA,NA,NA,47.8609660520745,NA,6.31259428888889,NA,NA
"1374224","2001-08-20",NA,0.333333333333333,0.370372222222222,NA,NA,NA,NA,NA,43.478997061875,NA,6.2886923837037,NA,NA
"1374223","2001-08-21",NA,0,0.283951851851852,0.312759259259259,NA,NA,NA,NA,35.159179389505,NA,6.16131073254321,NA,NA
"1374222","2001-08-22",NA,0.11999976000048,0.151111031111271,0.268478368395115,NA,NA,NA,NA,38.3359859803187,NA,6.07757996820412,NA,NA
"1374221","2001-08-23",NA,0.35999928000144,0.15999968000064,0.198354187654588,7.12855920049982,5.64477446616685,6.38666683333333,0.254380251460688,44.2219828041762,NA,6.05834663911023,NA,NA
"1374220","2001-08-24",NA,0.2000035999928,0.226667546664907,0.179259419258939,7.09678001468366,5.58099798531634,6.338889,0.159142504227787,41.3858737453955,NA,6.00612308722887,NA,NA
"1374219","2001-08-27",NA,0.2000035999928,0.253335493329013,0.213334239998187,7.05445605709528,5.52554427623805,6.29000016666667,0.179512683813187,41.3858737453955,NA,5.96086267559835,NA,NA
"1374218","2001-08-28",NA,0.28000143999712,0.226669546660907,0.235557528884942,6.99786108699485,5.49769457967182,6.24777783333333,0.275579689527865,43.4875612216165,NA,5.93941431885191,NA,NA
"1374217","2001-08-29",NA,0.4000011999976,0.293335413329173,0.257780151106364,6.90089129052583,5.51910870947417,6.21,0.444516114388766,46.581719629498,NA,5.94749240967165,NA,NA
"1374216","2001-08-30",NA,0.29166875,0.323890463331573,0.281298474440551,6.80569214784699,5.52541885215301,6.1655555,0.318615160178914,43.9880317776471,6.1200008,5.92782675504877,NA,NA
"1374215","2001-08-31",NA,0.2083375,0.300002483332533,0.305742786664427,6.72295773864561,5.51259759468772,6.11777766666667,0.219093801655705,42.2972150678843,6.0800008,5.8930058543756,-3.99265886416811,NA
"1374214","2001-09-04",NA,0.375,0.29166875,0.305187232221369,6.65667421582217,5.52999178417783,6.093333,0.515778181589337,46.7091521455161,6.0506672,5.89838240712552,-3.60703543799454,NA
