"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1493408","2017-06-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493407","2017-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493406","2017-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493405","2017-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493404","2017-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493403","2017-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493402","2017-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493401","2017-07-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493400","2017-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493399","2017-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493398","2017-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493397","2017-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493396","2017-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1493395","2017-07-17",NA,0.280487804878049,NA,NA,NA,NA,NA,NA,NA,NA,7.50107142857143,NA,NA
"1493394","2017-07-18",NA,0.0489510489510486,NA,NA,NA,NA,NA,NA,38.3817427385892,NA,7.43559523809524,NA,NA
"1493393","2017-07-19",NA,0.157894736842105,0.162444530223734,NA,NA,NA,NA,NA,42.0096124962451,NA,7.39751587301587,NA,NA
"1493392","2017-07-20",NA,0.195488721804511,0.134111502532555,NA,NA,NA,NA,NA,43.2937162482771,NA,7.37118042328042,NA,NA
"1493391","2017-07-21",NA,0.18796992481203,0.180451127819549,0.159002386858613,NA,NA,NA,NA,43.0882136709999,NA,7.3470230335097,NA,NA
"1493390","2017-07-24",NA,0.19047619047619,0.191311612364244,0.168624747572116,NA,NA,NA,NA,42.8690739060631,NA,7.32475329570841,NA,NA
"1493389","2017-07-25",NA,0,0.126148705096073,0.165970481759955,8.17877467289898,6.85549199376769,7.51713333333333,0.0774649346272758,35.9731308460232,NA,7.25878618961395,NA,NA
"1493388","2017-07-26",NA,0.0186915887850463,0.0697225930870788,0.129060970182465,8.15300408133927,6.78226258532739,7.46763333333333,0.0980520993420835,36.6007272923179,NA,7.20428136433209,NA,NA
"1493387","2017-07-27",NA,0.14423076923077,0.0543074526719387,0.0833929169516969,8.08730480300177,6.74762853033156,7.41746666666667,0.183406101917472,40.6715242449075,NA,7.17437718242115,NA,NA
"1493386","2017-07-28",NA,0.188888888888889,0.117270415634902,0.0804334871313063,8.0458070448423,6.71085962182437,7.37833333333333,0.229077969341262,41.2960264701399,NA,7.15112689143166,NA,NA
"1493385","2017-07-31",NA,0,0.111039886039886,0.0942059181155754,7.99904413857074,6.65125586142926,7.32515,0.11011433157155,34.9559243111796,NA,7.08830997257411,NA,NA
"1493384","2017-08-01",NA,0,0.0629629629629629,0.0970910882125835,7.9207988718893,6.6037011281107,7.26225,0.0771637531858954,33.7021682820777,7.26772,7.02426864289756,NA,NA
"1493383","2017-08-02",NA,0.0909090909090911,0.0303030303030304,0.0681019597686264,7.79988280304284,6.61395053029049,7.20691666666667,0.213094914593784,37.1417594378289,7.23332,6.98236615717788,-4.20779212827499,NA
"1493382","2017-08-03",NA,0,0.0303030303030304,0.0411896745230079,7.76406344170321,6.4902365582968,7.12715,-0.161379771700534,26.0933216968875,7.1584,6.8429840028875,-5.06962715615656,NA
"1493381","2017-08-04",54.3492097448971,0.408502772643253,0.166470621184115,0.0756922272633918,7.68255790564893,6.47174209435107,7.07715,0.188515795316763,42.023168371702,7.114,6.81058613583583,-4.93064200449116,NA
"1493380","2017-08-07",54.6819342558475,0.521531100478469,0.310011291040574,0.168928314175906,7.66754357436432,6.43805642563568,7.0528,0.264291964906123,43.9843091218292,7.0732,6.79584131772439,-4.65040757594858,NA
"1493379","2017-08-08",54.9849236544102,0.528366370471633,0.486133414531118,0.320871775585269,7.65875700829915,6.40884299170085,7.0338,0.288945482251694,44.1876241493024,7.0292,6.78439580869447,-4.36689902194684,NA
"1493378","2017-08-09",55.6551988359228,0.369038884812913,0.472978785254338,0.423041163608677,7.65500571557162,6.34109428442838,6.99805,0.132357258982293,39.9693454807505,6.9714,6.73847636753521,-4.414717442473,NA
"1493377","2017-08-10",55.1294940146777,0.43207981580967,0.443161690364739,0.467424630050065,7.58599318861172,6.32157347805495,6.95378333333334,0.238654817509531,41.3101630378122,6.9226,6.70667951853051,-4.33462834584383,NA
"1493376","2017-08-11",54.6602149686424,0.433046202036022,0.411388300886202,0.442509592168426,7.49491809774631,6.31864856892036,6.90678333333334,0.242023411672598,41.1452141583198,6.8782,6.67778891605978,-4.23687706317873,NA
"1493375","2017-08-14",54.1089170498577,0.605792437650845,0.490306151832179,0.448285381027706,7.39348697147527,6.34441302852474,6.86895,0.380259473118386,45.8059920818707,6.8682,6.67941706058514,-3.8745803878369,-4.45401901401673
"1493374","2017-08-15",54.3314477885816,0.275945293644409,0.438261311110425,0.446651921276269,7.36502195807543,6.29787804192458,6.83145,0.136303350660902,38.9894745875078,6.8414,6.62616145250712,-4.0383906659771,-4.37089334440881
"1493373","2017-08-16",54.5840401587358,0.251810136765889,0.377849289353714,0.435472250765439,7.31929442785407,6.26260557214593,6.79095,0.152105097275477,38.5375700844973,6.8114,6.57600659217284,-4.16250826022844,-4.32921632757273
"1493372","2017-08-17",54.4079182392642,0.452936444086887,0.326897291499061,0.3810026306544,7.24400718148851,6.27255948517817,6.75828333333334,0.350789702265456,44.3283470667702,6.7734,6.56587237988313,-3.9124424428424,-4.24586155062667
"1493371","2017-08-18",54.3009143371184,0.428801287208367,0.377849289353714,0.36086529006883,7.16743498909014,6.28113167757653,6.72428333333334,0.299598326713528,43.7951120215503,6.7342,6.55308939589871,-3.70895790728824,-4.13848082195898
"1493370","2017-08-21",54.4865488099864,0.303298471440064,0.395012067578439,0.366586216143738,7.09368364588396,6.27248302078272,6.68308333333334,0.126055650779029,41.0311095021691,6.69076,6.52121080977888,-3.69857535225553,-4.05049972801829
"1493369","2017-08-22",54.6839290425347,0.34803451581975,0.36004475815606,0.377635371696071,7.06835490452323,6.23601176214344,6.65218333333334,0.124934336047078,40.7823537106661,6.66236,6.4917160351417,-3.66790496643616,-3.97398077570187
"1493368","2017-08-23",52.7121159724574,0,0.217110995753271,0.324055940495924,7.0502304152224,6.18846958477761,6.61935,0.083004950672299,35.6311562576889,6.61596,6.42482056378947,-3.98828700732398,-3.97684202202629
"1493367","2017-08-24",50.8811466930999,0.311111111111111,0.219715208976953,0.265623654295428,6.99735151502564,6.1766818183077,6.58701666666667,0.207129432265839,42.6742963294603,6.57876000000001,6.40417782195088,-3.85169994531553,-3.95181360668414
"1493366","2017-08-25",49.5229442882873,0.177777777777778,0.162962962962963,0.199929722564396,6.93175618706094,6.16761047960573,6.54968333333334,0.133992142330093,40.6228106747175,6.53716000000001,6.37028744569076,-3.85233862499281,-3.93191861034587
"1493365","2017-08-28",48.5325576773347,0.0681818181818177,0.185690235690235,0.189456135876717,6.91294075008543,6.12612591658124,6.51953333333334,0.0896535589844687,38.9427232860637,6.49196000000001,6.32758245293199,-3.93776508286472,-3.93308790484964
"1493364","2017-08-29",47.7979351387176,0,0.0819865319865318,0.14354657687991,6.91896397549846,6.05523602450154,6.4871,0.00165635737904598,37.7652869992684,6.45796000000001,6.28123812587439,-4.05276308433731,-3.95702294074718
"1493363","2017-08-30",47.822413332931,0,0.0227272727272724,0.0968013468013465,6.90346534926944,5.9748679840639,6.43916666666667,-0.0720096637891063,33.0327579143036,6.41084,6.20000637575781,-4.49696635958131,-4.065011624514
"1493362","2017-08-31",47.8451430847006,0.0713073005093383,0.0237691001697793,0.0428276349611945,6.94165277759343,5.89528055573991,6.41846666666667,-0.0235230719615659,35.4100297209451,6.36188000000001,6.14080552565677,-4.69653258672733,-4.19131581695667
"1493361","2017-09-01",47.8662492827723,0.118150684931507,0.0631526618136149,0.0365496782368888,6.93219216830537,5.82374116502797,6.37796666666667,0.0597760611665475,36.9593328006596,6.31428000000001,6.09669812223586,-4.73593512237104,-4.30023967803954
"1493360","2017-09-05",47.003703611139,0.216609589041096,0.135355858160647,0.0740925400480136,6.88682321431911,5.79414345234756,6.34048333333333,0.20059846316755,40.2465116035763,6.28408000000001,6.07380503927108,-4.56602301072431,-4.3533963445765
