"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1537014","2014-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537013","2014-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537012","2014-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537011","2014-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537010","2014-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537009","2014-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537008","2014-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537007","2014-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537006","2014-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537005","2014-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537004","2014-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537003","2014-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537002","2014-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537001","2014-10-10",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,13.5085714285714,NA,NA
"1537000","2014-10-13",NA,0,NA,NA,NA,NA,NA,NA,29.2452830188679,NA,13.4474285714286,NA,NA
"1536999","2014-10-14",NA,0,0,NA,NA,NA,NA,NA,27.3035230352303,NA,13.3851047619048,NA,NA
"1536998","2014-10-15",NA,0,0,NA,NA,NA,NA,NA,19.9626581313824,NA,13.2830907936508,NA,NA
"1536997","2014-10-16",NA,0,0,0,NA,NA,NA,NA,16.5101474851884,NA,13.160012021164,NA,NA
"1536996","2014-10-17",NA,0.122448979591836,0.0408163265306122,0.0136054421768707,NA,NA,NA,NA,26.0460513666884,NA,13.0773437516755,NA,NA
"1536995","2014-10-20",NA,0.183673469387756,0.102040816326531,0.0476190476190477,14.1138118752903,12.5901881247097,13.352,0.0742605965419779,30.3307845102429,NA,13.0176979181188,NA,NA
"1536994","2014-10-21",NA,0.129251700680273,0.145124716553288,0.0959939531368105,14.1174550901148,12.4938782432185,13.3056666666667,0.0982122222422961,28.7369777511326,NA,12.9553381957029,NA,NA
"1536993","2014-10-22",NA,0.231292517006803,0.18140589569161,0.142857142857143,14.0941414973777,12.4331918359557,13.2636666666667,0.204787360675613,35.573034407092,NA,12.9212931029425,NA,NA
"1536992","2014-10-23",NA,0.352517985611511,0.237687401099529,0.188072671114809,14.0393014493927,12.4110318839406,13.2251666666667,0.328959524940419,41.6055401699096,NA,12.9117873558835,NA,NA
"1536991","2014-10-24",NA,0.432835820895522,0.338882107837945,0.252658468209695,13.9655319381425,12.4078013951908,13.1866666666667,0.382307415642026,44.9369370006104,NA,12.9155490417657,NA,NA
"1536990","2014-10-27",NA,0.365671641791045,0.383675149432693,0.320081552790056,13.9078838606291,12.3954494727042,13.1516666666667,0.362252977718147,42.3358905620983,13.1676,12.9068091695303,NA,NA
"1536989","2014-10-28",NA,0.611570247933884,0.470025903540151,0.397527720270263,13.8556936657818,12.4039730008848,13.1298333333333,0.534556693914823,50.8468442586367,13.152,12.9325679469263,-1.97833328077113,NA
"1536988","2014-10-29",NA,0.776785714285715,0.584675868003548,0.479458973658797,13.8306828327194,12.409650500614,13.1201666666667,0.635934040558017,54.5993609407168,13.1388,12.9722255540028,-1.63399057879302,NA
"1536987","2014-10-30",26.8330842197535,0.839285714285715,0.742547225501771,0.599082999015156,13.806746198487,12.4165871348463,13.1116666666667,0.671443210756881,56.5240461803367,13.1248,13.0159288134691,-1.30279781458708,NA
"1536986","2014-10-31",25.6832103942073,0.794871794871795,0.803647741147741,0.710290278217687,13.7592845489992,12.4360487843341,13.0976666666667,0.705808625042909,56.1577820906698,13.1084,13.0524716383398,-1.03481615216002,NA
"1536985","2014-11-03",24.2675840840243,0.743589743589745,0.792582417582418,0.779592461410643,13.7092113356426,12.4561219976907,13.0826666666667,0.686738481377908,53.900978915164,13.0936,13.0761420865612,-0.849791837591385,NA
"1536984","2014-11-04",23.4450473212343,0.861788617886179,0.80008338544924,0.798771181393133,13.6897926522466,12.4655406810867,13.0776666666667,0.825913300039021,59.4572561645299,13.0896,13.121989808353,-0.57968851964908,NA
"1536983","2014-11-05",22.4351809673892,0.79245283018868,0.799277063888201,0.797314288973286,13.6787579033373,12.4705754299961,13.0746666666667,0.813418440527007,57.8757180207491,13.0864,13.1563911672393,-0.386105052639218,NA
"1536982","2014-11-06",21.1748903130485,0.619047619047618,0.757763022374159,0.785707823903867,13.6590608165738,12.4769391834262,13.068,0.693437511212615,51.2670985748225,13.076,13.1622056782741,-0.339125581360511,NA
"1536981","2014-11-07",20.0046204197322,0.685714285714285,0.699071578316862,0.752037221526407,13.6586041104636,12.4770625562031,13.0678333333333,0.716242923559211,53.4912250043747,13.0644,13.1765782545042,-0.256103081217907,-0.928972433196594
"1536980","2014-11-10",19.1600358066591,0.677777777777779,0.660846560846561,0.705893720512527,13.6868477593166,12.4718189073501,13.0793333333333,0.769403753502262,54.7617682671955,13.0548,13.1943678205703,-0.164002469545355,-0.775978440466346
"1536979","2014-11-11",18.3757786659483,0.653333333333334,0.672275132275133,0.677397757146185,13.7173400142168,12.4699933191165,13.0936666666667,0.748260301552929,55.7383929185236,13.0476,13.2137854444943,-0.0719383281232555,-0.635170417997728
"1536978","2014-11-12",18.2049954351431,0.708860759493671,0.679990623534928,0.671037438885541,13.7589673215728,12.4966993450938,13.1278333333333,0.784276667094306,58.0159429873396,13.0472,13.2399473852284,0.0430739915048717,-0.499521536097208
"1536977","2014-11-13",17.0729831083948,0.50632911392405,0.622841068917019,0.658368941575693,13.7357639666169,12.6065693667164,13.1711666666667,0.661324422453593,51.4936399549222,13.0428,13.2412877338646,0.0363112562105083,-0.392354977635665
"1536976","2014-11-14",15.963246789218,0.185185185185184,0.466791686200969,0.589874459550972,13.7202447874476,12.6850885458857,13.2026666666667,0.594027673722445,49.6164258926854,13.04,13.2357827026826,0.000496913870939864,-0.313784599334344
"1536975","2014-11-17",15.5999006932682,0.0851063829787252,0.258873560695987,0.449502105271325,13.7056276932397,12.7677056400936,13.2366666666667,0.65637404640897,51.1506666593455,13.0476,13.2363450089916,-0.00348801455938297,-0.251725282379352
"1536974","2014-11-18",15.2625078898862,0.212765957446811,0.161019175203574,0.29556147403351,13.6595124782844,12.884820855049,13.2721666666667,0.61768123461296,53.4409268023375,13.0604,13.2448323411261,0.0295547916032035,-0.195469267582841
"1536973","2014-11-19",14.8065177562676,0.165957446808513,0.154609929078017,0.191500888325859,13.6134161940639,12.9874504726027,13.3004333333333,0.561078956918086,52.4695458284419,13.08672,13.2492546956426,0.0418536819972726,-0.148004677666818
"1536972","2014-11-20",14.1183676634851,0,0.126241134751775,0.147290079677788,13.5849643802848,13.0445689530486,13.3147666666667,0.349307878584711,45.6462800763325,13.11672,13.2306874028902,-0.0501526937715657,-0.128434280887768
"1536971","2014-11-21",13.7741439805519,0,0.0553191489361714,0.112056737588654,13.5619674316622,13.0855659016712,13.3237666666667,0.205220650034456,43.645221620176,13.13732,13.2072624158382,-0.154987781858129,-0.13374498108184
"1536970","2014-11-24",14.2531202155405,0,4.16333634234434e-16,0.0605200945626488,13.5473409341287,13.1058590658713,13.3266,-0.239781231082466,38.2305636980408,13.14772,13.1649607603931,-0.335456691063651,-0.174087323078202
"1536969","2014-11-25",15.1596980655219,0,4.16333634234434e-16,0.0184397163120572,13.5947130051387,13.0308203281947,13.3127666666667,-0.226083792313505,35.1038871531041,13.15692,13.1136326590074,-0.540541775340997,-0.247378213530761
"1536968","2014-11-26",16.0015203547903,0.0449438202247201,0.0149812734082405,0.00499375780274691,13.6253347268086,12.9595319398581,13.2924333333333,-0.0794007988965199,37.1178507700685,13.16172,13.0744816378064,-0.671537445468318,-0.332210059918272
"1536967","2014-11-28",18.2123618043458,0,0.0149812734082405,0.00998751560549358,13.7018182607018,12.8083817392982,13.2551,-0.229505287787805,27.1402831592904,13.14292,12.9818840860989,-1.03716293872006,-0.47320063567863
"1536966","2014-12-01",21.0976951064647,0,0.0149812734082405,0.0149812734082403,13.8310618320092,12.5631381679908,13.1971,-0.278516899725362,21.2643667459058,13.10372,12.845632874619,-1.57556629261753,-0.693673767066409
"1536965","2014-12-02",24.1797366019888,0,4.16333634234434e-16,0.00998751560549358,13.9892186682866,12.2563146650468,13.1227666666667,-0.246011703042846,18.4037425460718,13.05692,12.6902151580032,-2.16228238549137,-0.9873954907514
"1536964","2014-12-03",27.041632276404,0.0502512562814069,0.0167504187604694,0.0105772307229032,14.0468638744025,12.0393361255975,13.0431,-0.0777089095565495,22.4179187524316,13.00412,12.5688531369361,-2.54256987846413,-1.29843036829395
"1536963","2014-12-04",29.1320828398516,0.0351758793969851,0.0284757118927977,0.0150753768844223,14.0668895967723,11.8633104032278,12.9651,0.0136246204327635,22.0671838034906,12.94492,12.4596727186779,-2.83676522629167,-1.60609733989349
"1536962","2014-12-05",31.2598785200215,0,0.0284757118927977,0.0245672808486881,14.0953890703983,11.6816442629351,12.8885166666667,0.0345337820332947,20.7832202215089,12.87852,12.3503830228542,-3.11132305304912,-1.90714248252462
"1536961","2014-12-08",32.1805749336539,0.0648648648648645,0.0333469147539503,0.0300994461798484,14.0795313782379,11.5555019550954,12.8175166666667,0.137807972858272,25.8517275044639,12.81732,12.2716652864736,-3.21800566061061,-2.16931511814182
