"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1654091","2001-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654090","2001-07-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654089","2001-07-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654088","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654087","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654086","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654085","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654084","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654083","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654082","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654081","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654080","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654079","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654078","2001-08-10",NA,0.0638297872340422,NA,NA,NA,NA,NA,NA,NA,NA,3.26928571428571,NA,NA
"1654077","2001-08-13",NA,0.106382978723404,NA,NA,NA,NA,NA,NA,49.4949494949495,NA,3.25338095238095,NA,NA
"1654076","2001-08-14",NA,0.106382978723404,0.0921985815602833,NA,NA,NA,NA,NA,49.4949494949495,NA,3.23959682539683,NA,NA
"1654075","2001-08-15",NA,0.170212765957447,0.127659574468085,NA,NA,NA,NA,NA,51.2096541370749,NA,3.23165058201058,NA,NA
"1654074","2001-08-16",NA,0.449999999999999,0.242198581560283,0.154018912529551,NA,NA,NA,NA,56.5100341664456,NA,3.23809717107584,NA,NA
