"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1743666","2017-04-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743665","2017-04-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743664","2017-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743663","2017-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743662","2017-04-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743661","2017-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743660","2017-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743659","2017-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743658","2017-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743657","2017-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743656","2017-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743655","2017-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743654","2017-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743653","2017-05-01",NA,0.507407407407408,NA,NA,NA,NA,NA,NA,NA,NA,22.2189285714286,NA,NA
"1743652","2017-05-02",NA,0.466876971608833,NA,NA,NA,NA,NA,NA,71.4285714285714,NA,22.2977380952381,NA,NA
"1743651","2017-05-03",NA,0.750674763832658,0.574986380949633,NA,NA,NA,NA,NA,78.3956535634388,NA,22.511373015873,NA,NA
"1743650","2017-05-04",NA,0.809061488673139,0.675537741371543,NA,NA,NA,NA,NA,80.5087941091667,NA,22.7565232804233,NA,NA
"1743649","2017-05-05",NA,0.763532763532763,0.774423005346187,0.674982375889121,NA,NA,NA,NA,82.1393004491596,NA,23.0209868430335,NA,NA
"1743648","2017-05-08",NA,0.533875338753388,0.702156530319764,0.717372425679165,NA,NA,NA,NA,71.5600591286043,NA,23.1648552639624,NA,NA
"1743647","2017-05-09",NA,0.550135501355014,0.615847867880388,0.697475801182113,25.0452950878384,21.0015382454949,23.0234166666667,0.836794896371015,71.9251300458857,NA,23.2975412287674,NA,NA
"1743646","2017-05-10",NA,0.607046070460705,0.563685636856369,0.627230011685507,25.1703521422325,21.1734811911008,23.1719166666667,0.833114749749351,73.2208127675606,NA,23.4405357315984,NA,NA
"1743645","2017-05-11",NA,0.441734417344174,0.532971996386631,0.57083516704113,25.1736360291949,21.4095306374717,23.2915833333333,0.676690943562783,63.9835282130785,NA,23.4831309673853,NA,NA
