"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1748836","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748835","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748834","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748833","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748832","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748831","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748830","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748829","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748828","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748827","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748826","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748825","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748824","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748823","2001-08-15",NA,0.0597014925373132,NA,NA,NA,NA,NA,NA,NA,NA,5.78339285714286,NA,NA
"1748822","2001-08-16",NA,0.0895522388059703,NA,NA,NA,NA,NA,NA,22.9166666666667,NA,5.74560714285714,NA,NA
"1748821","2001-08-17",NA,0.0949367088607597,0.0813968134013477,NA,NA,NA,NA,NA,22.9166666666667,NA,5.71285952380952,NA,NA
"1748820","2001-08-20",NA,0,0.06149631588891,NA,NA,NA,NA,NA,21.367816091954,NA,5.67447825396826,NA,NA
"1748819","2001-08-21",NA,0,0.0316455696202532,0.0581795663035037,NA,NA,NA,NA,21.367816091954,NA,5.64121448677249,NA,NA
"1748818","2001-08-22",NA,0,4.62592926927149e-18,0.0310472951697211,NA,NA,NA,NA,18.0639852990895,NA,5.58905255520282,NA,NA
"1748817","2001-08-23",NA,0,4.62592926927149e-18,0.0105485232067511,6.34226538310174,5.05656795023159,5.69941666666667,0.13748598899131,17.4416518067694,NA,5.53884554784245,NA,NA
