"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1878621","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878620","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878619","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878618","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878617","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878616","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878615","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878614","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878613","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878612","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878611","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878610","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878609","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1878608","2020-02-28",NA,0.179643146796431,NA,NA,NA,NA,NA,NA,NA,NA,4.35676428571429,NA,NA
"1878607","2020-03-02",NA,0.194214876033057,NA,NA,NA,NA,NA,NA,55.8839627805145,NA,4.34386238095238,NA,NA
"1878606","2020-03-03",NA,0.136363636363636,0.170073886397708,NA,NA,NA,NA,NA,54.026294723417,NA,4.3233473968254,NA,NA
"1878605","2020-03-04",NA,0.0785123966942147,0.136363636363636,NA,NA,NA,NA,NA,52.1590747642928,NA,4.29623441058201,NA,NA
"1878604","2020-03-05",NA,0,0.071625344352617,0.126020955704654,NA,NA,NA,NA,45.6110439085728,NA,4.23673648917108,NA,NA
"1878603","2020-03-06",NA,0,0.0261707988980716,0.0780532598714416,NA,NA,NA,NA,41.8399653569774,NA,4.16117162394827,NA,NA
"1878602","2020-03-09",NA,0,9.25185853854297e-18,0.0325987144168962,5.03108809117489,3.61134524215844,4.32121666666667,-0.0432086995197347,38.2454441155832,NA,4.07034874075516,NA,NA
"1878601","2020-03-10",NA,0,9.25185853854297e-18,0.00872359963269052,5.08380274256992,3.50249725743008,4.29315,-0.0100110895157077,35.8045598100072,NA,3.97296890865448,NA,NA
"1878600","2020-03-11",NA,0.0851381215469614,0.0283793738489871,0.00945979128299571,5.11756385762348,3.41267614237652,4.26512,0.0782400641973219,40.3195698233841,NA,3.90911972083388,NA,NA
"1878599","2020-03-12",NA,0,0.0283793738489871,0.0189195825659914,5.22619288093186,3.19758711906814,4.21189,-0.0990436171377552,29.5222249912472,NA,3.75457042472269,NA,NA
"1878598","2020-03-13",NA,0.325581395348837,0.136906505631933,0.0645550844433024,5.24322372102912,3.12288961230422,4.18305666666667,0.176282149508611,44.5625098163066,NA,3.71396103475967,NA,NA
"1878597","2020-03-16",NA,0,0.108527131782946,0.0912710037546219,5.23767939156574,3.04010394176759,4.13889166666667,0.201690181607396,35.292791847219,4.009952,3.57209956345838,NA,NA
"1878596","2020-03-17",NA,0,0.108527131782946,0.117986923065941,5.34746776542472,2.71531556790861,4.03139166666667,-0.119793820511658,31.7378752613898,3.939872,3.39581962166393,-16.1747749382026,NA
"1878595","2020-03-18",NA,0,1.85037170770859e-17,0.0723514211886305,5.39349895147577,2.47128438185756,3.93239166666667,0.00412322613166038,29.72277154434,3.856272,3.20971033877541,-18.2837944307944,NA
"1878594","2020-03-19",20.5304123286299,0.0634920634920635,0.0211640211640212,0.0432303843156556,5.30498788541694,2.31851211458306,3.81175,0.083304839719986,33.367620599442,3.782596,3.07508229360535,-19.4335310537738,NA
"1878593","2020-03-20",19.6470028937268,0,0.0211640211640212,0.0141093474426808,5.25436530614152,2.08169469385848,3.66803,-0.00893927041002749,30.0903557578979,3.693996,2.90640465445797,-21.2990984389862,NA
