"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"1943132","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943131","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943130","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943129","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943128","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943127","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943126","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943125","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943124","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943123","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943122","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943121","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943120","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943119","2001-08-15",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,21.5564285714286,NA,NA
"1943118","2001-08-16",NA,0.195121951219512,NA,NA,NA,NA,NA,NA,49.266862170088,NA,21.5489047619048,NA,NA
"1943117","2001-08-17",NA,0.370731707317073,0.188617886178862,NA,NA,NA,NA,NA,54.4460198501114,NA,21.5903841269841,NA,NA
"1943116","2001-08-20",NA,0.287804878048781,0.284552845528455,NA,NA,NA,NA,NA,51.7589205041992,NA,21.6036662433862,NA,NA
"1943115","2001-08-21",NA,0.459459459459459,0.372665348275104,0.28194535999414,NA,NA,NA,NA,55.3855426637991,NA,21.6498440776014,NA,NA
"1943114","2001-08-22",NA,0.373333333333332,0.373532556947191,0.343583583583583,NA,NA,NA,NA,50.7983766246559,NA,21.6511982005879,NA,NA
"1943113","2001-08-23",NA,0.368852459016393,0.400548417269728,0.382248774164008,22.4349197354865,21.1337469311801,21.7843333333333,0.512040419700455,49.1360081775356,NA,21.6377051071762,NA,NA
"1943112","2001-08-24",NA,0.393442622950817,0.378542805100181,0.384207926439033,22.4409027383587,21.1440972616413,21.7925,0.526346793933313,49.6202327927956,NA,21.630011092886,NA,NA
"1943111","2001-08-27",NA,0.647540983606557,0.469945355191256,0.416345525853722,22.4633323700652,21.1656676299348,21.8145,0.663498829940731,54.446217972512,NA,21.6646762805012,NA,NA
"1943110","2001-08-28",NA,0.377049180327867,0.472677595628414,0.440388585306617,22.4478995670548,21.1544337662785,21.8011666666667,0.421786361412916,49.0587663878755,NA,21.6507194431011,NA,NA
"1943109","2001-08-29",NA,0.614754098360656,0.546448087431694,0.496357012750455,22.3504131457835,21.1965868542165,21.7735,0.606746281972311,53.4206844833196,NA,21.6772901840209,NA,NA
"1943108","2001-08-30",NA,0.442622950819672,0.478142076502732,0.499089253187613,22.1728488164454,21.2901511835546,21.7315,0.51340587409822,50.0768048232909,21.6208,21.6723181594848,NA,NA
"1943107","2001-08-31",NA,0.508196721311474,0.521857923497267,0.515482695810564,22.1369984945778,21.3066681720889,21.7218333333333,0.738660038420222,51.3267386290183,21.6276,21.6786757382202,0.251825511677706,NA
"1943106","2001-09-04",NA,0.254098360655737,0.401639344262294,0.467213114754098,22.1377121647574,21.3152878352426,21.7265,0.447512901652438,46.4713264832907,21.626,21.6428523064575,0.1340111466821,NA
"1943105","2001-09-05",9.417189826065,0.307692307692309,0.35666246321984,0.426719910326467,22.1484412922348,21.3455587077652,21.747,0.682259942068641,50.9817873892137,21.6216,21.6491386655965,0.143360687051297,NA
"1943104","2001-09-06",9.28417432117363,0.329787234042551,0.297192634130199,0.351831480537444,22.1551937201118,21.3871396132215,21.7711666666667,0.706799666727141,51.4537827644579,21.6064,21.6585868435169,0.160095481274691,NA
"1943103","2001-09-07",10.6356455981591,0,0.212493180578287,0.288782759309442,22.1817593411199,21.3439073255468,21.7628333333333,-0.0961673311226743,41.429534864768,21.5512,21.573441931048,-0.0870079452363171,NA
"1943102","2001-09-10",13.2787034702553,0,0.109929078014184,0.206538297574223,22.45204925256,20.9472840807733,21.6996666666667,-0.412434727851763,31.2982426518553,21.474,21.355649673575,-0.682984459638991,NA
"1943101","2001-09-17",13.8410380524208,0,1.66533453693773e-16,0.10747408619749,22.6438807323361,20.6137859343306,21.6288333333333,-0.235023146767673,26.790619870265,21.386,21.074896383765,-1.40901315901005,NA
