"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2202850","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202849","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202848","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202847","2021-01-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202846","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202845","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202844","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202843","2021-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202842","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202841","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202840","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202839","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202838","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202837","2021-01-29",NA,0.32258064516129,NA,NA,NA,NA,NA,NA,NA,NA,19.2190071428571,NA,NA
"2202836","2021-02-01",NA,0.338778685336445,NA,NA,NA,NA,NA,NA,58.9830508474576,NA,19.1938061904762,NA,NA
"2202835","2021-02-02",NA,0.348615384615384,0.33665823837104,NA,NA,NA,NA,NA,61.4222509981655,NA,19.1950586984127,NA,NA
"2202834","2021-02-03",NA,0.432538461538462,0.373310843830097,NA,NA,NA,NA,NA,62.9181657285441,NA,19.2106908719577,NA,NA
"2202833","2021-02-04",NA,0.7,0.493717948717948,0.401229010306362,NA,NA,NA,NA,67.2736119418096,NA,19.2705987556966,NA,NA
"2202832","2021-02-05",NA,0.698529411764706,0.610355957767722,0.492461583438589,NA,NA,NA,NA,67.7430035880498,NA,19.3278522549371,NA,NA
"2202831","2021-02-08",NA,0.839477334111977,0.746002248625561,0.616692051703744,20.1730083602252,18.7212049731082,19.4471066666667,0.862441180398571,70.0556382413414,NA,19.4041386209455,NA,NA
"2202830","2021-02-09",NA,0.818791946308725,0.785599564061803,0.713985923485029,20.2057482612645,18.8224650720689,19.5141066666667,0.894635991817977,70.843537446354,NA,19.4795868048194,NA,NA
"2202829","2021-02-10",NA,0.757309941520468,0.80519307398039,0.778931628889251,20.232334046244,18.9437192870894,19.5880266666667,0.961974117894798,71.7026484823137,NA,19.5549752308435,NA,NA
"2202828","2021-02-11",NA,0.723513513513514,0.766538467114236,0.785777035052143,20.3891643327331,18.9363023339336,19.6627333333333,1.11813624928504,74.9949875123627,NA,19.6618052000644,NA,NA
"2202827","2021-02-12",NA,0.636386777701007,0.705736744244997,0.759156095113208,20.6099375348113,18.860525798522,19.7352316666667,1.12767861364785,76.3634914974692,NA,19.7735645067225,NA,NA
"2202826","2021-02-16",NA,0.793475609756097,0.717791966990206,0.730022392783146,21.0183764379999,18.6535935620001,19.835985,1.23681817374598,82.4843921404049,19.523816,19.9841025724928,NA,NA
"2202825","2021-02-17",NA,0.73170731707317,0.720523234843425,0.714683982026209,21.2903323240849,18.5433910092484,19.9168616666667,1.05448521055282,77.3579533910533,19.629816,20.1395555628271,3.26732499903113,NA
"2202824","2021-02-18",NA,0.82555723191665,0.783580052915306,0.740631751582979,21.7014084510467,18.3614915489533,20.03145,1.12064917404604,81.8544854178959,19.765524,20.3742948211168,3.67485150002689,NA
"2202823","2021-02-19",39.8834051887119,0.808776595744681,0.788680381578167,0.764261223112299,22.0941654924574,18.2174678408759,20.1558166666667,1.05584680407586,82.6975802648442,19.888364,20.6005221783012,4.00870050954412,NA
"2202822","2021-02-22",42.1368541118543,0.767268665053063,0.800534164238131,0.790931532910535,22.5599670867339,18.0549995799328,20.3074833333333,1.06068106954973,84.6283384028022,20.020364,20.8537858878611,4.37920848453495,NA
"2202821","2021-02-23",44.5281943270001,0.745672907099965,0.773906055965903,0.787706867260734,23.0649458336279,17.9375974997054,20.5012716666667,1.04759851495898,86.1806548482246,20.162404,21.1267477694796,4.75956714317489,NA
"2202820","2021-02-24",46.8992989809475,0.774793388429752,0.76257832019426,0.779006180132765,23.5955366032905,17.8486733967095,20.722105,1.03093804805362,87.8569324683605,20.310456,21.4311814002156,5.17965236311602,NA
"2202819","2021-02-25",49.1010390167557,0.791666666666667,0.770710987398794,0.769065121186319,24.0233189309999,17.8517244023334,20.9375216666667,0.95058236631555,88.1310767645008,20.460456,21.7070238801869,5.46807891005978,NA
"2202818","2021-02-26",51.2301014125344,0.967391304347826,0.844617119814748,0.792635475802601,24.5045576415388,17.8936523584612,21.199105,0.977377131401112,90.3474959311319,20.644456,22.059420696162,5.92520350121246,NA
"2202817","2021-03-01",50.8490195473961,0.766738660907127,0.84193221064054,0.819086772618028,24.7897442544335,18.0897990788999,21.4397716666667,0.864216164371673,75.5177569202709,20.797256,22.2541646033404,5.90345690314598,4.72956047931624
"2202816","2021-03-02",50.495157815482,0.834840834248079,0.856323599834344,0.847624310096544,25.0596765393197,18.3030467940136,21.6813616666667,0.85428486640542,77.1149323504839,20.981564,22.4666359895617,5.92820831687235,4.96929004682747
"2202815","2021-03-03",49.3094129585263,0.740821904896555,0.78080046668392,0.826352092386268,25.2139359799419,18.5686206867247,21.8912783333333,0.766672323053722,71.7666755314532,21.153568,22.6044311909534,5.75112027775808,5.12565609301359
"2202814","2021-03-04",46.3392706263,0.3,0.625220913048211,0.754114993188825,25.1899296435092,18.8854736898241,22.0377016666667,0.571213916521626,51.9918796951943,21.246368,22.487840365493,4.92274969467119,5.08507481334511
"2202813","2021-03-05",43.5812813178043,0.321739130434783,0.454187011777112,0.620069463836414,25.1549873053413,19.1931826946587,22.174085,0.55578540196885,55.9092896808832,21.386768,22.4574616500939,4.40576170543916,4.94921219176392
"2202812","2021-03-08",41.2519807822128,0.510144927536232,0.377294685990338,0.485567536938554,25.1607792614509,19.5320974052157,22.3464383333333,0.666521225384538,60.1987549173314,21.543168,22.5178000967481,4.1808646419571,4.79554268180256
"2202811","2021-03-09",39.0890588563064,0.668989547038327,0.50029120166978,0.44392429981241,25.1826225098044,19.8829241568623,22.5327733333333,0.72024398162561,64.440239831074,21.727968,22.6687600838483,4.21610965549133,4.67965607654031
