"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2285452","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285451","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285450","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285449","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285448","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285447","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285446","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285445","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285444","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285443","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285442","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285441","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285440","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285439","2001-08-15",NA,0.523799073931839,NA,NA,NA,NA,NA,NA,NA,NA,8.11583642857143,NA,NA
"2285438","2001-08-16",NA,0.486946242160732,NA,NA,NA,NA,NA,NA,48.6186790242908,NA,8.12794623809524,NA,NA
"2285437","2001-08-17",NA,0.565208679797233,0.525317998629935,NA,NA,NA,NA,NA,51.2304240161813,NA,8.14364940634921,NA,NA
"2285436","2001-08-20",NA,0.695646075858062,0.582600332605342,NA,NA,NA,NA,NA,55.3078852723434,NA,8.16593881883598,NA,NA
"2285435","2001-08-21",NA,0.760009585606844,0.67362144708738,0.593846592774219,NA,NA,NA,NA,58.9994869752529,NA,8.19393630965785,NA,NA
"2285434","2001-08-22",NA,0.536001327237871,0.663885662900926,0.640035814197883,NA,NA,NA,NA,50.597791280272,NA,8.2019981350368,NA,NA
"2285433","2001-08-23",NA,0.520000737354373,0.60533721673303,0.647614775573778,8.41549173289435,7.99653293377231,8.20601233333333,0.732897205018278,50.0495452499056,NA,8.2078277170319,NA,NA
"2285432","2001-08-24",NA,0.5,0.518667354864081,0.595963411499346,8.41607331189942,7.99638535476725,8.20622933333333,0.71474049580988,51.4654043751776,NA,8.21577335476098,NA,NA
"2285431","2001-08-27",NA,0.681825799153714,0.567275512169362,0.563760027922158,8.44075239720575,7.99702226946092,8.21888733333333,0.886494679108096,56.7467438025838,NA,8.23423290745951,NA,NA
"2285430","2001-08-28",NA,0.609528616573035,0.597118138575583,0.561020335203009,8.46545669166773,8.0002376416656,8.23284716666667,0.879053336987221,56.4161832290118,NA,8.24965251979824,NA,NA
"2285429","2001-08-29",NA,0.714276309292603,0.66854357500645,0.610979075250465,8.52286762473274,7.97523104193393,8.24904933333333,1.07506628159104,64.4452809703589,NA,8.28384685049181,NA,NA
"2285428","2001-08-30",NA,0.710845213142517,0.678216713002718,0.64795947552825,8.62458731924977,7.92530068075022,8.274944,1.17812344832465,70.8675496561059,8.2167316,8.33662860375957,NA,NA
"2285427","2001-08-31",NA,0.706588478785788,0.710570000406969,0.685776762805379,8.70590134364804,7.90416598968529,8.30503366666666,1.05574406749608,70.8675496561059,8.2347856,8.38237278992496,2.11161135203837,NA
"2285426","2001-09-04",NA,0.660382006840184,0.692605232922829,0.693797315444172,8.74500426179338,7.93377773820662,8.339391,0.919511677817573,69.0591604988848,8.2564848,8.41912441793497,2.18864872533262,NA
"2285425","2001-09-05",38.4684080023589,0.373428613096105,0.580133032907359,0.661102755412386,8.75767769817172,7.96652863516161,8.36210316666667,0.716773519283654,55.36628102596,8.2721084,8.4249371622103,2.03827786942636,NA
"2285424","2001-09-06",35.9368572041631,0,0.344603539978763,0.539113935269651,8.74901540114068,7.99573293219265,8.37237416666667,0.393319124437402,43.2557375861771,8.2726292,8.39583354058226,1.65466784139758,NA
"2285423","2001-09-07",33.5861314629813,0.0759515823246319,0.149793398473579,0.3581766571199,8.73916914397671,8.02452952268995,8.38184933333333,0.364170232881083,45.8500955075527,8.275754,8.37755440183796,1.38461415995494,NA
"2285422","2001-09-10",31.8053728250173,0,0.0253171941082102,0.173238044186851,8.73022000285799,8.04447299714201,8.3873465,0.24074039183828,40.3825907811191,8.2759276,8.34261781492623,1.0204355251902,NA
"2285421","2001-09-17",32.6713576905871,0,0.0253171941082102,0.0668092622299999,8.86275070875012,7.84149229124988,8.3521215,-0.325186017785221,24.3036231351426,8.2524924,8.21396877293607,0.00967761786361265,NA
"2285420","2001-09-18",34.2499543042534,0,-3.83952129349533e-16,0.0168781294054735,9.04931390481021,7.54281609518979,8.296065,-0.307379202434065,19.4868266871597,8.2094412,8.04576626987793,-1.216319386277,NA
"2285419","2001-09-19",36.1444853759942,0,-3.83952129349533e-16,0.00843906470273662,9.21920091621718,7.23159508378281,8.225398,-0.211769897690071,16.8452545353798,8.1538912,7.85832810056087,-2.50416668611657,0.74304966875668
"2285418","2001-09-20",38.0106732944666,0,-3.83952129349533e-16,-2.53269627492614e-16,9.34630067315502,6.94218499351165,8.14424283333333,-0.113669652348918,16.1887601376409,8.092786,7.68430835381942,-3.60649804186711,-0.126859873368078
"2285417","2001-09-21",39.9947559846235,0,-3.83952129349533e-16,-2.53269627492614e-16,9.4712959647697,6.62478970189696,8.04804283333333,-0.0861417515318678,14.6515229103498,8.0233484,7.50455923997683,-4.69027183839862,-1.03954226637419
"2285416","2001-09-24",39.238969801123,0.0509316672991232,0.0169772224330407,0.00565907414434677,9.50152067016544,6.42791432983455,7.9647175,0.078407027494018,19.5853622698345,7.9549524,7.36613534131326,-5.37753442359761,-1.90714069781887
"2285415","2001-09-25",38.5371683450154,0.144309650766577,0.0650804393552329,0.0273525539294245,9.48432912836889,6.2845308716311,7.88443,0.165334109399422,27.8234536849633,7.8964508,7.27799329580482,-5.61297002846032,-2.64830656394716
