"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2290415","2012-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290414","2012-03-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290413","2012-03-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290412","2012-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290411","2012-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290410","2012-03-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290409","2012-03-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290408","2012-03-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290407","2012-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290406","2012-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290405","2012-03-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290404","2012-03-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290403","2012-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290402","2012-03-22",NA,0.325757575757575,NA,NA,NA,NA,NA,NA,NA,NA,8.69214285714286,NA,NA
"2290401","2012-03-23",NA,0.310606060606061,NA,NA,NA,NA,NA,NA,48.7455197132617,NA,8.67719047619048,NA,NA
"2290400","2012-03-26",NA,0.171874999999999,0.269412878787878,NA,NA,NA,NA,NA,46.0776648423247,NA,8.64423174603175,NA,NA
"2290399","2012-03-27",NA,0.0917431192660547,0.191408059957372,NA,NA,NA,NA,NA,47.521120714885,NA,8.62500084656085,NA,NA
"2290398","2012-03-28",NA,0.0458715596330266,0.103163226299694,0.187994721681648,NA,NA,NA,NA,46.5623249104056,NA,8.60166740035273,NA,NA
"2290397","2012-03-29",NA,0,0.0458715596330271,0.113480948630031,NA,NA,NA,NA,43.7129136034243,NA,8.5614450803057,NA,NA
"2290396","2012-03-30",NA,0.0588235294117635,0.03489836301493,0.0613110496492169,9.17945307762782,8.18021358903885,8.67983333333333,0.1899308555441,45.3923570422975,NA,8.53591906959828,NA,NA
"2290395","2012-04-02",NA,0.0840336134453779,0.0476190476190471,0.0427963234223348,9.17377802781085,8.14922197218915,8.6615,0.244767503383385,46.1341421196532,NA,8.51779652698517,NA,NA
"2290394","2012-04-03",NA,0.0840336134453779,0.0756302521008398,0.0527158875782723,9.16926751636508,8.16106581696825,8.66516666666667,0.253521542218519,46.1341421196532,NA,8.50209032338715,NA,NA
"2290393","2012-04-04",NA,0.138888888888889,0.102318705259881,0.0751893349932562,9.16542626477588,8.17057373522411,8.668,0.230613340129169,46.1341421196532,NA,8.48847828026886,NA,NA
"2290392","2012-04-05",NA,0.57142857142857,0.264783691254279,0.147577549538333,9.16978609580451,8.17721390419548,8.6735,0.526698309930527,53.9474108688971,NA,8.51668117623302,NA,NA
"2290391","2012-04-09",NA,0.428571428571427,0.379629629629629,0.248910675381263,9.17333105334624,8.19866894665376,8.686,0.531463895493728,51.277425842831,8.5928,8.52779035273528,NA,NA
"2290390","2012-04-10",NA,0.928571428571427,0.642857142857142,0.42909015458035,9.19734629242852,8.19632037423814,8.69683333333333,0.752907204565026,58.9375499486503,8.6048,8.58408497237058,-0.203171927083157,NA
"2290389","2012-04-11",NA,1,0.785714285714285,0.602733686067019,9.17315493429505,8.20717839903828,8.69016666666666,0.768985139752146,58.9375499486503,8.636,8.63287364272117,0.146000520585421,NA
"2290388","2012-04-12",12.0762125487909,1,0.976190476190476,0.801587301587301,9.18813349019339,8.20353317647326,8.69583333333333,0.758141972051937,58.9375499486503,8.6656,8.67515715702501,0.416299592689051,NA
"2290387","2012-04-13",13.3082637563068,1,1,0.920634920634921,9.19110934709262,8.20255731957404,8.69683333333333,0.756098474960551,58.9375499486503,8.6804,8.71180286942167,0.622071905343868,NA
"2290386","2012-04-16",14.452311306143,1,1,0.992063492063492,9.18174583545121,8.20625416454878,8.694,0.762431764038723,58.9375499486503,8.7024,8.74356248683212,0.775215953944741,NA
"2290385","2012-04-17",15.514641173848,1,1,1,9.17342426790938,8.20957573209061,8.69149999999999,0.76819566601345,58.9375499486503,8.7164,8.77108748858784,0.885593877909829,NA
"2290384","2012-04-18",15.431207227837,0.769230769230771,0.923076923076924,0.974358974358975,9.15092183500024,8.21707816499974,8.68399999999999,0.677759945623358,53.3319236230604,8.7084,8.77494249010946,0.825413915003792,NA
"2290383","2012-04-19",15.3537328493983,0.931034482758622,0.900088417329798,0.941055113468907,9.13576636956935,8.22323363043064,8.67949999999999,0.752593677041727,56.5924201938435,8.7116,8.79295015809486,0.868569699997512,NA
"2290382","2012-04-20",15.2093014427949,0.909090909090911,0.869785387026768,0.89765024247783,9.15794420266808,8.22605579733191,8.69199999999999,0.723202691233153,56.2079579875624,8.7216,8.80722347034888,0.883154806375308,0.579905371640707
"2290381","2012-04-23",15.0751865652346,0.909090909090911,0.916405433646815,0.895426412667794,9.17942507941624,8.23590825391708,8.70766666666666,0.70384727451107,56.2079579875624,8.7176,8.81959367430237,0.884325775633266,0.640789452439219
