"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2387949","2001-07-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387948","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387947","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387946","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387945","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387944","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387943","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387942","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387941","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387940","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387939","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387938","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387937","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387936","2001-08-15",NA,0.587636363636363,NA,NA,NA,NA,NA,NA,NA,NA,3.03089214285714,NA,NA
"2387935","2001-08-16",NA,0.675324675324675,NA,NA,NA,NA,NA,NA,56.3636363636363,NA,3.03760652380952,NA,NA
"2387934","2001-08-17",NA,0.788987012987015,0.683982683982684,NA,NA,NA,NA,NA,58.4004437286002,NA,3.04634298730159,NA,NA
"2387933","2001-08-20",NA,0.739288343558283,0.734533343956658,NA,NA,NA,NA,NA,58.233211673756,NA,3.05374792232804,NA,NA
"2387932","2001-08-21",NA,0.792899408284023,0.773724921609773,0.730746983183039,NA,NA,NA,NA,59.9020538256848,NA,3.06241486601764,NA,NA
