"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2519611","2020-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519610","2020-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519609","2020-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519608","2020-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519607","2020-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519606","2020-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519605","2020-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519604","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519603","2020-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519602","2020-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519601","2020-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519600","2020-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519599","2020-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2519598","2020-02-28",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.47908571428571,NA,NA
"2519597","2020-03-02",NA,0,NA,NA,NA,NA,NA,NA,5.06052386543055,NA,3.26854095238095,NA,NA
"2519596","2020-03-03",NA,0,0,NA,NA,NA,NA,NA,4.82733011511326,NA,3.07129549206349,NA,NA
"2519595","2020-03-04",NA,0,0,NA,NA,NA,NA,NA,4.24765102384978,NA,2.85972275978836,NA,NA
"2519594","2020-03-05",NA,0,0,0,NA,NA,NA,NA,3.97060533221102,NA,2.65443972514991,NA,NA
"2519593","2020-03-06",NA,0,0,0,NA,NA,NA,NA,3.64639885060871,NA,2.44878109512992,NA,NA
"2519592","2020-03-09",NA,0,0,0,5.17441388126534,0.63094611873466,2.90268,0.0401500698291297,3.20968597975819,NA,2.22761028244593,NA,NA
"2519591","2020-03-10",NA,0.00658001889312355,0.00219333963104118,0.000731113210347061,5.09881142363985,0.372218576360154,2.735515,0.0968734643398303,3.98654834827451,NA,2.03862224478648,NA,NA
"2519590","2020-03-11",NA,0,0.00219333963104118,0.00146222642069412,4.97335446779956,0.154848865533779,2.56410166666667,0.128854155011794,3.87899119497177,NA,1.86619261214828,NA,NA
"2519589","2020-03-12",NA,0,0.00219333963104118,0.00219333963104118,4.7998576026565,-0.0277242693231643,2.38606666666667,0.146468968262132,3.68830966613079,NA,1.70138026386184,NA,NA
