"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2754776","2021-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754775","2021-02-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754774","2021-02-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754773","2021-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754772","2021-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754771","2021-02-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754770","2021-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754769","2021-02-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754768","2021-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754767","2021-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754766","2021-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754765","2021-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754764","2021-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2754763","2021-02-22",NA,0.674796747967479,NA,NA,NA,NA,NA,NA,NA,NA,17.3697285714286,NA,NA
"2754762","2021-02-23",NA,0.32520325203252,NA,NA,NA,NA,NA,NA,58.4535414942984,NA,17.3564314285714,NA,NA
"2754761","2021-02-24",NA,0.571815718157181,0.52393857271906,NA,NA,NA,NA,NA,64.6793479922934,NA,17.4662405714286,NA,NA
"2754760","2021-02-25",NA,0.279132791327913,0.392050587172538,NA,NA,NA,NA,NA,54.2827651658106,NA,17.4174084952381,NA,NA
"2754759","2021-02-26",NA,0,0.283649503161698,0.399879554351099,NA,NA,NA,NA,48.7014811426585,NA,17.2797540292064,NA,NA
"2754758","2021-03-01",NA,0.237037037037036,0.172056609454983,0.282585566596407,NA,NA,NA,NA,54.3563339958045,NA,17.2671201586455,NA,NA
"2754757","2021-03-02",NA,0.29837037037037,0.178469135802469,0.21139174947305,19.12837799898,16.1848186676866,17.6565983333333,0.480092695020493,55.7165958610564,NA,17.2837708041594,NA,NA
"2754756","2021-03-03",NA,0.114074074074073,0.216493827160493,0.189006524139315,19.0922165697532,16.2739800969134,17.6830983333333,0.287184288550617,50.8160173495223,NA,17.2152680302715,NA,NA
