"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2952882","2010-03-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952881","2010-03-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952880","2010-03-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952879","2010-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952878","2010-03-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952877","2010-03-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952876","2010-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952875","2010-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952874","2010-04-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952873","2010-04-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952872","2010-04-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952871","2010-04-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952870","2010-04-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2952869","2010-04-13",NA,0.0747474747474746,NA,NA,NA,NA,NA,NA,NA,NA,13.6657142857143,NA,NA
"2952868","2010-04-14",NA,0.150943396226415,NA,NA,NA,NA,NA,NA,28.763440860215,NA,13.6369523809524,NA,NA
"2952867","2010-04-15",NA,0.406249999999999,0.210646956991296,NA,NA,NA,NA,NA,33.5711531045121,NA,13.6453587301587,NA,NA
"2952866","2010-04-16",NA,0.51875,0.358647798742138,NA,NA,NA,NA,NA,36.8745242860768,NA,13.6766442328042,NA,NA
"2952865","2010-04-19",NA,0.555555555555555,0.493518518518518,0.354271091417317,NA,NA,NA,NA,39.2251323110327,NA,13.7210916684303,NA,NA
"2952864","2010-04-20",NA,0.542857142857143,0.539054232804233,0.463740183354963,NA,NA,NA,NA,39.2251323110327,NA,13.7596127793063,NA,NA
"2952863","2010-04-21",NA,0.60431654676259,0.567576415058429,0.533383055460393,15.1396097968728,12.8263902031272,13.983,0.699001138749625,43.8854652091538,NA,13.8263310753988,NA,NA
"2952862","2010-04-22",NA,0.244604316546762,0.463926002055498,0.523518883306054,14.566617931987,13.1987154013463,13.8826666666667,0.59552337519652,37.6647208985416,NA,13.8174869320123,NA,NA
"2952861","2010-04-23",NA,0.366906474820144,0.405275779376499,0.478926065496809,14.4724900631537,13.2425099368463,13.8575,0.667346877344498,40.7404197867061,NA,13.8324886744106,NA,NA
"2952860","2010-04-26",NA,0,0.203836930455635,0.357679570629211,14.469769950787,13.214230049213,13.842,0.280705230484378,34.0377598135755,NA,13.7614901844892,NA,NA
"2952859","2010-04-27",NA,0,0.122302158273381,0.243804956035172,14.6544914184243,12.9421752482423,13.7983333333333,-0.308845950367222,24.3239712162377,NA,13.5106248265573,NA,NA
"2952858","2010-04-28",NA,0.0136518771331055,0.00455062571103528,0.110229904813351,14.8570838742179,12.6102494591154,13.7336666666667,-0.22858061501846,24.9735004360001,13.5768,13.2985415163497,NA,NA
"2952857","2010-04-29",NA,0.0375426621160408,0.0170648464163822,0.0479725434669332,14.9826681902818,12.3573318097182,13.67,-0.0751643908106763,26.1677881659636,13.4552,13.1240693141697,-3.5176714927354,NA
"2952856","2010-04-30",NA,0,0.0170648464163822,0.0128934395146002,15.0776586418156,12.0973413581844,13.5875,-0.0158846705498086,25.0043326108731,13.3672,12.9475267389471,-4.02703151458264,NA
"2952855","2010-05-03",31.3146851942614,0,0.012514220705347,0.0155479711793708,15.1542644282277,11.8240689051056,13.4891666666667,0.00878760061519019,23.4113738634026,13.2864,12.7585231737542,-4.56183018829164,NA
"2952854","2010-05-04",33.0665264905005,0.112804878048781,0.0376016260162604,0.0223935643793302,15.119120707529,11.646879292471,13.383,0.127618058354855,29.993279317843,13.2404,12.6440534172536,-4.70888284293821,NA
"2952853","2010-05-05",34.9566441868384,0.0152439024390246,0.0426829268292686,0.030932924516959,15.0937288822505,11.4419377844162,13.2678333333333,0.105353475032748,27.7704637472225,13.1752,12.5021796282865,-4.9814212328148,NA
