"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"2989772","2021-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989771","2021-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989770","2021-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989769","2021-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989768","2021-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989767","2021-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989766","2021-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989765","2021-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989764","2021-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989763","2021-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989762","2021-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989761","2021-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989760","2021-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2989759","2021-05-04",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,9.92428571428572,NA,NA
"2989758","2021-05-05",NA,0.0909090909090894,NA,NA,NA,NA,NA,NA,39.2857142857142,NA,9.92104761904762,NA,NA
"2989757","2021-05-06",NA,0.0909090909090894,0.0606060606060596,NA,NA,NA,NA,NA,39.2857142857142,NA,9.91824126984127,NA,NA
"2989756","2021-05-07",NA,0.0909090909090894,0.0909090909090894,NA,NA,NA,NA,NA,39.2857142857142,NA,9.9158091005291,NA,NA
"2989755","2021-05-10",NA,0,0.0606060606060596,0.0707070707070696,NA,NA,NA,NA,35.7459389229152,NA,9.91074122045856,NA,NA
"2989754","2021-05-11",NA,0,0.0303030303030298,0.0606060606060596,NA,NA,NA,NA,34.5674258617609,NA,9.90530905773075,NA,NA
"2989753","2021-05-12",NA,0,0,0.0303030303030298,9.99387556043995,9.86124110622671,9.92755833333333,-0.00935734409339556,31.6830323607529,NA,9.89793451669998,NA,NA
"2989752","2021-05-13",NA,0,0,0.0101010101010099,9.99135979609233,9.85375687057434,9.92255833333333,0.0938191978385081,31.6830323607529,NA,9.89154324780665,NA,NA
"2989751","2021-05-14",NA,0.0399999999999991,0.013333333333333,0.00444444444444435,9.98977285393443,9.84734381273224,9.91855833333334,0.159069997779454,34.8361042979237,NA,9.88733748143243,NA,NA
"2989750","2021-05-17",NA,0,0.013333333333333,0.0088888888888887,9.98965721779291,9.83740278220709,9.91353,0.0680695075955972,30.9858185367263,NA,9.88035915057477,NA,NA
"2989749","2021-05-18",NA,0.132075471698108,0.0573584905660356,0.0280083857442339,9.98899613189675,9.83256386810326,9.91078,0.239312089392008,40.8435737526791,NA,9.87897793049814,NA,NA
"2989748","2021-05-20",NA,0,0.0440251572327026,0.0382389937106904,9.99212515456701,9.82076817876633,9.90644666666667,0.0538747908600415,32.3206645859801,9.898512,9.86978087309839,NA,NA
"2989747","2021-05-21",NA,0,0.0440251572327026,0.0484696016771469,9.99485459576257,9.80903873757077,9.90194666666667,0.076928825675412,32.3206645859801,9.892512,9.8618100900186,-0.396144929181241,NA
"2989746","2021-05-24",NA,0,0,0.0293501048218017,9.99455612918352,9.79742387081648,9.89599,0.0976136326422767,31.6817231693961,9.886712,9.85423541134946,-0.408117593739976,NA
