"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3088954","2001-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088953","2001-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088952","2001-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088951","2001-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088950","2001-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088949","2001-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088948","2001-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088947","2001-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088946","2001-07-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088945","2001-07-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088944","2001-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088943","2001-07-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088942","2001-07-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3088941","2001-07-25",NA,0.526785714285715,NA,NA,NA,NA,NA,NA,NA,NA,15.1167857142857,NA,NA
"3088940","2001-07-26",NA,0.696428571428571,NA,NA,NA,NA,NA,NA,69.2857142857144,NA,15.1445476190476,NA,NA
"3088939","2001-07-27",NA,0.714285714285717,0.645833333333334,NA,NA,NA,NA,NA,69.7510822510824,NA,15.1699412698413,NA,NA
"3088938","2001-07-30",NA,0.651785714285716,0.687500000000001,NA,NA,NA,NA,NA,65.9828319420382,NA,15.1872824338624,NA,NA
"3088937","2001-07-31",NA,0.555555555555557,0.64054232804233,0.657958553791889,NA,NA,NA,NA,63.3501808833623,NA,15.1989781093474,NA,NA
"3088936","2001-08-01",NA,0.75,0.652447089947091,0.660163139329807,NA,NA,NA,NA,69.8315902748163,NA,15.2257810281011,NA,NA
"3088935","2001-08-02",NA,0.733333333333334,0.67962962962963,0.657539682539684,15.4947140927008,14.9741192406325,15.2344166666667,0.914109614178546,70.9385444921061,NA,15.2523435576876,NA,NA
"3088934","2001-08-03",NA,0.833333333333334,0.772222222222223,0.701432980599648,15.5301972977742,14.9788027022258,15.2545,0.939189409221193,73.0670548465571,NA,15.2820310833293,NA,NA
"3088933","2001-08-06",NA,0.510204081632653,0.692290249433107,0.714714033761653,15.5569612649641,14.9890387350359,15.273,0.8644863323633,65.336825521757,NA,15.2977602722187,NA,NA
"3088932","2001-08-07",NA,0.612244897959181,0.651927437641723,0.705479969765684,15.5753283084125,15.0170050249208,15.2961666666667,0.868066326582059,67.7838475115298,NA,15.3180589025896,NA,NA
"3088931","2001-08-08",NA,0.704081632653059,0.608843537414964,0.651020408163264,15.578473979153,15.069026020847,15.32375,0.898306958263951,69.8469819094691,NA,15.3416510489109,NA,NA
"3088930","2001-08-09",NA,0.561224489795919,0.625850340136053,0.628873771730913,15.5713797606551,15.1166202393449,15.344,0.744085048907216,63.0797083314693,15.2376,15.3527642423895,NA,NA
"3088929","2001-08-10",NA,0.411764705882354,0.559023609443777,0.597905828998265,15.5699893392773,15.149843994056,15.3599166666667,0.718376809462648,59.9520122834292,15.251,15.3577290100709,0.864770013132166,NA
"3088928","2001-08-13",NA,0.548780487804877,0.50725656116105,0.564043503580293,15.5861467014717,15.1586866318616,15.3724166666667,0.814064422724781,63.5651297993968,15.2666,15.3706984753948,0.841565688554469,NA
"3088927","2001-08-14",52.8413782848604,0.616438356164382,0.525661183283871,0.530647117962899,15.6019781238784,15.175355209455,15.3886666666667,0.858630525523442,65.8614393645383,15.2876,15.3879386786755,0.83703740611536,NA
"3088926","2001-08-15",52.8331028385279,0.753424657534247,0.639547833834502,0.557488526093141,15.6229622149154,15.1868711184179,15.4049166666667,0.890017899240214,68.2554422173949,15.3122,15.4095468548521,0.849704508098159,NA
"3088925","2001-08-16",52.8254184955048,0.821917808219175,0.730593607305935,0.631934208141436,15.642344679486,15.201655320514,15.422,0.885002867013796,69.4105072084877,15.3352,15.4316072742051,0.862689197400845,NA
"3088924","2001-08-17",52.4931279078787,0.780821917808219,0.78538812785388,0.718509856331439,15.6568413691265,15.2178252975402,15.4373333333333,0.824969120495198,67.8160762019772,15.3566,15.4487263043111,0.855112149188919,NA
"3088923","2001-08-20",52.2237621964479,0.799999999999997,0.80091324200913,0.772298325722982,15.6574165100904,15.2582501565763,15.4578333333333,0.860334311915497,69.3333419141842,15.3718,15.4675627970696,0.854776931885692,NA
"3088922","2001-08-21",52.508529058602,0.709677419354838,0.763499779054351,0.78326704963912,15.6665975770252,15.2887357563082,15.4776666666667,0.92961030840669,70.3373249860271,15.3892,15.486554424127,0.854932212297999,NA
"3088921","2001-08-22",52.3238414013424,0.645161290322581,0.718279569892472,0.760897530318651,15.6749482895177,15.309718377149,15.4923333333333,0.826734830012642,67.9419014117324,15.4048,15.5003471675767,0.83488642330658,0.85060828110891
"3088920","2001-08-23",52.7630812316384,0.722222222222223,0.692353643966547,0.72471099763779,15.6973654839814,15.3206345160186,15.509,0.962752861215624,71.1195532841658,15.4228,15.5203008785665,0.840412244655608,0.84856907381825
"3088919","2001-08-24",52.6484920927616,0.652777777777777,0.673387096774194,0.694673436877737,15.7101666666667,15.3375,15.5238333333333,0.860912343470494,68.0910234264259,15.4398,15.5342607614243,0.822186245975387,0.843292508249677
