"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3225038","2021-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225037","2021-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225036","2021-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225035","2021-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225034","2021-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225033","2021-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225032","2021-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225031","2021-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225030","2021-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225029","2021-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225028","2021-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225027","2021-05-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225026","2021-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3225025","2021-05-06",NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,9.96321428571429,NA,NA
"3225024","2021-05-07",NA,0.25,NA,NA,NA,NA,NA,NA,65.2173913043479,NA,9.96545238095238,NA,NA
"3225023","2021-05-10",NA,0.277777777777777,0.259259259259259,NA,NA,NA,NA,NA,66.7731629392971,NA,9.9687253968254,NA,NA
"3225022","2021-05-11",NA,0,0.175925925925926,NA,NA,NA,NA,NA,37.7099236641221,NA,9.95022867724868,NA,NA
"3225021","2021-05-12",NA,0.0937499999999979,0.123842592592592,0.186342592592592,NA,NA,NA,NA,42.7421808296612,NA,9.93819818694885,NA,NA
"3225020","2021-05-13",NA,0.0624999999999986,0.0520833333333322,0.117283950617283,NA,NA,NA,NA,41.5375653759838,NA,9.92643842868901,NA,NA
"3225019","2021-05-14",NA,0.233333333333334,0.12986111111111,0.101929012345678,10.0727202439136,9.88394642275306,9.97833333333333,0.190988226149636,49.2406164871089,NA,9.9229133048638,NA,NA
"3225018","2021-05-17",NA,0.181818181818177,0.15921717171717,0.113720538720537,10.0749430696067,9.87739026372661,9.97616666666667,0.148195328381345,45.3772985259439,NA,9.91585819754863,NA,NA
"3225017","2021-05-18",NA,0,0.138383838383837,0.142487373737372,10.0822041475971,9.86279585240293,9.9725,-0.0127426923419443,39.775968433527,NA,9.90307710454215,NA,NA
"3225016","2021-05-19",NA,0.181818181818179,0.121212121212119,0.139604377104375,10.0820014326559,9.8493319006774,9.96566666666667,0.103156749626111,45.564994091259,NA,9.89733349060319,NA,NA
"3225015","2021-05-20",NA,0.14285714285714,0.108225108225106,0.122607022607021,10.0739386811111,9.84206131888892,9.958,0.192366116943373,44.415530563531,NA,9.89102235852276,NA,NA
"3225014","2021-05-21",NA,0.476190476190477,0.266955266955265,0.165464165464164,10.0727351116727,9.84093155499399,9.95683333333333,0.456141023837881,53.2971126142007,9.9286,9.89488604405306,NA,NA
"3225013","2021-05-24",NA,0.190476190476187,0.269841269841268,0.215007215007213,10.0598943776088,9.83777228905787,9.94883333333333,0.235130649467823,46.4465227557898,9.9266,9.89023457151265,-0.403053716943202,NA
"3225012","2021-05-25",NA,0.238095238095234,0.301587301587299,0.279461279461278,10.0455953473633,9.83807131930336,9.94183333333333,0.314479314227271,47.6541692236942,9.9254,9.8875366286443,-0.386181399247265,NA
"3225011","2021-05-26",26.5751923955417,0.190476190476187,0.206349206349203,0.259259259259257,10.0382401695947,9.83409316373863,9.93616666666667,0.273855773818138,46.524329228552,9.9242,9.88386507815839,-0.376643377910968,NA
"3225010","2021-05-27",24.7232403895974,0,0.14285714285714,0.216931216931214,10.035401634583,9.82059836541695,9.928,0.0592866578140285,40.3437615849528,9.9174,9.87268306773727,-0.413363290869795,NA
"3225009","2021-05-28",23.0035706697919,0.0454545454545447,0.0786435786435773,0.14261664261664,10.0275591401862,9.81144085981381,9.9195,0.116722226409491,41.7330860809487,9.9118,9.8643253253723,-0.429428686867206,NA
"3225008","2021-06-01",21.5670907573406,0,0.0151515151515149,0.0788840788840775,10.0224968765178,9.80016979014883,9.91133333333333,0.104186779770331,40.7120169898287,9.9038,9.85574861532266,-0.445277042336822,NA
"3225007","2021-06-02",20.5551278337407,0,0.0151515151515149,0.0363155363155357,10.0162706793923,9.78789598727432,9.90208333333333,0.0748945190338297,38.6739973233,9.895,9.84564879994631,-0.468889493228353,NA
"3225006","2021-06-03",19.6154479761122,0.0909090909090968,0.0303030303030323,0.0202020202020207,10.0061928321468,9.78030716785323,9.89325,0.146207443413443,41.8109755960126,9.8878,9.8395622932868,-0.465906838204844,NA
"3225005","2021-06-04",18.7428881083143,0.136363636363641,0.0757575757575793,0.0404040404040421,9.99193982669385,9.77722683997281,9.88458333333333,0.199210866004859,43.3707519621513,9.8808,9.83562065418189,-0.450183507986202,-0.42654748373274
"3225004","2021-06-07",19.305942092623,0.179545454545455,0.135606060606064,0.0805555555555587,9.97297147140209,9.78449519526457,9.87873333333333,0.504951993706916,44.8822955323647,9.87398,9.83347123362431,-0.425043706031969,-0.426246728192585
"3225003","2021-06-08",20.0431519467886,0.291666666666668,0.202525252525255,0.137962962962966,9.95158214182414,9.79655119150919,9.87406666666666,0.710280591931968,49.5391763951737,9.86918,9.83567506914107,-0.375764229030029,-0.416150228360074
"3225002","2021-06-09",20.7277039542281,0.625000000000001,0.365404040404041,0.234511784511787,9.96401444236962,9.79205222429704,9.87803333333333,0.972778270199359,59.2617493854919,9.86718,9.84825172658892,-0.268030392629204,-0.3865262612139
"3225001","2021-06-10",22.3425696487554,0.382352941176473,0.433006535947714,0.333645276292337,9.97853040294917,9.78553626371749,9.88203333333333,1.00761472372518,56.3391975253949,9.86438,9.8564848297104,-0.196810156050509,-0.348583040181222
"3225000","2021-06-11",25.5076938837694,0.308823529411765,0.43872549019608,0.412378688849278,10.0444344119347,9.743632254732,9.89403333333333,1.33986543076259,63.9892527013184,9.86478,9.87428685241568,-0.0741418631749258,-0.293694804779963
"3224999","2021-06-14",28.6943271607911,0.622756827048116,0.437977765878785,0.436569930674193,10.167203299013,9.66442336765362,9.91581333333333,1.37471006545065,77.9649284797592,9.875936,9.92556860542692,0.239028271778041,-0.187150189468362
