"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3228478","2020-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228477","2020-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228476","2020-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228475","2020-10-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228474","2020-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228473","2020-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228472","2020-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228471","2020-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228470","2020-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228469","2020-10-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228468","2020-10-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228467","2020-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228466","2020-10-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3228465","2020-10-19",NA,0.155786350148367,NA,NA,NA,NA,NA,NA,NA,NA,14.2096428571429,NA,NA
"3228464","2020-10-20",NA,0.00365630712979883,NA,NA,NA,NA,NA,NA,43.9637826961771,NA,14.1016904761905,NA,NA
"3228463","2020-10-21",NA,0.00365630712979883,0.0543663214693217,NA,NA,NA,NA,NA,43.9637826961771,NA,14.0081317460317,NA,NA
"3228462","2020-10-22",NA,0,0.00243753808653256,NA,NA,NA,NA,NA,43.9637826961771,NA,13.9270475132275,NA,NA
"3228461","2020-10-23",NA,0.0293577981651376,0.0110047017649788,0.022602853773611,NA,NA,NA,NA,45.0681458458461,NA,13.8674411781305,NA,NA
"3228460","2020-10-26",NA,0.0366972477064219,0.0220183486238532,0.0118201961584549,NA,NA,NA,NA,45.3580762552788,NA,13.8184490210464,NA,NA
"3228459","2020-10-27",NA,0.00366972477064212,0.0232415902140672,0.0187548802009664,15.5429258383721,12.9685741616279,14.25575,0.198661994393437,44.2268417717873,NA,13.7639891515736,NA,NA
"3228458","2020-10-28",NA,0,0.0134556574923547,0.019571865443425,15.4889901412024,12.8595098587976,14.17425,0.163716816620769,40.704133386895,NA,13.6781239313638,NA,NA
"3228457","2020-10-29",NA,0.122137404580153,0.0419357097835983,0.0262109858300067,15.4635713053595,12.7892620279738,14.1264166666667,0.27199720123767,45.8312828711067,NA,13.6463740738486,NA,NA
