"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3311967","2007-02-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311966","2007-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311965","2007-02-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311964","2007-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311963","2007-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311962","2007-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311961","2007-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311960","2007-02-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311959","2007-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311958","2007-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311957","2007-02-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311956","2007-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311955","2007-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3311954","2007-02-27",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,18.5964285714286,NA,NA
"3311953","2007-02-28",NA,0.0532544378698225,NA,NA,NA,NA,NA,NA,36.6120218579235,NA,18.5302380952381,NA,NA
"3311952","2007-03-01",NA,0,0.0177514792899408,NA,NA,NA,NA,NA,35.5655369538587,NA,18.4595396825397,NA,NA
"3311951","2007-03-02",NA,0.0529411764705882,0.0353985381134702,NA,NA,NA,NA,NA,37.3024847947676,NA,18.4102677248677,NA,NA
"3311950","2007-03-05",NA,0,0.0176470588235294,0.0235990254089801,NA,NA,NA,NA,34.6222246467732,NA,18.335565361552,NA,NA
"3311949","2007-03-06",NA,0,0.0176470588235294,0.023564218586843,NA,NA,NA,NA,31.1114647303749,NA,18.2241566466784,NA,NA
"3311948","2007-03-07",NA,0.204545454545454,0.0681818181818181,0.0344919786096256,19.5128858536333,17.5961141463667,18.5545,0.226362822441721,39.5927963771791,NA,18.1876024271213,NA,NA
"3311947","2007-03-08",NA,0.272727272727273,0.159090909090909,0.0816399286987522,19.4044928650059,17.5941738016607,18.4993333333333,0.334651615069331,42.149540896244,NA,18.1759221035051,NA,NA
"3311946","2007-03-09",NA,0.273972602739727,0.250415110004151,0.159229279092293,19.3742262104414,17.5641071228919,18.4691666666667,0.34209142078034,42.149540896244,NA,18.1657991563711,NA,NA
"3311945","2007-03-12",NA,0.592105263157894,0.379601712874965,0.263035910656675,19.374952134228,17.5643811991053,18.4696666666667,0.55909738078986,47.3212428054317,NA,18.1970259355216,NA,NA
"3311944","2007-03-13",NA,0.713286713286713,0.526454859728111,0.385490560869076,19.3838144695427,17.5681855304573,18.476,0.582983181983517,49.2746656738729,NA,18.2400891441187,NA,NA
"3311943","2007-03-14",NA,0.74125874125874,0.682216905901116,0.52942449283473,19.3642374886902,17.5697625113098,18.467,0.600122135405278,49.9410214390908,18.3808,18.2827439249029,NA,NA
"3311942","2007-03-15",NA,0.811188811188811,0.755244755244755,0.654638840291327,19.3463583423825,17.5736416576175,18.46,0.657949661334127,51.6510105114834,18.364,18.3330447349159,-0.357811386361828,NA
"3311941","2007-03-16",NA,0.844594594594594,0.799014049014049,0.74549190338664,19.2864977441846,17.5995022558154,18.443,0.727426018215125,53.200469343366,18.3748,18.3886387702604,-0.147070830110974,NA
"3311940","2007-03-19",17.4561834771263,0.824324324324323,0.826702576702576,0.793653793653793,19.1217164001977,17.6946169331356,18.4081666666667,0.776901979005135,52.5954018156094,18.3876,18.432820267559,0.00630995834871584,NA
"3311939","2007-03-20",16.6394142298521,0.675675675675675,0.781531531531531,0.802416052416052,18.9498714855539,17.7914618477794,18.3706666666667,0.692217553623298,48.2606186621569,18.3996,18.4417775652178,0.0310905901879766,NA
"3311938","2007-03-21",16.6624474088116,0.47972972972973,0.65990990990991,0.756048006048005,18.9307579130289,17.7872420869711,18.359,0.483384576262927,43.2056325397941,18.382,18.4108738898554,-0.0753404861309703,NA
"3311937","2007-03-22",16.6838353607026,0.47972972972973,0.545045045045045,0.662162162162162,18.9178749740366,17.7811250259634,18.3495,0.465251812795814,43.2056325397941,18.3604,18.3840907045414,-0.158029217637778,NA
"3311936","2007-03-23",16.7036956017442,0.506756756756757,0.488738738738739,0.564564564564565,18.9136636128131,17.7766697205203,18.3451666666667,0.460275365617327,44.1415707161675,18.3304,18.3662119439359,-0.20376251273857,NA
"3311935","2007-03-26",17.1370070875597,0.145631067961167,0.377372518149218,0.470385433977667,18.9124672548787,17.7715327451213,18.342,0.395991693079834,41.3871910822413,18.2784,18.3307170180778,-0.302589350385307,NA
"3311934","2007-03-27",17.9966701446924,0,0.217462608239308,0.361191288375755,18.9132746038592,17.7687253961408,18.341,0.26613791275935,38.2988340748108,18.2284,18.2759547490007,-0.455350611942085,-0.184728205196758
"3311933","2007-03-28",18.7949286977442,0.169811320754717,0.105147462905295,0.233327529764607,18.9130425845605,17.7649574154395,18.339,0.373122072661048,42.8883896705979,18.2184,18.2524941158006,-0.491612713388323,-0.246105106835071
"3311932","2007-03-29",19.6677644598338,0.122641509433961,0.0974842767295596,0.140031449291387,18.9114882065057,17.7715117934943,18.3415,0.317393882635893,41.954831407664,18.2044,18.2254949003605,-0.536432364411565,-0.30417055835037
"3311931","2007-03-30",19.1703133535973,0.169811320754717,0.154088050314465,0.118906596649773,18.9117562850177,17.7725770483156,18.3421666666667,0.430798130097995,43.2843346530157,18.1992,18.2087622469791,-0.543666241447394,-0.352069694969775
"3311930","2007-04-02",19.3990780555033,0,0.0974842767295596,0.116352201257861,18.9099294073677,17.776737259299,18.3433333333333,0.18819645111773,38.702039140723,18.1844,18.1622606140486,-0.648595956681208,-0.411374947312061
"3311929","2007-04-03",19.7459575052879,0,0.0566037735849058,0.10272536687631,18.8932226629586,17.8077773370414,18.3505,0.137168889183315,37.8041246511905,18.1764,18.1152925321754,-0.74587310023253,-0.478274577896155
