"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3417605","2015-06-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417604","2015-07-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417603","2015-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417602","2015-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417601","2015-07-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417600","2015-07-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417599","2015-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417598","2015-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417597","2015-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417596","2015-07-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417595","2015-07-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417594","2015-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417593","2015-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417592","2015-07-20",NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,21.1428571428571,NA,NA
"3417591","2015-07-21",NA,0.375451263537906,NA,NA,NA,NA,NA,NA,68.3977200759975,NA,21.0984761904762,NA,NA
"3417590","2015-07-22",NA,0.125423728813559,0.350291664117155,NA,NA,NA,NA,NA,68.4622490155088,NA,21.0640126984127,NA,NA
"3417589","2015-07-23",NA,0.38135593220339,0.294076974851618,NA,NA,NA,NA,NA,71.6050546645881,NA,21.2354776719577,NA,NA
"3417588","2015-07-24",NA,0.373626373626374,0.293468678214441,0.312612439061071,NA,NA,NA,NA,68.9113618750949,NA,21.3107473156967,NA,NA
"3417587","2015-07-27",NA,0.419292956974513,0.391425087601426,0.326323580222495,NA,NA,NA,NA,68.0591224066408,NA,21.3533143402704,NA,NA
"3417586","2015-07-28",NA,0.548095368594136,0.447004899731674,0.377299555182514,25.6044818264273,17.8533181735727,21.7289,0.608082696248858,69.1934726679743,NA,21.4528724282344,NA,NA
"3417585","2015-07-29",NA,0.537133461222252,0.501507262263634,0.446645749865578,24.4513630686091,19.7537702647242,22.1025666666667,0.57892694878961,68.968980623659,NA,21.5338227711365,NA,NA
"3417584","2015-07-30",NA,0.312414360098657,0.465881063305015,0.471464408433441,23.9885793751343,20.5368872915324,22.2627333333333,0.36690585693246,64.3591529433657,NA,21.4946464016516,NA,NA
