"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3521926","2001-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521925","2001-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521924","2001-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521923","2001-03-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521922","2001-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521921","2001-03-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521920","2001-03-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521919","2001-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521918","2001-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521917","2001-03-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521916","2001-03-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521915","2001-03-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521914","2001-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3521913","2001-03-16",NA,0.39009900990099,NA,NA,NA,NA,NA,NA,NA,NA,23.9135714285714,NA,NA
"3521912","2001-03-19",NA,0.4,NA,NA,NA,NA,NA,NA,40.4944586530264,NA,23.9610952380952,NA,NA
"3521911","2001-03-20",NA,0.252459016393442,0.347519342098144,NA,NA,NA,NA,NA,36.3256662156597,NA,23.8356158730159,NA,NA
"3521910","2001-03-21",NA,0.362595419847328,0.338351478746923,NA,NA,NA,NA,NA,37.3262365543505,NA,23.7508670899471,NA,NA
"3521909","2001-03-22",NA,0,0.20501814541359,0.296962988752886,NA,NA,NA,NA,30.4779870589292,NA,23.3587514779542,NA,NA
"3521908","2001-03-23",NA,0.135467980295567,0.166021133380965,0.236463585847159,NA,NA,NA,NA,33.5015989515191,NA,23.0922512808936,NA,NA
"3521907","2001-03-26",NA,0.479695431472081,0.205054470589216,0.19203124979459,26.3792231366042,21.0764435300624,23.7278333333333,0.3325720849801,40.3126311528028,NA,23.0399511101078,NA,NA
"3521906","2001-03-27",NA,0.281725888324874,0.29896310003084,0.223346234667007,25.8658448372731,21.1331551627269,23.4995,0.207108058632725,37.8804740533459,NA,22.8906242954267,NA,NA
"3521905","2001-03-28",NA,0.276649746192893,0.346023688663283,0.28334708642778,25.1888368449104,21.3364964884229,23.2626666666667,0.174829700715014,37.8174707913992,NA,22.7585410560365,NA,NA
"3521904","2001-03-29",NA,0.251269035532995,0.269881556683587,0.304956115125904,25.1518520298713,21.183481303462,23.1676666666667,0.197356904684481,37.4817929490659,NA,22.6307355818983,NA,NA
"3521903","2001-03-30",NA,0.251269035532995,0.259729272419628,0.291878172588833,25.1781752882738,21.0831580450595,23.1306666666667,0.203542151864762,37.4817929490659,NA,22.5199708376452,NA,NA
"3521902","2001-04-02",NA,0.134517766497462,0.212351945854484,0.2473209249859,25.1042712855308,20.9050620478025,23.0046666666667,0.163904975095535,35.7871265361299,23.1564,22.3626413926258,NA,NA
"3521901","2001-04-03",NA,0,0.128595600676819,0.200225606316977,24.997415075083,20.5949182582503,22.7961666666667,-0.00944575922417049,32.330700953635,22.9096,22.0916225402757,-4.75033333401342,NA
"3521900","2001-04-04",NA,0,0.0448392554991541,0.128595600676819,25.1810244130311,19.9743089203023,22.5776666666667,-0.110941774030533,28.7220937061916,22.6152,21.694072868239,-5.45140723728607,NA
"3521899","2001-04-05",42.0554401207194,0.281914893617021,0.0939716312056738,0.0891354957938824,25.0585173480476,19.8081493186191,22.4333333333333,0.220019626860325,38.3758708415202,22.5172,21.5615298191404,-5.36940731938698,NA
"3521898","2001-04-06",41.4078015841984,0.347457627118644,0.209790840245222,0.116200575650017,24.9332928881294,19.6587071118706,22.296,0.241654278749221,38.6572314345173,22.4572,21.453325843255,-5.22931656022987,NA
"3521897","2001-04-09",40.8531939714819,0.341409691629956,0.323594070788541,0.209118847413145,24.8741558481484,19.4821774851849,22.1781666666667,0.230803815911043,38.3180956781459,22.3236,21.3475490641544,-5.09656515587841,NA
"3521896","2001-04-10",38.5732428683328,0.633416458852867,0.440761259200489,0.324715390078084,24.7240054884452,19.4806611782215,22.1023333333333,0.486840459844404,44.1249160444329,22.2036,21.3878758556005,-4.56664032636707,NA
"3521895","2001-04-11",36.0077026296095,0.884536082474226,0.619787410985683,0.461380913658238,24.8271923823661,19.4564742843006,22.1418333333333,0.769020512145991,52.6166091802455,22.1976,21.6561590748537,-3.45100977735771,NA
"3521894","2001-04-12",33.4910480760091,0.812371134020619,0.776774558449237,0.612441076211803,24.6832096555563,19.5164570111104,22.0998333333333,0.732286457134116,50.9488803875109,22.1716,21.8420045315399,-2.66964218494175,NA
"3521893","2001-04-16",31.1541545619515,0.822680412371134,0.839862542955326,0.745474837463416,24.4799215029332,19.6107451637335,22.0453333333333,0.745352926951711,51.1869070133079,22.1548,22.0097372606679,-2.01081642508044,-4.28834870228241
"3521892","2001-04-17",29.6907097436704,0.616494845360825,0.750515463917526,0.789050855107364,24.1172790745739,19.7570542587594,21.9371666666667,0.575569497885731,46.3432055800716,22.1228,22.0217722925789,-1.83373606408086,-3.7974261746421
