"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3551547","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551546","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551545","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551544","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551543","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551542","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551541","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551540","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551539","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551538","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551537","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551536","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551535","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3551534","2001-08-16",NA,0.591194968553458,NA,NA,NA,NA,NA,NA,NA,NA,15.0067857142857,NA,NA
"3551533","2001-08-17",NA,0.685534591194969,NA,NA,NA,NA,NA,NA,56.6860465116279,NA,15.045880952381,NA,NA
"3551532","2001-08-20",NA,0.654088050314465,0.643605870020964,NA,NA,NA,NA,NA,55.8124174372523,NA,15.0764301587302,NA,NA
"3551531","2001-08-21",NA,0.597484276729559,0.645702306079664,NA,NA,NA,NA,NA,54.19338924519,NA,15.0969061375661,NA,NA
"3551530","2001-08-22",NA,0.597989949748743,0.616520758930923,0.635276311677183,NA,NA,NA,NA,57.7159131513126,NA,15.1306519858907,NA,NA
"3551529","2001-08-23",NA,0.430622009569377,0.54203207868256,0.601418381231049,NA,NA,NA,NA,52.4657465345623,NA,15.1405650544386,NA,NA
"3551528","2001-08-24",NA,0.516746411483253,0.515119456933791,0.557890764849091,15.5461336124364,14.8335330542303,15.1898333333333,0.752829814111052,55.1903792899569,NA,15.1611563805134,NA,NA
"3551527","2001-08-27",NA,0.298429319371728,0.415265913474786,0.490805816363712,15.5478085661183,14.8345247672151,15.1911666666667,0.549769811195186,49.5795158886712,NA,15.157002196445,NA,NA
"3551526","2001-08-28",NA,0,0.271725243618327,0.400703538008968,15.561404092297,14.765595907703,15.1635,-0.00703172926765036,35.7157159514676,NA,15.0754019035856,NA,NA
"3551525","2001-08-29",NA,0.243027888446215,0.180485735939314,0.289158964344142,15.555601308824,14.7535653578426,15.1545833333333,0.350900282977329,44.4389773763928,NA,15.0453483164409,NA,NA
"3551524","2001-08-30",NA,0.48207171314741,0.241699867197875,0.231303615585172,15.5529738444412,14.7543594888922,15.1536666666667,0.722886051024767,51.4216676257382,NA,15.0593018742488,NA,NA
"3551523","2001-08-31",NA,0.760956175298804,0.49535192563081,0.305845842922666,15.6186157848963,14.733717548437,15.1761666666667,0.969545517078313,58.046201270369,15.077,15.1180616243489,NA,NA
"3551522","2001-09-04",NA,0.609561752988048,0.617529880478087,0.451527224435591,15.6500664336267,14.7489335663733,15.1995,0.789080566769217,53.7602774314973,15.0866,15.1436534077691,0.465736147823281,NA
"3551521","2001-09-05",NA,0.705179282868525,0.691899070385126,0.601593625498008,15.6818857017286,14.7839476316047,15.2329166666667,0.847555520494059,55.9714244005206,15.0948,15.1818329533999,0.575034912670813,NA
"3551520","2001-09-06",14.9242986651652,0.0318725099601601,0.448871181938911,0.586100044267375,15.6884837800691,14.7688495532642,15.2286666666667,0.14079921809674,41.0760553742549,15.0738,15.1022552262799,0.209201415788307,NA
"3551519","2001-09-07",18.1850924907842,0,0.245683930942895,0.462151394422311,15.9527228818629,14.3852771181371,15.169,-0.399977976471385,28.777849391249,14.9968,14.8652878627759,-0.75431243012547,NA
"3551518","2001-09-10",21.2129724717162,0.0888888888888891,0.0402537996163496,0.244936304166052,16.109030410921,14.0988029224124,15.1039166666667,-0.185950557610622,32.5737833075338,14.9386,14.6892494810724,-1.39424277079081,NA
"3551517","2001-09-17",24.6509405371223,0,0.0296296296296296,0.105189120062958,16.3311033517442,13.6973966482558,15.01425,-0.206577032363478,26.2963497610886,14.8502,14.4146828835961,-2.39387588984101,NA
"3551516","2001-09-18",27.6870544068752,0.334384858044164,0.141091248977684,0.0703248927412214,16.3628401946679,13.5491598053321,14.956,0.116398032475861,40.582036914514,14.8076,14.3180584991166,-2.57423402284144,NA
"3551515","2001-09-19",30.9069107595058,0.10174880763116,0.145377888558441,0.105366255721919,16.4406628396155,13.2815038270511,14.8610833333333,-0.000476021322500078,35.4205173697314,14.7286,14.1356506992344,-3.10712276748174,NA
"3551514","2001-09-20",34.0544878903997,0,0.145377888558441,0.143949008698189,16.5224614402738,12.9602052263929,14.7413333333333,-0.0178366057664821,33.2365743340968,14.6386,13.9302306060032,-3.70345445938213,-1.40858554046447
"3551513","2001-09-21",36.8857024692148,0.0487421383647797,0.0501636486653132,0.113639808594065,16.5311126472191,12.7160540194476,14.6235833333333,0.0770488763691953,35.1176278612646,14.551,13.7728665252027,-4.05182506812292,-1.93723344599616
"3551512","2001-09-24",39.5146874352573,0.190251572327044,0.0796645702306076,0.0917353691514542,16.4810530822495,12.5611135844171,14.5210833333333,0.188494341811004,40.3704152813006,14.4836,13.6964843218424,-4.02359416025957,-2.35450558884884
"3551511","2001-09-25",42.1253196637978,0.0801886792452827,0.106394129979035,0.0787407829583189,16.4343971762488,12.3779361570845,14.4061666666667,0.157870905999924,37.8066872917605,14.3996,13.5836197455967,-4.16425986212408,-2.71645644350389
"3551510","2001-09-26",43.0852186449538,0.193396226415094,0.15461215932914,0.113556953179595,16.3115076059155,12.2941590607512,14.3028333333333,0.279415040367022,41.8940965634013,14.325,13.5338037795172,-4.01889081203578,-2.97694331721027
"3551509","2001-09-27",43.9765534131701,0.235849056603774,0.169811320754717,0.143605870020964,16.1787663033613,12.236567029972,14.2076666666667,0.32048937215235,43.3964228449978,14.2498,13.5086299422482,-3.78057022107016,-3.13766869798224
"3551508","2001-09-28",42.8729347802527,0.374213836477987,0.267819706498952,0.197414395527603,16.0393140383016,12.2430192950318,14.1411666666667,0.473351208610445,48.1058292948403,14.1892,13.5454792832818,-3.29095450718251,-3.1683258598223
"3551507","2001-10-01",42.7905494875124,0.100682593856655,0.236915162312805,0.224848729855492,15.9051114629893,12.1970552036774,14.0510833333333,0.331155923872226,40.6899233911526,14.0938,13.4580820455109,-3.39873179888328,-3.21440704763449
"3551506","2001-10-02",42.7140488585392,0.443349753694581,0.306082061343074,0.270272310051611,15.8279254155273,12.1647412511394,13.9963333333333,0.409550457071083,46.6743145680784,14.0244,13.4630044394428,-3.08761042364563,-3.18904772283672
"3551505","2001-10-03",41.9757857589363,0.506393861892583,0.350142069814606,0.297713097823496,15.7050064273037,12.1664935726963,13.93575,0.468230533196938,47.5225877138391,13.9538,13.4792705141837,-2.75519799463377,-3.10227777719613
"3551504","2001-10-04",40.8664722337163,0.667519181585678,0.539087599057614,0.398437243405098,15.5265442842924,12.2216223823743,13.8740833333333,0.567853343181832,50.4910769544111,13.9016,13.5353677789592,-2.27713206293961,-2.93724863434483
"3551503","2001-10-05",39.9006220271631,0.641943734015345,0.605285592497868,0.49817175379003,15.2514443201739,12.3393890131594,13.7954166666667,0.576549599222829,50.0075256402066,13.8438,13.5773187417647,-1.90620532709768,-2.7310399728954
"3551502","2001-10-08",39.0037611210779,0.716112531969309,0.675191815856777,0.60652166913742,14.9798817331832,12.4759516001501,13.7279166666667,0.652593448312594,51.4593568931537,13.7984,13.633009576196,-1.50905766286108,-2.48664351088853
"3551501","2001-10-09",38.3210063843764,0.662404092071611,0.673486786018755,0.651321398124467,14.604720892365,12.7016124409683,13.6531666666667,0.708518507204402,50.3197477009759,13.7722,13.6672749660366,-1.24229110534757,-2.23777302978034
"3551500","2001-10-10",37.3311257332243,0.78611111111111,0.72154257838401,0.690073726753181,14.4405126271938,12.8038207061395,13.6221666666667,0.900910310746804,53.2404670770196,13.7448,13.7336383038984,-0.859423162522577,-1.96210305632879
"3551499","2001-10-11",35.2492956472316,0.769230769230769,0.739248657471163,0.71142600729131,14.6030542029549,12.7319457970451,13.6675,1.03310647146333,56.5886281721084,13.7188,13.8358198633786,-0.357336442497269,-1.64114973356248
"3551498","2001-10-12",33.7965707678405,0.63953488372093,0.731625588020936,0.730805607958704,14.7063994476263,12.704433885707,13.7054166666667,0.888576447799055,53.2197771705656,13.6678,13.8877105482614,-0.119729116842726,-1.33686561021853
"3551497","2001-10-15",32.4476119512632,0.708530805687204,0.705765486212968,0.725546577235023,14.8112093860297,12.741457280637,13.7763333333333,0.884265019593932,54.9019939112452,13.6308,13.9540158084932,0.158561053415629,-1.0377802774917
"3551496","2001-10-16",31.0578753153766,0.760663507109004,0.702909732172379,0.713433602135428,14.9202572896779,12.7110760436554,13.8156666666667,0.883701730309732,56.0715549201414,13.5934,14.0261470340275,0.436172215740349,-0.742989778845291
"3551495","2001-10-17",30.5726187098108,0.545023696682464,0.671406003159557,0.693360407181635,14.9561259660887,12.7727073672447,13.8644166666667,0.678886143747299,50.2648072216982,13.5716,14.0279940961571,0.389782442208109,-0.516435334634611
"3551494","2001-10-18",30.9626910547461,0.260663507109004,0.522116903633491,0.632144212988476,14.9062492203739,12.9020841129594,13.9041666666667,0.393970811479627,43.8202931997337,13.5762,13.9495948833362,0.00735441980372897,-0.411677383746943
"3551493","2001-10-19",31.3249010893289,0.0384615384615388,0.281382914084335,0.491635273625795,14.8608331648848,13.0056668351152,13.93325,0.315874551056699,44.5854225487569,13.5744,13.8896488988914,-0.259633597816789,-0.381268626560912
"3551492","2001-10-22",31.4611380660566,0.0769230769230775,0.12534937416454,0.309616397294123,14.8423101467939,13.0596898532061,13.951,0.333952299844936,45.3864374284572,13.6116,13.8456957123725,-0.432357942594619,-0.391486489767653
"3551491","2001-10-23",31.5725922791108,0.131410256410256,0.0822649572649573,0.162999081837945,14.7775373416799,13.1939626583202,13.98575,0.327973590681109,46.5648462359787,13.6098,13.8189362840562,-0.514287998856477,-0.416046791585418
"3551490","2001-10-24",31.893864801147,0.0416666666666675,0.0833333333333335,0.0969825549209442,14.7630523746378,13.2287809586955,13.9959166666667,0.254986853850903,44.8483771037732,13.632,13.7770781128487,-0.653914267865707,-0.463620286841476
"3551489","2001-10-25",32.498024094766,0,0.0576923076923077,0.0744301994302001,14.7738091038254,13.2063575628413,13.9900833333333,0.112906693358396,42.3846267677322,13.6602,13.7134676978022,-0.875669292259262,-0.546030087925033
"3551488","2001-10-26",32.493240102965,0.008823529411764,0.0168300653594769,0.0526185687950399,14.7782536519826,13.1429130146841,13.9605833333333,0.187781663533551,42.6329597986643,13.6828,13.6603386714286,-1.03200485672654,-0.643225041685335
"3551487","2001-10-29",32.5568452691367,0,0.00294117647058769,0.0258211831741247,14.7815130813895,13.1358202519438,13.9586666666667,0.152426024003113,42.1117022916764,13.6858,13.6089601819048,-1.16720015541635,-0.748020064431538
"3551486","2001-10-30",32.8722441260369,0,0.00294117647058769,0.007570806100218,14.8127573477843,13.0595759855491,13.9361666666667,0.0886525591697961,40.13020202492,13.6968,13.5444321576508,-1.34919240167364,-0.868254531879958
"3551485","2001-10-31",32.2091103100579,0.0933333333333337,0.0311111111111109,0.012331154684096,14.8198741075678,13.0126258924322,13.91625,0.228177902799526,43.4720453307143,13.7004,13.5118412032974,-1.3743542211008,-0.969474469724127
"3551484","2001-11-01",31.5933431952202,0.12,0.0711111111111109,0.0350544662309371,14.8055662658097,12.9616004008569,13.8835833333333,0.262152140845321,44.4265159268358,13.7006,13.490262376191,-1.34926328734649,-1.0454322332486
"3551483","2001-11-02",30.2104186799934,0.16,0.124444444444444,0.075555555555556,14.7906261352417,12.9325405314249,13.8615833333333,0.34755815371576,45.9020724566433,13.6862,13.4815607260322,-1.27002472029922,-1.09035073065872
"3551482","2001-11-05",28.1782528557609,0.432692307692308,0.237564102564102,0.14437321937322,14.7743130229622,12.9293536437045,13.8518333333333,0.534237429494023,52.6689600447083,13.7226,13.5240192958946,-0.971760947319233,-1.06663277399083
"3551481","2001-11-06",26.3875260857524,0.717391304347825,0.436694537346711,0.266234361451753,14.7750948015662,12.9294051984338,13.85225,0.611656549933198,55.0889111610206,13.7408,13.5808167231087,-0.639131093236356,-0.981132437839932
"3551480","2001-11-07",25.3028481261306,0.688405797101448,0.612829803047194,0.429029480986003,14.7669103553482,12.9315896446518,13.84925,0.701100184388643,57.0592182950835,13.7604,13.6467078266942,-0.298867171949013,-0.844679384661749
"3551479","2001-11-08",24.4764101458324,0.824742268041237,0.743513123163503,0.597679154519136,14.7147077076511,12.9582922923489,13.8365,0.826517289135349,60.7664726209395,13.7774,13.7371467831349,0.115263634657259,-0.652690780797947
"3551478","2001-11-09",23.7590260243327,0.847457627118644,0.786868564087109,0.714403830099269,14.708237846972,12.9614288196946,13.8348333333333,0.852165953496064,61.4827032883102,13.7984,13.822193878717,0.465049686111629,-0.429142687416032
"3551477","2001-11-12",22.1452679996638,0.644067796610169,0.772089230590016,0.767490305946877,14.6427626777713,12.9912373222287,13.817,0.740989336714879,54.9954848012253,13.8016,13.8559013615547,0.559650292328406,-0.231384091467144
"3551476","2001-11-13",20.6467784053284,0.647457627118644,0.712994350282485,0.757317381653204,14.5365162195629,13.0448171137704,13.7906666666667,0.731950263063396,55.0805542057897,13.8092,13.8857811800141,0.629922605119115,-0.0591227521498924
"3551475","2001-11-14",20.7018360799745,0.602941176470589,0.631488866733134,0.705524149201879,14.5591071925804,13.034226140753,13.7966666666667,0.87926455485841,56.3252422810237,13.8086,13.9210103560122,0.717584456267351,0.0962186895335562
"3551474","2001-11-15",20.8586368362857,0.7,0.650132934529744,0.664872050515122,14.6618987527142,13.0147679139524,13.8383333333333,0.91688653415225,59.7563921415498,13.8026,13.9782089752106,0.89174157153058,0.255323265932961
"3551473","2001-11-16",20.8987317939551,0.682857142857143,0.661932773109243,0.647851524790708,14.7371176492343,13.0250490174324,13.8810833333333,0.830350853247095,59.0075458602278,13.8064,14.0237811118492,0.999989654291045,0.404256543604578
"3551472","2001-11-19",21.5312817848323,0.73134328358209,0.704733475479744,0.672266394372911,14.8476316663011,13.0165350003656,13.9320833333333,0.905722254039019,62.4686873444187,13.812,14.0906102969359,1.18865949189275,0.561137133262213
"3551471","2001-11-20",21.967183498773,0.698461538461538,0.704220654966923,0.690295634518637,14.9374266551743,13.0192400114923,13.9783333333333,0.844074963807027,61.3796798568722,13.8116,14.1431955906778,1.29901464940692,0.708712636491153
"3551470","2001-11-21",22.3719493760036,0.693548387096774,0.7077844030468,0.70557951116449,15.006423894061,13.0472427726057,14.0268333333333,0.78745002720747,61.649673477392,13.83,14.1907695119208,1.378159306867,0.842601970566322
"3551469","2001-11-23",22.9365892155771,0.782978723404256,0.724996216320856,0.712333758111527,15.0787990838387,13.1128675828279,14.0958333333333,0.839533701788083,65.4632716664507,13.8812,14.261333576998,1.54657574229093,0.983396724911245
"3551468","2001-11-26",22.0947176027945,0.409756097560975,0.628761069354001,0.68718056290722,15.1031631118815,13.1965035547852,14.1498333333333,0.699388855368412,55.9337734583958,13.916,14.2758224333983,1.46446619397258,1.07961061872351
"3551467","2001-11-27",20.8091479279138,0.161111111111113,0.451281977358781,0.601679754344547,15.0821748779077,13.3069917887589,14.1945833333333,0.549055972798329,52.4123834003644,13.9424,14.2683794422785,1.29968775753466,1.12362604648574
"3551466","2001-11-28",19.8176697321046,0,0.190289069557362,0.423444038756716,15.0064862703546,13.4668470629787,14.2366666666667,0.38308949321524,46.9006790070601,13.955,14.227262183308,1.01038248398022,1.10097733398464
"3551465","2001-11-29",18.8970114074246,0,0.0537037037037038,0.231758250206616,14.9493387884491,13.5846612115509,14.267,0.327553894548328,46.9006790070601,13.9732,14.1916272255336,0.771950058545712,1.03517187889685
"3551464","2001-11-30",18.0553726074391,0,-4.07081775695891e-16,0.0813309244203559,14.878063761303,13.713936238697,14.296,0.267207634269027,43.4368586690811,13.9928,14.1380769287958,0.480306065719338,0.92419871626135
"3551463","2001-12-03",17.0601934624546,0,-4.07081775695891e-16,0.0179012345679017,14.8404696588257,13.773697007841,14.3070833333333,0.0246566052614239,42.1549017587344,14.0092,14.0830000049564,0.208901605288014,0.781139294066683
"3551462","2001-12-04",15.844430697862,0,-4.07081775695891e-16,2.72929826887018e-16,14.8695052484142,13.7223280849192,14.2959166666667,-0.0267277097454407,40.3779598664762,14.0236,14.0232666709622,-0.0580429227364121,0.613302850706064
"3551461","2001-12-05",15.5935034925167,0.0261194029850747,0.00870646766169117,0.0029021558872308,14.8867353010507,13.6805980322827,14.2836666666667,0.110049912632457,41.4122495339329,14.0454,13.9761644481672,-0.247420158083922,0.441158248948067
"3551460","2001-12-06",16.4947755755504,0.201492537313433,0.0758706467661687,0.0281923714759538,14.885457804801,13.6733755285324,14.2794166666667,0.379477378562906,47.9421436017978,14.0696,13.9666758550783,-0.259028021197238,0.301120994919006
"3551459","2001-12-07",17.3316710812244,0.5,0.242537313432835,0.109038142620232,14.8825275302631,13.6729724697369,14.27775,0.581779383092857,56.7734795066713,14.1078,14.0117857410678,-0.0368620955417898,0.233524376826847
"3551458","2001-12-10",16.3485658139055,0.0877862595419849,0.263092932285139,0.193833630828048,14.8658010009646,13.645865665702,14.2558333333333,0.299852779398257,45.2923914058752,14.1208,13.9768809755921,-0.179001394546952,0.151019222552087
"3551457","2001-12-11",15.7036707531156,0,0.195928753180661,0.233852999632879,14.9006827837471,13.5481505495862,14.2244166666667,0.0284770418831327,40.3098494148109,14.1062,13.9046301788465,-0.469279590985838,0.0269594598445019
"3551456","2001-12-12",15.5591380941678,0,0.0292620865139945,0.162761257326599,14.9591246217426,13.4123753782574,14.18575,-0.0317065258836184,37.4244303011513,14.0774,13.8146794883336,-0.811278762994649,-0.140688184723328
"3551455","2001-12-13",14.815698091206,0,-4.20959563503705e-16,0.0750636132315524,14.9739190927183,13.3022475739483,14.1380833333333,0.0714369368488059,37.0758843212244,14.0426,13.7333888898892,-1.08692603980725,-0.329935755740112
"3551454","2001-12-14",14.1253609455987,0.0324909747292418,0.0108303249097469,0.0133641371412477,14.958436831044,13.2033965022893,14.0809166666667,0.101576107088014,38.1917414089364,13.9996,13.6689370379039,-1.26625198903334,-0.517199002398757
