"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"3672886","2009-12-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672885","2009-12-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672884","2009-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672883","2009-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672882","2009-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672881","2009-12-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672880","2009-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672879","2009-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672878","2009-12-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672877","2009-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672876","2009-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672875","2009-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672874","2009-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3672873","2009-12-30",NA,0.445969125214408,NA,NA,NA,NA,NA,NA,NA,NA,27.1764285714286,NA,NA
"3672872","2009-12-31",NA,0.526112185686654,NA,NA,NA,NA,NA,NA,57.9273008507347,NA,27.2262380952381,NA,NA
"3672871","2010-01-04",NA,0.531914893617021,0.501332068172695,NA,NA,NA,NA,NA,58.0321642632485,NA,27.2734063492064,NA,NA
"3672870","2010-01-05",NA,0.652777777777778,0.570268285693818,NA,NA,NA,NA,NA,59.9663831881105,NA,27.3862855026455,NA,NA
"3672869","2010-01-06",NA,0.641586867305062,0.608759846233287,0.560120066699933,NA,NA,NA,NA,64.5305589346537,NA,27.6707807689594,NA,NA
"3672868","2010-01-07",NA,0.829230769230769,0.707865138104536,0.62896442334388,NA,NA,NA,NA,68.7509416390069,NA,28.1226766664315,NA,NA
"3672867","2010-01-08",NA,0.693681318681319,0.72149965173905,0.679374878692291,31.4545318505297,25.0844681494703,28.2695,1.07516431628839,69.0853439145617,NA,28.5316531109073,NA,NA
"3672866","2010-01-11",NA,0.699853587115666,0.740921891675918,0.723428893839835,32.2281728646347,24.8601604686987,28.5441666666667,1.06584685836933,71.2278644984054,NA,28.9980993627863,NA,NA
"3672865","2010-01-12",NA,0.659354838709677,0.684296581502221,0.71557270830573,32.957203633179,24.5351297001543,28.7461666666667,1.03357799623583,72.0474629926226,NA,29.4463527810815,NA,NA
"3672864","2010-01-13",NA,0.598709677419355,0.652639367748233,0.692619280308791,33.4238117578587,24.4308549088079,28.9273333333333,0.882076780493248,69.0313738513736,NA,29.7721724102706,NA,NA
"3672863","2010-01-14",NA,0.649032258064516,0.635698924731183,0.657544957993879,33.8954090424901,24.5455909575099,29.2205,0.872502791142885,70.148105466867,NA,30.1065494222345,NA,NA
"3672862","2010-01-15",NA,0.552258064516129,0.6,0.629446097493139,34.0192245038752,25.0764421627914,29.5478333333333,0.768242392785624,65.2734410823731,28.6232,30.2963428326033,NA,NA
"3672861","2010-01-19",NA,0.650322580645161,0.617204301075269,0.617634408602151,34.2220975588637,25.5449024411363,29.8835,0.817287629160488,67.7212761006011,28.8948,30.5621637882562,7.17474802480274,NA
"3672860","2010-01-20",NA,0.677675033025099,0.626751892728797,0.614652064601355,34.4363389783852,25.9529943549481,30.1946666666667,0.809076209488901,68.5689221117495,29.0452,30.828541949822,7.05466566402011,NA
"3672859","2010-01-21",28.953866004749,0.679194630872483,0.669064081514248,0.637673425106105,34.7084435997632,26.1545564002368,30.4315,0.781567893499149,68.7326715672794,29.2252,31.0660696898457,6.88574002997877,NA
"3672858","2010-01-22",29.3599176655942,0.648247978436658,0.668372547444747,0.654729507229264,34.9372843957808,26.3640489375525,30.6506666666667,0.748369864995331,67.0767864691759,29.4764,31.2425937311996,6.61334808842544,NA
