"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4132081","2012-03-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132080","2012-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132079","2012-03-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132078","2012-04-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132077","2012-04-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132076","2012-04-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132075","2012-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132074","2012-04-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132073","2012-04-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132072","2012-04-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132071","2012-04-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132070","2012-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132069","2012-04-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4132068","2012-04-17",NA,0.0847457627118645,NA,NA,NA,NA,NA,NA,NA,NA,8.09142857142857,NA,NA
"4132067","2012-04-18",NA,0.101694915254237,NA,NA,NA,NA,NA,NA,48.936170212766,NA,7.98857142857143,NA,NA
"4132066","2012-04-19",NA,0.155555555555556,0.113998744507219,NA,NA,NA,NA,NA,49.5145631067961,NA,7.91542857142857,NA,NA
"4132065","2012-04-20",NA,0.171428571428572,0.142893014079455,NA,NA,NA,NA,NA,48.9178553861289,NA,7.8360380952381,NA,NA
"4132064","2012-04-23",NA,0.166666666666667,0.164550264550265,0.14048067437898,NA,NA,NA,NA,48.2911250560287,NA,7.75123301587302,NA,NA
"4132063","2012-04-24",NA,0,0.112698412698413,0.140047230442711,NA,NA,NA,NA,48.2911250560287,NA,7.67773528042328,NA,NA
"4132062","2012-04-25",NA,0,0.0555555555555556,0.110934744268078,10.6056389827155,6.07436101728453,8.34,0.257242877529941,47.5840843993156,NA,7.59803724303351,NA,NA
"4132061","2012-04-26",NA,0,-9.25185853854297e-18,0.0560846560846561,10.5152801647572,5.89271983524282,8.204,0.178965790770781,44.1068215960966,NA,7.44896561062904,NA,NA
"4132060","2012-04-27",NA,0.129032258064516,0.043010752688172,0.0328554360812425,9.84118752424033,6.13481247575967,7.988,0.244224481440805,47.417318583152,NA,7.3837701958785,NA,NA
"4132059","2012-04-30",NA,0.0476190476190473,0.0588837685611878,0.0339648404164532,9.15801744174992,6.40598255825008,7.782,0.128638428194524,45.2524933082894,NA,7.2792675030947,NA,NA
"4132058","2012-05-01",NA,0.095238095238095,0.0906298003072194,0.0641747738521931,8.93406141583784,6.39393858416217,7.664,0.175606238515471,46.1352758329272,NA,7.20469850268208,NA,NA
"4132057","2012-05-02",NA,0.095238095238095,0.0793650793650791,0.0762928827444954,8.94766056241748,6.30833943758253,7.628,0.20143837648809,46.1352758329272,7.6128,7.1400720356578,NA,NA
"4132056","2012-05-03",NA,0.0624999999999996,0.0843253968253965,0.0847734254992317,8.95894428146229,6.21305571853771,7.586,0.199186627180438,45.288350254431,7.5744,7.06806243090343,-7.80565749222472,NA
"4132055","2012-05-04",NA,0,0.0525793650793648,0.0720899470899468,8.87965313572441,6.11234686427559,7.496,0.176219430698974,43.5657977133252,7.4208,6.97365410678297,-7.97799173787717,NA
"4132054","2012-05-07",46.0837805589418,0,0.0208333333333332,0.0525793650793648,8.64227643111605,6.10972356888395,7.376,0.177795471846219,43.5657977133252,7.2624,6.89183355921191,-8.0380382093351,NA
"4132053","2012-05-08",46.7814788672751,0,-3.23815048849004e-17,0.0244708994708993,8.32950823662745,6.17449176337255,7.252,0.16032742251181,42.6256494312043,7.176,6.80492241798365,-8.14716220076378,NA
"4132052","2012-05-09",47.429341582156,0.0714285714285715,0.0238095238095238,0.0148809523809523,8.13720251725217,6.16679748274784,7.152,0.138652973611026,43.9287431769969,7.1664,6.74559942891917,-8.0123869506502,NA
"4132051","2012-05-10",47.5929789595362,0.0833333333333334,0.0515873015873016,0.0251322751322751,8.02152419323886,6.13047580676114,7.076,0.184830909530499,43.9287431769969,7.1328,6.69418617172994,-7.82389232200528,NA
"4132050","2012-05-11",46.1952193160504,0.166666666666667,0.107142857142857,0.0608465608465609,7.91802678531392,6.12597321468608,7.022,0.331478252129374,45.3677935141686,7.08,6.66562801549928,-7.45013572926361,NA
"4132049","2012-05-14",45.0903445446269,0.090909090909091,0.113636363636364,0.0907888407888409,7.7504973586035,6.14150264139651,6.946,0.210378166555502,44.1476033768038,6.9888,6.62487761343271,-7.21975961792527,NA
"4132048","2012-05-15",43.7014730436751,0.125,0.127525252525253,0.116101491101491,7.67549727388876,6.11650272611125,6.896,0.258818912781945,44.1476033768038,6.9072,6.58956059830835,-6.9618830060699,-7.71521191845722
"4132047","2012-05-16",43.0042944963884,0,0.071969696969697,0.104377104377104,7.59686374278616,6.06313625721384,6.83,0.115316276489733,40.3698976661988,6.8208,6.51095251853391,-7.12385923391369,-7.59694138154852
"4132046","2012-05-17",42.356914416765,0,0.0416666666666667,0.0803872053872055,7.48354279152383,6.04045720847617,6.762,0.138275091836488,40.3698976661988,6.7488,6.44282551606272,-7.18256423997803,-7.51406595323442
"4132045","2012-05-18",40.3481692566489,0,-1.85037170770859e-17,0.0378787878787879,7.35359246444041,6.05840753555959,6.706,0.263740302116996,40.3698976661988,6.7008,6.38378211392102,-7.15732417594205,-7.44271759777595
"4132044","2012-05-21",38.4829058936839,0.1,0.0333333333333333,0.025,7.25392052457256,6.04607947542744,6.65,0.160551361215793,42.4211394389189,6.6336,6.34861116539822,-6.91368805796218,-7.33691168981319
"4132043","2012-05-22",37.0015141572451,0,0.0333333333333333,0.0222222222222222,7.1354539393936,6.0445460606064,6.59,0.10583289536964,40.9057631745252,6.5856,6.30212967667846,-6.79982946427545,-7.22949524470564
"4132042","2012-05-23",36.101756863745,0,0.0333333333333333,0.0333333333333333,7.04497582148491,6.01102417851509,6.528,-0.010662179986893,37.9833220177133,6.5232,6.229845719788,-6.9457715926074,-7.172750514286
"4132041","2012-05-24",36.2328336270643,0,-1.85037170770859e-17,0.0222222222222222,7.15700505048665,5.77099494951335,6.464,-0.238811354463376,31.8559230220911,6.432,6.08719962381626,-7.77454531964228,-7.29310947535725
"4132040","2012-05-25",36.3545477644322,0.0588235294117648,0.0196078431372549,0.0176470588235294,7.1423367948072,5.6336632051928,6.388,-0.0753398256423714,34.1441151341352,6.3504,5.97957300730743,-8.21344127172702,-7.47717583463121
"4132039","2012-05-29",36.644295143532,0,0.0196078431372549,0.0130718954248366,7.19620812029748,5.42779187970252,6.312,-0.106192125695103,32.9524962594946,6.2688,5.8702966063331,-8.65201112225712,-7.71214289215639
