"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4342131","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342130","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342129","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342128","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342127","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342126","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342125","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342124","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342123","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342122","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342121","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342120","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342119","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4342118","2001-08-16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,29.6285714285714,NA,NA
"4342117","2001-08-17",NA,0.0909090909090908,NA,NA,NA,NA,NA,NA,33.0645161290323,NA,29.1447619047619,NA,NA
"4342116","2001-08-20",NA,0.03030303030303,0.0404040404040403,NA,NA,NA,NA,NA,31.4268867924528,NA,28.6454603174603,NA,NA
"4342115","2001-08-21",NA,0,0.0404040404040403,NA,NA,NA,NA,NA,30.3477575332866,NA,28.1593989417989,NA,NA
"4342114","2001-08-22",NA,0,0.01010101010101,0.0303030303030302,NA,NA,NA,NA,28.6274995868451,NA,27.6514790828924,NA,NA
"4342113","2001-08-23",NA,0.123152709359606,0.0410509031198686,0.0305186512083063,NA,NA,NA,NA,36.1259691126652,NA,27.3779485385068,NA,NA
"4342112","2001-08-24",NA,0.113300492610837,0.0788177339901477,0.0433232157370088,34.825712003807,23.5159546628597,29.1708333333333,0.222584675743609,35.8019112220684,NA,27.1275554000392,NA,NA
"4342111","2001-08-27",NA,0.187192118226601,0.141215106732348,0.0870279146141215,34.6628399941976,23.3571600058024,29.01,0.36643881645775,40.1389506175442,NA,27.0105480133673,NA,NA
"4342110","2001-08-28",NA,0.38423645320197,0.22824302134647,0.149425287356322,34.4695900507428,23.3304099492572,28.9,0.501496220234778,49.8655483116991,NA,27.1758082782517,NA,NA
"4342109","2001-08-29",NA,0.427745664739884,0.333058078722819,0.234172068933879,34.1396240930004,23.3420425736662,28.7408333333333,0.496218288951076,49.0079811875972,NA,27.2923671744848,NA,NA
"4342108","2001-08-30",NA,0.386503067484662,0.399495061808839,0.320265387292709,33.4941463753201,23.5008536246798,28.4975,0.483572314875281,46.6329058998876,NA,27.3200515512201,NA,NA
"4342107","2001-08-31",NA,0.516393442622951,0.443547391615833,0.39203351071583,32.8523172637838,23.6976827362162,28.275,0.515474857706233,46.6329058998876,28.168,27.3440446777241,NA,NA
"4342106","2001-09-04",NA,0.745901639344262,0.549599383150625,0.464213945525099,32.1724724038314,24.0191942628353,28.0958333333333,0.662000278966563,53.3124438622044,28.116,27.5515053873609,-2.72488074654117,NA
"4342105","2001-09-05",NA,0.639344262295082,0.633879781420765,0.542342185395741,31.4522896501416,24.3710436831917,27.9116666666667,0.644277810915632,50.1725902951757,28.024,27.6446380023795,-2.29011030450577,NA
