"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4352131","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352130","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352129","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352128","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352127","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352126","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352125","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352124","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352123","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352122","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352121","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352120","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352119","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4352118","2001-08-16",NA,0.722222222222222,NA,NA,NA,NA,NA,NA,NA,NA,31.8728571428571,NA,NA
"4352117","2001-08-17",NA,0.596026490066225,NA,NA,NA,NA,NA,NA,78.7258248009101,NA,32.1898095238095,NA,NA
"4352116","2001-08-20",NA,0.649006622516556,0.655751778268335,NA,NA,NA,NA,NA,79.7196963376992,NA,32.5178349206349,NA,NA
"4352115","2001-08-21",NA,0.66887417218543,0.637969094922737,NA,NA,NA,NA,NA,80.0952314969359,NA,32.8221235978836,NA,NA
"4352114","2001-08-22",NA,0.615894039735099,0.644591611479029,0.6461041615567,NA,NA,NA,NA,76.0510133716199,NA,33.0325071181658,NA,NA
"4352113","2001-08-23",NA,0.705459770114943,0.663409327345157,0.648656677915641,NA,NA,NA,NA,78.5316860620865,NA,33.3281728357437,NA,NA
"4352112","2001-08-24",NA,0.610169491525424,0.643841100458489,0.650614013094225,37.1155403473025,29.1347929860308,33.1251666666667,0.772509983699922,76.0370157762801,NA,33.5510831243112,NA,NA
"4352111","2001-08-27",NA,0.684403669724771,0.666677643788379,0.657976023864008,37.2184809419523,29.6495190580477,33.434,0.802022924023596,77.7990429331893,NA,33.821605374403,NA,NA
"4352110","2001-08-28",NA,0.668549905838042,0.654374355696079,0.654964366647649,37.3284292681262,30.0679040652072,33.6981666666667,0.77112363706259,77.3764742446582,NA,34.050724657816,NA,NA
"4352109","2001-08-29",NA,0.593023255813953,0.648658943792255,0.656570314425571,37.4189411983365,30.4780588016635,33.9485,0.760989870807827,77.4095091767305,NA,34.2506280367738,NA,NA
"4352108","2001-08-30",NA,0.448051948051949,0.569875036567981,0.624302778685438,37.5031167362649,30.8338832637351,34.1685,0.734634660756563,77.5857441682987,NA,34.4305442985373,NA,NA
"4352107","2001-08-31",NA,0.383116883116883,0.474730695660928,0.564421558673721,37.3787721291488,31.4492278708512,34.414,0.693269490888159,75.0632031166313,33.2896,34.5598050587323,NA,NA
"4352106","2001-09-04",NA,0.442622950819673,0.424597260662835,0.489734330963915,37.1567232462619,32.1686100870714,34.6626666666667,0.714643620242253,75.9068009667884,33.5456,34.698497717568,4.6721596944739,NA
"4352105","2001-09-05",NA,0,0.275246611312185,0.391524855878649,36.9087879129861,32.6125454203473,34.7606666666667,0.23992777752937,49.316094682179,33.6552,34.4240313552256,3.78307872888124,NA
"4352104","2001-09-06",51.0028316179311,0.0734463276836153,0.172023092834429,0.29062232160315,36.7166901076844,32.9246432256489,34.8206666666667,0.0901949400040583,50.941746693566,33.766,34.2208271745289,3.10254714966027,NA
"4352103","2001-09-07",48.8948176979875,0,0.0244821092278715,0.157250604458162,36.8456086915997,32.738057975067,34.7918333333333,-0.224316477625393,41.3323342924041,33.782,33.8113835512584,2.12201216724539,NA
"4352102","2001-09-10",46.9373762008971,0.107355864811134,0.0602673974982494,0.0855908665201834,37.0621733799322,32.3658266200678,34.714,-0.100608688177045,44.7929842007382,33.8596,33.5285324110906,1.45266002390447,NA
"4352101","2001-09-17",45.5919158857668,0,0.0357852882703777,0.0401782649988329,37.322529888588,31.7694701114121,34.546,-0.0815412516548973,41.4300789361762,33.886,33.1913947562785,0.743017437738036,NA
"4352100","2001-09-18",45.4114114159075,0,0.0357852882703777,0.0439459913463349,37.7985992937758,30.8304007062242,34.3145,-0.158874256951952,33.5642107587054,33.79,32.632542122108,-0.314665015827087,NA
"4352099","2001-09-19",46.0185508121528,0,-2.12792746386488e-16,0.0238568588469183,38.4187096372612,29.5366236960722,33.9776666666667,-0.177130729555659,27.6319928749203,33.592,31.8682031724936,-1.68064641911432,NA
"4352098","2001-09-20",46.5823231086662,0.0969827586206899,0.0323275862068964,0.0227042914924246,38.613378912533,28.5819544208004,33.5976666666667,-0.0380757908425819,33.0900637227043,33.4244,31.3257760828278,-2.53074513007421,1.26104651520974
"4352097","2001-09-21",47.4276949335423,0,0.0323275862068964,0.0215517241379308,38.8302742163811,27.6810591169522,33.2556666666667,0.0145547659574181,30.2757834619372,33.1752,30.7183392717841,-3.45334075668735,0.318169060830325
