"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4382677","2020-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382676","2020-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382675","2020-09-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382674","2020-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382673","2020-09-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382672","2020-10-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382671","2020-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382670","2020-10-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382669","2020-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382668","2020-10-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382667","2020-10-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382666","2020-10-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382665","2020-10-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382664","2020-10-13",NA,0.524717093508041,NA,NA,NA,NA,NA,NA,NA,NA,18.2086142857143,NA,NA
"4382663","2020-10-14",NA,0.38376098835828,NA,NA,NA,NA,NA,NA,68.1643132220796,NA,18.2274657142857,NA,NA
"4382662","2020-10-15",NA,0.17029702970297,0.35959170385643,NA,NA,NA,NA,NA,67.9139474633522,NA,18.2384702857143,NA,NA
"4382661","2020-10-16",NA,0.131111111111111,0.228389709724121,NA,NA,NA,NA,NA,68.7784282681002,NA,18.2853409142857,NA,NA
"4382660","2020-10-19",NA,0.357822222222222,0.219743454345434,0.269241622641995,NA,NA,NA,NA,71.7635443049146,NA,18.461988792381,NA,NA
"4382659","2020-10-20",NA,0.658249158249158,0.38239416386083,0.276842442643462,NA,NA,NA,NA,77.0828653791778,NA,18.9217236200635,NA,NA
"4382658","2020-10-21",NA,0.756106542285504,0.590725974252295,0.397621197486186,23.3946826748116,15.2565906585218,19.3256366666667,1.1754281784556,80.8782135205701,NA,19.6201604707217,NA,NA
"4382657","2020-10-22",NA,0.70699881376038,0.707118171431681,0.560079436514935,23.9626423282646,15.7052976717354,19.83397,1.09938921520247,79.6160257754956,NA,20.1988057412921,NA,NA
"4382656","2020-10-23",NA,0.761565836298933,0.741557064114939,0.679800403266305,24.6228593640706,15.8603739692627,20.2416166666667,1.01717252154872,80.3746426556315,NA,20.7616316424532,NA,NA
"4382655","2020-10-26",NA,0.727164887307236,0.731909845788849,0.72686169377849,25.1893169075803,15.9642497590864,20.5767833333333,0.929252521373767,78.3938434753971,NA,21.2107474234594,NA,NA
