"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4505922","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505921","2021-01-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505920","2021-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505919","2021-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505918","2021-01-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505917","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505916","2021-01-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505915","2021-01-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505914","2021-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505913","2021-01-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505912","2021-01-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505911","2021-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505910","2021-02-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4505909","2021-02-03",NA,0.763882330064725,NA,NA,NA,NA,NA,NA,NA,NA,86.51235,NA,NA
"4505908","2021-02-05",NA,0.888885802383402,NA,NA,NA,NA,NA,NA,51.1916922029282,NA,86.7707033333333,NA,NA
"4505907","2021-02-08",NA,0.842662470999226,0.831810201149117,NA,NA,NA,NA,NA,51.0046710680828,NA,86.9892762222222,NA,NA
"4505906","2021-02-09",NA,0.858662897677271,0.863403723686633,NA,NA,NA,NA,NA,51.2921237325713,NA,87.1867060592593,NA,NA
"4505905","2021-02-10",NA,0.533320888557028,0.744882085744508,0.813365336860086,NA,NA,NA,NA,45.4527640966898,NA,87.195145251358,NA,NA
"4505904","2021-02-11",NA,0.653324088642364,0.681769291625554,0.763351700352232,NA,NA,NA,NA,47.8127859368144,NA,87.2624592178436,NA,NA
