"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4511011","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511010","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511009","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511008","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511007","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511006","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511005","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511004","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511003","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511002","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511001","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4511000","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4510999","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4510998","2001-08-16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,48.1592857142857,NA,NA
"4510997","2001-08-17",NA,0,NA,NA,NA,NA,NA,NA,20.2586206896552,NA,47.8193809523809,NA,NA
"4510996","2001-08-20",NA,0.0171232876712331,0.0057077625570777,NA,NA,NA,NA,NA,21.4736612973444,NA,47.5381301587302,NA,NA
"4510995","2001-08-21",NA,0.220890410958904,0.079337899543379,NA,NA,NA,NA,NA,34.3025047629721,NA,47.4530461375661,NA,NA
"4510994","2001-08-22",NA,0.345890410958904,0.194634703196347,0.0932267884322679,NA,NA,NA,NA,40.7023599715216,NA,47.4766399858906,NA,NA
"4510993","2001-08-23",NA,0.436936936936937,0.334572586284915,0.202848396341547,NA,NA,NA,NA,40.239735855856,NA,47.4864213211052,NA,NA
"4510992","2001-08-24",NA,0.457627118644068,0.41348482217997,0.314230703887077,50.9392183655649,45.5581149677684,48.2486666666667,0.460602875594846,39.9342305908953,NA,47.4882318116245,NA,NA
"4510991","2001-08-27",NA,0.721804511278196,0.5387895222864,0.428948976917095,50.6636062016718,45.6593937983282,48.1615,0.614936501552647,48.3032851242123,NA,47.6218009034079,NA,NA
"4510990","2001-08-28",NA,0.2911051212938,0.490178917072021,0.48081775384613,50.4300846811712,45.6539153188288,48.042,0.384426208929645,37.9499072332612,NA,47.4975607829535,NA,NA
"4510989","2001-08-29",NA,0.0242587601078176,0.345722797559938,0.45823041230612,50.2423655338076,45.494301132859,47.8683333333333,0.162669557231224,33.67470581352,NA,47.2578860118931,NA,NA
"4510988","2001-08-30",NA,0.0781671159029647,0.131176999101527,0.322359571244495,49.9046917718842,45.4489748947825,47.6768333333333,0.190248122864483,35.2613836650176,NA,47.0768345436407,NA,NA
"4510987","2001-08-31",NA,0.159029649595688,0.0871518418688235,0.18801721284343,49.4006172554795,45.5930494111872,47.4968333333333,0.295101046502389,37.6700801845071,47.5244,46.9599232711552,NA,NA
"4510986","2001-09-04",NA,0.159029649595688,0.132075471698114,0.116801437556155,49.0626753083153,45.6843246916846,47.3735,0.384509717627895,37.6700801845071,47.3824,46.8586001683345,-1.57222416146833,NA
"4510985","2001-09-05",NA,0,0.106019766397125,0.108415693321354,48.7976924483663,45.6429742183003,47.2203333333333,0.133247752850572,34.4040493425525,47.222,46.6827868125566,-1.66024159611402,NA
"4510984","2001-09-06",18.7321342184318,0,0.0530098831985627,0.0970350404312672,48.7410767871961,45.4895898794705,47.1153333333333,0.136474009109027,33.319883319515,47.0616,46.4997485708824,-1.75085444611986,NA
"4510983","2001-09-07",19.759307310922,0,-1.85037170770859e-17,0.0530098831985626,48.9471118725434,45.0112214607899,46.9791666666667,-0.11548969777355,27.2487861259823,46.8296,46.1397820947647,-2.06403192606404,NA
