"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4629054","2016-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629053","2016-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629052","2016-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629051","2016-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629050","2016-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629049","2016-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629048","2016-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629047","2016-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629046","2016-05-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629045","2016-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629044","2016-05-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629043","2016-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629042","2016-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4629041","2016-05-11",NA,0.368852459016395,NA,NA,NA,NA,NA,NA,NA,NA,25.0955785714286,NA,NA
"4629040","2016-05-12",NA,0.393442622950819,NA,NA,NA,NA,NA,NA,82.8846742122971,NA,25.1335014285714,NA,NA
"4629039","2016-05-13",NA,0.459016393442624,0.407103825136613,NA,NA,NA,NA,NA,84.8774351830674,NA,25.1770345714286,NA,NA
"4629038","2016-05-16",NA,0.459016393442624,0.437158469945356,NA,NA,NA,NA,NA,84.8774351830674,NA,25.2147632952381,NA,NA
"4629037","2016-05-17",NA,0.6875,0.535177595628416,0.459813296903462,NA,NA,NA,NA,83.4685605739355,NA,25.2461281892064,NA,NA
"4629036","2016-05-18",NA,0.420289855072464,0.522268749505029,0.498201605026267,NA,NA,NA,NA,65.8198517856887,NA,25.2533110973122,NA,NA
