"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4631530","2018-01-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631529","2018-01-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631528","2018-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631527","2018-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631526","2018-01-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631525","2018-01-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631524","2018-01-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631523","2018-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631522","2018-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631521","2018-01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631520","2018-01-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631519","2018-01-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631518","2018-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4631517","2018-01-22",NA,0.622710622710623,NA,NA,NA,NA,NA,NA,NA,NA,14.0145,NA,NA
"4631516","2018-01-23",NA,0.735042735042735,NA,NA,NA,NA,NA,NA,73.9772727272727,NA,14.1885666666667,NA,NA
"4631515","2018-01-24",NA,0.638176638176638,0.665309998643332,NA,NA,NA,NA,NA,73.7066713116182,NA,14.3354244444444,NA,NA
"4631514","2018-01-25",NA,0.568840579710145,0.647353317643173,NA,NA,NA,NA,NA,73.9800045082674,NA,14.4733678518519,NA,NA
"4631513","2018-01-26",NA,0.543478260869566,0.583498492918783,0.632053936401763,NA,NA,NA,NA,73.2623418600541,NA,14.5835854716049,NA,NA
"4631512","2018-01-29",NA,0.525490196078432,0.545936345552714,0.59226271870489,NA,NA,NA,NA,73.4603838469764,NA,14.6857740753909,NA,NA
"4631511","2018-01-30",NA,0.247058823529412,0.438675760159137,0.522703532876878,16.801032566311,12.513167433689,14.6571,0.566287843610307,65.9862575195439,NA,14.6796708653388,NA,NA
"4631510","2018-01-31",NA,0.343137254901961,0.371895424836602,0.452169176849484,16.4393772574208,13.2248227425792,14.8321,0.569859343069106,67.2254434778333,NA,14.7070480832936,NA,NA
"4631509","2018-02-01",NA,0.210588235294118,0.266928104575164,0.359166429856967,16.040284128801,13.8783825378656,14.9593333333333,0.416123224991533,63.7735456929645,NA,14.6857083388545,NA,NA
