"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4709198","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709197","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709196","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709195","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709194","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709193","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709192","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709191","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709190","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709189","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709188","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709187","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709186","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709185","2001-08-16",NA,0.289855072463768,NA,NA,NA,NA,NA,NA,NA,NA,345.714285714286,NA,NA
"4709184","2001-08-17",NA,0.203125,NA,NA,NA,NA,NA,NA,65,NA,347.285714285714,NA,NA
"4709183","2001-08-20",NA,0.15625,0.216410024154589,NA,NA,NA,NA,NA,61.6788321167883,NA,347.647619047619,NA,NA
"4709182","2001-08-21",NA,0.111111111111111,0.156828703703704,NA,NA,NA,NA,NA,59.4962989709334,NA,347.294603174603,NA,NA
"4709181","2001-08-22",NA,0.0793650793650794,0.115575396825397,0.16293804156123,NA,NA,NA,NA,57.3122767588393,NA,346.32198941799,NA,NA
"4709180","2001-08-23",NA,0,0.0634920634920635,0.111965388007055,NA,NA,NA,NA,56.2013923717243,NA,345.145724162258,NA,NA
"4709179","2001-08-24",NA,0,0.0264550264550265,0.0685074955908289,395.09788659945,318.735446733884,356.916666666667,0.289381620576195,56.2013923717243,NA,344.126294273957,NA,NA
"4709178","2001-08-27",NA,0,0,0.0299823633156967,394.476919866767,320.106413466567,357.291666666667,0.211467161217615,52.6506775920575,NA,342.242788370762,NA,NA
"4709177","2001-08-28",NA,0,0,0.00881834215167551,396.226941843971,316.439724822696,356.333333333333,0.0446221250749318,46.3443032196935,NA,338.610416587994,NA,NA
"4709176","2001-08-29",NA,0,0,2.31296463463574e-17,396.649123518332,315.517543148335,356.083333333333,0.137420268007685,46.3443032196936,NA,335.462361042928,NA,NA
"4709175","2001-08-30",NA,0,0,2.31296463463574e-17,398.520314227274,310.729685772726,354.625,0.0676265906561349,45.2956063349869,NA,332.400712903871,NA,NA
"4709174","2001-08-31",NA,0.151515151515152,0.0505050505050505,0.0168350168350169,398.74912135964,309.834211973693,354.291666666667,0.254915493732586,51.2371267804365,340.2,331.413951183355,NA,NA
"4709173","2001-09-04",NA,0.151515151515152,0.101010101010101,0.0505050505050505,390.033456063946,311.38321060272,350.708333333333,0.257894377124938,51.2371267804365,340.7,330.558757692241,-3.00287934192336,NA
"4709172","2001-09-05",NA,0.125,0.142676767676768,0.0980639730639731,382.154733902248,315.095266097752,348.625,0.582638094934226,51.2371267804365,340.5,329.817589999942,-2.89342151612341,NA
"4709171","2001-09-06",48.7772793519136,0.5,0.258838383838384,0.167508417508417,385.198951006234,313.967715660433,349.583333333333,0.89191608191465,65.3416538098677,342,334.175244666617,-1.87368813992765,NA
"4709170","2001-09-07",50.0627466493291,0.42,0.348333333333333,0.249949494949495,390.084108210551,311.66589178945,350.875,0.988300657860446,66.0467430774623,343.1,338.285212044401,-1.00124133936077,NA
"4709169","2001-09-10",50.5520387445241,0.32,0.413333333333333,0.34016835016835,389.206157994132,311.793842005869,350.5,0.622719490803508,59.5259923205799,344.1,340.180517105148,-0.604230051588606,NA
"4709168","2001-09-17",49.3104348427701,0.04,0.26,0.340555555555556,387.847160284566,309.986173048767,348.916666666667,0.289154141894587,45.8701360524361,342.3,337.156448157795,-1.10836104961324,NA
"4709167","2001-09-18",47.9411199392399,0,0.12,0.264444444444444,386.060318932249,307.856347734418,346.958333333333,0.251184843489468,44.306393213397,340.3,333.868921736755,-1.61505836533805,NA
"4709166","2001-09-19",45.6551736446346,0,0.0133333333333333,0.131111111111111,386.004940422042,301.661726244624,343.833333333333,0.0296993711524088,37.4346921362312,337.8,327.686398838521,-2.60595208485772,NA
"4709165","2001-09-20",43.6704016649601,0.05,0.0166666666666667,0.05,382.935480341442,298.481186325224,340.708333333333,0.146258365569155,40.4200993276659,335.8,323.328212326718,-3.18793572731612,-1.9880852906721
"4709164","2001-09-21",40.8193139962446,0,0.0166666666666667,0.0155555555555555,384.700389291773,288.549610708227,336.625,-0.0715849017860987,34.0116394565415,332.2,315.884450683156,-4.31197170961631,-2.45286257446094
"4709163","2001-09-24",39.0809767764977,0.147058823529412,0.0656862745098039,0.0330065359477124,383.162734683582,285.587265316418,334.375,0.24165296363087,42.8781114839015,329.8,312.766523925402,-4.53346597473151,-2.86898325451506
"4709162","2001-09-25",37.4668065010184,0.220588235294118,0.122549019607843,0.0683006535947712,381.436641940104,283.813358059896,332.625,0.327995269168862,46.7320450259964,327.5,311.730987402015,-4.34101702618559,-3.16339000884916
"4709161","2001-09-26",35.9679341023591,0.338235294117647,0.235294117647059,0.141176470588235,380.26946917361,283.23053082639,331.75,0.456203148216719,52.2797005975989,326.4,313.500189081746,-3.62978196885683,-3.2566684008507
"4709160","2001-09-27",34.2706442468821,0.294117647058824,0.284313725490196,0.214052287581699,379.33883244808,282.41116755192,330.875,0.422192836536954,50.1696144774314,324.6,314.03349720418,-3.22186446163237,-3.24970761300703
"4709159","2001-09-28",33.7867075192513,0.308823529411765,0.313725490196079,0.277777777777778,379.123259371498,282.376740628502,330.75,0.578383526682527,50.8812826362733,323.1,314.82903091029,-2.80186328695458,-3.16013874779654
"4709158","2001-10-01",33.337337700737,0.367647058823529,0.323529411764706,0.30718954248366,379.937958705266,282.478707961401,331.208333333333,0.641512135188816,53.7280116314733,322.3,316.851826788918,-2.1883566712504,-2.96578233248731
"4709157","2001-10-02",32.9200657264022,0.455882352941176,0.377450980392157,0.338235294117647,382.459946662822,283.456720003845,332.958333333333,0.722635841381114,57.6892066013659,322.3,320.604916550395,-1.30976393501203,-2.63457865299226
"4709156","2001-10-03",32.5325988930914,0.720930232558139,0.514819881440948,0.405266757865937,384.076295723379,284.173704276621,334.125,0.658904786853906,57.6892066013659,322.5,323.857594343676,-0.612159527053402,-2.23009482780449
"4709155","2001-10-04",32.5909977698524,0.604651162790698,0.593821249430005,0.495364037087703,385.189422163932,286.060577836068,335.625,0.611387021018291,53.2809380880125,322.3,325.009915097852,-0.368299096780866,-1.85773568159976
"4709154","2001-10-05",32.9669073582241,0.708333333333333,0.67797157622739,0.595537569032781,388.27276703125,286.143899635417,337.208333333333,0.763963892097694,58.7166128393082,322.9,328.675259751472,0.31260472519592,-1.42366760024063
"4709153","2001-10-08",33.1747170315925,0.6875,0.666828165374677,0.646206997010691,390.785933017736,286.630733648931,338.708333333333,0.720424265638815,57.811160218093,323.7,331.518558451276,0.77646472428281,-0.983641135335939
"4709152","2001-10-09",33.076805291133,0.645833333333333,0.680555555555556,0.675118432385874,390.785933017736,286.630733648931,338.708333333333,0.648416338569873,55.9527530384031,324.9,333.316083991106,1.0081396143711,-0.585284985394532
"4709151","2001-10-10",31.9094064399286,0.479166666666667,0.604166666666667,0.650516795865633,385.567923106638,287.682076893363,336.625,0.491912347930855,49.1470730725454,325.3,332.207272792292,0.699750589547943,-0.328277870406037
"4709150","2001-10-11",30.2295430629085,0.210526315789474,0.445175438596491,0.576632553606238,376.225501103397,290.857832229936,333.541666666667,0.429227695374672,45.4279709570223,325.3,329.579636419986,0.148326646577179,-0.232956967009394
"4709149","2001-10-12",28.4384557885,0.0303030303030303,0.239998670919723,0.429780258727627,373.008684837363,289.241315162637,331.125,0.26770986830682,43.9938778014783,324.6,326.635684897321,-0.410724575139698,-0.268510488635455
"4709148","2001-10-15",26.4296335006003,0,0.0802764486975012,0.255150186071238,373.141307373201,286.3586926268,329.75,0.214804629103128,41.8592535197866,323.6,323.084260244345,-1.03359015778567,-0.421526422465498
"4709147","2001-10-16",25.0660255691832,0,0.01010101010101,0.110125376572745,374.089584796945,282.160415203055,328.125,0.139668234290222,38.5058249055824,322.1,318.339692211766,-1.82972591383485,-0.703166320739367
"4709146","2001-10-17",23.7998182042959,0,-1.01770443923973e-16,0.0301258195995035,375.147940284021,279.768726382645,327.458333333333,0.116006480847378,38.5058249055824,319.1,314.227733250197,-2.44542371798944,-1.05161780018938
"4709145","2001-10-18",22.9577481817703,0,-1.01770443923973e-16,0.00336700336700311,376.985033971239,275.264966028761,326.125,0.0875117449089709,36.4726021884973,315.7,309.664035483504,-3.10388915742563,-1.46207207163663
"4709144","2001-10-19",21.7883604249914,0.0465116279069767,0.0155038759689921,0.00516795865633049,375.483055459518,278.266944540482,326.875,0.189266181831818,38.7929515723277,313,306.375497419037,-3.46689828240525,-1.86303731379036
