"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4745235","2001-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745234","2001-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745233","2001-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745232","2001-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745231","2001-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745230","2001-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745229","2001-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745228","2001-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745227","2001-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745226","2001-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745225","2001-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745224","2001-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745223","2001-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4745222","2001-07-18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,6.15357142857143,NA,NA
"4745221","2001-07-19",NA,0,NA,NA,NA,NA,NA,NA,33.3333333333331,NA,6.14642857142857,NA,NA
"4745220","2001-07-20",NA,0,0,NA,NA,NA,NA,NA,33.3333333333331,NA,6.1402380952381,NA,NA
"4745219","2001-07-23",NA,0.666666666666669,0.222222222222223,NA,NA,NA,NA,NA,62.4026696329254,NA,6.14820634920635,NA,NA
"4745218","2001-07-24",NA,0,0.222222222222223,0.148148148148149,NA,NA,NA,NA,42.4628820960698,NA,6.14177883597884,NA,NA
"4745217","2001-07-25",NA,0,0.222222222222223,0.222222222222223,NA,NA,NA,NA,42.4628820960698,NA,6.13620832451499,NA,NA
"4745216","2001-07-26",NA,0,0,0.148148148148149,6.21497862896539,6.08502137103461,6.15,0.115258117968071,42.4628820960698,NA,6.13138054791299,NA,NA
"4745215","2001-07-27",NA,0,0,0.0740740740740743,6.21603628398317,6.07896371601683,6.1475,0.153468227051374,42.4628820960698,NA,6.12719647485793,NA,NA
"4745214","2001-07-30",NA,0.333333333333337,0.111111111111112,0.0370370370370375,6.21603628398317,6.07896371601683,6.1475,0.518238514365727,52.6402504199527,NA,6.13023694487687,NA,NA
"4745213","2001-07-31",NA,0.333333333333337,0.222222222222225,0.111111111111112,6.21812168808341,6.07921164524992,6.14866666666667,0.677572954147285,52.6402504199527,NA,6.13287201889329,NA,NA
"4745212","2001-08-01",NA,0.799999999999999,0.488888888888891,0.274074074074076,6.2282740469483,6.07605928638503,6.15216666666667,0.945642282537625,63.2071621048619,NA,6.14448908304085,NA,NA
"4745211","2001-08-02",NA,0,0.377777777777779,0.362962962962965,6.22910637126498,6.07022696206836,6.14966666666667,0.187393936584939,44.7670052042482,6.1428,6.13855720530207,NA,NA
"4745210","2001-08-03",NA,0.666666666666669,0.488888888888889,0.451851851851853,6.23458228007416,6.06975105325917,6.15216666666666,0.790195821857385,56.2274945782409,6.1448,6.14674957792846,0.0269304405654758,NA
"4745209","2001-08-06",NA,0.333333333333337,0.333333333333335,0.400000000000001,6.23458228007416,6.06975105325917,6.15216666666666,0.486855241518672,50.5766973284923,6.1448,6.147182967538,0.0292763433481724,NA
"4745208","2001-08-07",25.8548905647873,0.333333333333337,0.444444444444448,0.422222222222224,6.23458228007416,6.06975105325917,6.15216666666666,0.689082295077812,50.5766973284923,6.1448,6.14755857186627,0.0307802217900832,NA
"4745207","2001-08-08",25.7914409386275,0.333333333333337,0.333333333333337,0.370370370370373,6.2373471379141,6.07031952875256,6.15383333333333,0.676617507417413,50.5766973284923,6.1448,6.14788409561743,0.031607349222762,NA
"4745206","2001-08-09",25.7325234286219,0.333333333333337,0.333333333333337,0.370370370370374,6.23211837045174,6.07054829621493,6.15133333333333,0.491747646712242,50.5766973284923,6.1448,6.14816621620178,0.0318949059687323,NA
"4745205","2001-08-10",25.6778143121882,0.333333333333337,0.333333333333337,0.333333333333337,6.2264728135537,6.07119385311296,6.14883333333333,0.507513359590755,50.5766973284923,6.1448,6.14841072070821,0.0317565030198086,NA
"4745204","2001-08-13",25.6270129897855,0.333333333333337,0.333333333333337,0.333333333333337,6.22035735345893,6.07230931320773,6.14633333333333,0.524766735584265,50.5766973284923,6.1448,6.14862262461378,0.0312859939326948,NA
"4745203","2001-08-14",29.1807121641078,0.111111111111112,0.259259259259262,0.308641975308646,6.32068110100065,6.00698556566601,6.16383333333333,1.46537342493663,57.2748186263528,6.1468,6.15547294133194,0.095389342639729,NA
"4745202","2001-08-15",32.4805756831215,0.222222222222222,0.222222222222224,0.271604938271608,6.3685740274911,5.98575930584222,6.17716666666666,1.12562902222886,66.9284459123745,6.1528,6.17474321582102,0.273743600737197,0.0647405223582951
"4745201","2001-08-16",35.6218106867992,0.333333333333334,0.222222222222223,0.234567901234569,6.43144938033046,5.9612172863362,6.19633333333333,1.14578039343776,73.400771256955,6.1608,6.20477745371155,0.538414294787071,0.15947527684405
"4745200","2001-08-17",38.8597388658887,0.555555555555555,0.37037037037037,0.271604938271606,6.54989533494385,5.90110466505615,6.2255,1.25704952223139,81.2882068149181,6.1768,6.25747379321668,0.993429960901637,0.326266213655568
"4745199","2001-08-20",41.068437596874,0.466666666666666,0.451851851851852,0.348148148148148,6.62010130730429,5.87556535936237,6.24783333333333,1.03568042541909,72.0809180537422,6.1896,6.29247728745445,1.23341166312674,0.507695303549802
"4745198","2001-08-21",43.1193721327889,0.555555555555555,0.525925925925926,0.449382716049383,6.68944227254453,5.86522439412213,6.27733333333333,1.00067667478475,75.116240908742,6.2096,6.33348031579386,1.50605637673162,0.707367518186166
"4745197","2001-08-22",44.0275970045827,0.411764705882353,0.477995642701525,0.485257806826434,6.71760224514122,5.88073108819211,6.29916666666666,0.783795179255349,65.5263352571158,6.2256,6.35568294035468,1.57481738225966,0.880857491000866
"4745196","2001-08-23",44.8709486712484,0.529411764705882,0.498910675381263,0.500944081336238,6.75166520467586,5.89666812865747,6.32416666666666,0.822613189062417,69.6931650064757,6.2456,6.38825854830739,1.7345514064564,1.05159627409197
"4745195","2001-08-24",45.6540609331522,0.529411764705882,0.490196078431372,0.489034132171387,6.77977282856715,5.91856050476618,6.34916666666666,0.791256089121298,69.6931650064757,6.2656,6.4164907418664,1.83816260754297,1.20890954078217
"4745194","2001-08-27",44.4860522832986,0.294117647058824,0.450980392156862,0.480029048656499,6.78837532600125,5.94162467399875,6.365,0.620066830094828,54.4324317459283,6.2736,6.41429197628422,1.64939691022923,1.29700701467158
"4745193","2001-08-28",43.4014728227202,0.529411764705882,0.450980392156862,0.464052287581699,6.81191998725941,5.96074667940725,6.38633333333333,0.751026042165056,63.127491671265,6.2936,6.43905304611299,1.73056136469447,1.38371788467616
"4745192","2001-08-29",41.564434838501,0.411764705882353,0.411764705882353,0.437908496732026,6.82500197005057,5.97899802994942,6.402,0.65523962372756,57.2456429323343,6.3096,6.44717930663126,1.64998590417385,1.4369714885757
"4745191","2001-08-30",40.4703697536379,0.470588235294117,0.470588235294117,0.444444444444444,6.83537799319845,6.01928867346821,6.42733333333333,0.71974718820314,59.2881825845353,6.3276,6.46088873241376,1.62954130986492,1.47548545283354
"4745190","2001-08-31",40.5151482390347,0.375,0.419117647058823,0.433823529411764,6.85689485451686,6.04410514548314,6.4505,0.761855349505301,56.3871351511502,6.3436,6.46610356809192,1.53299949289645,1.48698826084612
"4745189","2001-09-04",40.5567282611888,0.289855072463768,0.378481102585962,0.422728994979634,6.85784514531032,6.086488188023,6.47216666666666,0.644118317228401,56.3871351511502,6.3576,6.47062309234633,1.43980938279682,1.47755248523626
"4745188","2001-09-05",40.7697356079503,0.254237288135592,0.306364120199787,0.367987623281524,6.86240691315716,6.12692642017617,6.49466666666666,0.688538877631732,58.7292001541602,6.3736,6.48120668003349,1.41182040114805,1.46440606841862
"4745187","2001-09-06",41.038275906924,0.711864406779661,0.418652255793007,0.367832492859585,6.89113970040453,6.16186029959546,6.5265,0.902452063878933,68.5506300567542,6.3976,6.52637912269569,1.70396635911108,1.51231812655711
"4745186","2001-09-07",39.5114130181709,0.338983050847457,0.43502824858757,0.386681541526788,6.87097377394923,6.22702622605077,6.549,0.579198997133295,56.7086405507368,6.4176,6.5361952396696,1.64289893004748,1.53843428725518
"4745185","2001-09-10",38.3255001701514,0.338983050847457,0.463276836158191,0.43898578017959,6.83797385902339,6.30669280764327,6.57233333333333,0.583446102996091,56.7086405507368,6.4336,6.54470254104698,1.57609628235653,1.54596668627545
"4745184","2001-09-17",38.510058152333,0.333333333333332,0.337099811676082,0.411801632140614,6.79300253842239,6.4099974615776,6.6015,0.844207795936762,56.7086405507368,6.4516,6.55207553557405,1.50560979728616,1.53789530847759
"4745183","2001-09-18",38.6814334215016,0.333333333333332,0.335216572504707,0.378531073446327,6.79026837071652,6.42773162928347,6.609,0.521147281890285,56.7086405507368,6.4696,6.55846546416418,1.43307847840386,1.51693194246285
"4745182","2001-09-19",37.0483473784813,0,0.222222222222222,0.29817953546767,6.78361733658894,6.43904933007772,6.61133333333333,0.0704766629423547,43.7659707621724,6.4764,6.52667006894229,1.01878365023302,1.41730228401688
"4745181","2001-09-20",35.5319103385339,0.411764705882352,0.248366013071895,0.268601602599608,6.78205833143431,6.45294166856569,6.6175,0.517724211477146,54.8606473010718,6.4944,6.53644739308332,1.02436024412502,1.33871387603851
"4745180","2001-09-21",33.0603489760326,0.11764705882353,0.176470588235294,0.215686274509803,6.77305019224996,6.43928314108337,6.60616666666666,0.15195286275073,47.6317995209439,6.5044,6.51825440733888,0.772624225251772,1.22549594588116
"4745179","2001-09-24",30.9092832960805,0.11764705882353,0.215686274509804,0.213507625272331,6.77076710611292,6.42689956055374,6.59883333333333,0.212583130889498,47.6317995209439,6.5144,6.50248715302703,0.566345175279914,1.09366579176091
"4745178","2001-09-25",29.2170378634975,0,0.0784313725490196,0.156862745098039,6.79333301008509,6.3636669899149,6.5785,-0.186967674450378,42.7338854265367,6.5164,6.46882219929009,0.213252589561819,0.917583151321094
"4745177","2001-09-26",28.4665457705782,0,0.0392156862745098,0.111111111111111,6.79674128106821,6.34992538559845,6.57333333333333,0.186671845340669,42.7338854265367,6.5144,6.43964590605141,-0.0670719161229183,0.720652137832292
"4745176","2001-09-27",27.7696602557246,0.133333333333333,0.0444444444444442,0.0540305010893245,6.80092526162539,6.32340807170794,6.56216666666666,0.111532309377044,46.9514865150036,6.5124,6.42769311857789,-0.162516779462196,0.544018354373394
"4745175","2001-09-28",27.3652801709904,0.133333333333333,0.0888888888888885,0.0575163398692808,6.80031783027466,6.30401550305867,6.55216666666666,0.193399248155359,46.9514865150036,6.5024,6.41733403610084,-0.235606028466639,0.388093477805388
"4745174","2001-10-01",26.989784378023,0.133333333333333,0.133333333333333,0.0888888888888885,6.80320205083697,6.2944646158297,6.54883333333333,0.207445682012362,46.9514865150036,6.4956,6.40835616462073,-0.290313419899335,0.252412098264443
"4745173","2001-10-02",26.6411097131247,0.133333333333333,0.133333333333333,0.118518518518518,6.80000398848263,6.27766267818404,6.53883333333333,0.234209547290122,46.9514865150036,6.4856,6.4005753426713,-0.329968871539588,0.135935904303637
"4745172","2001-10-03",26.3173403814334,0.333333333333333,0.2,0.155555555555555,6.79888131194957,6.27545202138376,6.53716666666667,0.428993911237772,53.8143427827275,6.4856,6.41383196364846,-0.170330086386206,0.0746827061656685
"4745171","2001-10-04",26.0166974305771,0.333333333333333,0.266666666666666,0.2,6.79200827447871,6.27165839218796,6.53183333333333,0.43882321411664,53.8143427827275,6.4816,6.425321035162,-0.0435359167273219,0.0510389815870704
"4745170","2001-10-05",27.9267924083482,0.25,0.305555555555555,0.257407407407407,6.80760133242949,6.26473200090384,6.53616666666667,0.893894664729699,53.8143427827275,6.4776,6.43527823047373,0.0561274218238372,0.0520566696344238
"4745169","2001-10-08",28.8479501751306,0.0999999999999996,0.227777777777778,0.266666666666666,6.80391715538804,6.24974951127863,6.52683333333333,0.265113196249749,46.3285998369282,6.4756,6.4239077997439,-0.0525818459474525,0.0311289665180485
"4745168","2001-10-09",28.9226470780669,0,0.116666666666666,0.216666666666666,6.79977385818753,6.22022614181247,6.51,0.131896861456582,40.2926287030317,6.4596,6.39405342644471,-0.32428272449726,-0.0399533716850132
"4745167","2001-10-10",29.0197562360158,0.285714285714286,0.128571428571428,0.157671957671957,6.74647750174796,6.24152249825204,6.494,0.511882246850632,53.3760593232192,6.4596,6.40817963625209,-0.15971774515231,-0.0639062463784726
"4745166","2001-10-11",29.1099290255397,0.285714285714286,0.19047619047619,0.145238095238095,6.73680009864584,6.24119990135416,6.489,0.522195309969835,53.3760593232192,6.4576,6.42042235141848,-0.029206055248332,-0.0569662081524445
"4745165","2001-10-12",29.1936609015263,0.285714285714286,0.285714285714286,0.201587301587301,6.72406752225299,6.24226581108034,6.48316666666667,0.534938301261661,53.3760593232192,6.4576,6.43103270456268,0.0731899994290686,-0.0309349666361419
"4745164","2001-10-15",28.3962140345587,0.142857142857142,0.238095238095238,0.238095238095238,6.68215998207228,6.24584001792772,6.464,0.238723850916364,46.9511894238041,6.4516,6.42022834395432,-0.0336507752445092,-0.0314781283578154
"4745163","2001-10-16",28.1942023998482,0.142857142857142,0.19047619047619,0.238095238095238,6.66121019843613,6.2451231348972,6.45316666666667,0.372222255086541,46.9511894238041,6.4436,6.41086456476041,-0.11712167824004,-0.0486068383342602
"4745162","2001-10-17",28.006620167617,0.285714285714286,0.19047619047619,0.206349206349206,6.66401355617918,6.24598644382082,6.455,0.607648520083126,53.4496455274931,6.4308,6.42274928945903,0.00533170124163984,-0.0378191304190802
"4745161","2001-10-18",27.2370054721126,0.190476190476191,0.206349206349206,0.195767195767195,6.63979959684295,6.25120040315705,6.4455,0.468690962656756,49.1288422569118,6.4228,6.41971605086449,-0.0230972079775515,-0.0348747459307745
"4745160","2001-10-19",26.5223632548585,0.285714285714286,0.253968253968254,0.216931216931217,6.64080588629026,6.25119411370974,6.446,0.638599508023953,53.202866411435,6.4188,6.43042057741589,0.0790635555241614,-0.0120870856397873
"4745159","2001-10-22",24.7413952106631,0.0952380952380949,0.19047619047619,0.216931216931217,6.63541268235079,6.24325398431587,6.43933333333333,0.314700867197912,45.375923993915,6.4068,6.41303116709377,-0.090206392418446,-0.027710946995519
"4745158","2001-10-23",23.0876391696245,0.142857142857142,0.174603174603174,0.206349206349206,6.63010080324684,6.25523253008649,6.44266666666667,0.252802055278153,47.4570402073921,6.3968,6.40462701148127,-0.159855587101954,-0.0541398750168059
"4745157","2001-10-24",22.6921339205895,0,0.079365079365079,0.148148148148148,6.67743328082611,6.16956671917389,6.4235,-0.235429398590275,38.0820905534108,6.386,6.35734340995043,-0.588233011238026,-0.16095850226105
"4745156","2001-10-25",21.1105432503236,0.244444444444445,0.129100529100529,0.127689594356261,6.6854769450023,6.1445230549977,6.415,0.114877834908329,42.5625213766751,6.3684,6.33103095529038,-0.781244644305157,-0.285015730669871
"4745155","2001-10-26",20.0190732435277,0.0444444444444455,0.0962962962962967,0.101587301587302,6.70806223571001,6.08893776428999,6.3985,-0.0305879757047205,40.0114517689803,6.3552,6.29622682791833,-1.03869379062922,-0.435751342661741
"4745154","2001-10-29",19.0055653800743,0.0444444444444455,0.111111111111112,0.112169312169312,6.72305978622197,6.04094021377803,6.382,0.0426021879387739,40.0114517689803,6.342,6.26606325086255,-1.23039933363734,-0.594680940856862
"4745153","2001-10-30",18.064450935439,0.0444444444444455,0.0444444444444453,0.0839506172839513,6.73242884566054,5.99857115433946,6.3655,0.0973333747200466,40.0114517689803,6.3348,6.23992148408087,-1.36804066698758,-0.749352886083005
"4745152","2001-10-31",17.650504000049,0.0444444444444455,0.0444444444444453,0.0666666666666675,6.72023032952346,5.97710300380987,6.34866666666666,0.250603527927914,40.0114517689803,6.3276,6.21726528620342,-1.46145938144041,-0.891774185154486
"4745151","2001-11-01",17.4656587117114,0.222222222222223,0.103703703703705,0.0641975308641984,6.70333937193113,5.96732729473553,6.33533333333333,0.361415317546629,44.0228170498474,6.3196,6.2082965813763,-1.41586233078538,-0.996591814280665
