"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4879087","2007-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879086","2007-05-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879085","2007-05-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879084","2007-05-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879083","2007-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879082","2007-05-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879081","2007-05-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879080","2007-05-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879079","2007-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879078","2007-05-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879077","2007-05-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879076","2007-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879075","2007-05-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4879074","2007-05-22",NA,0.249363867684478,NA,NA,NA,NA,NA,NA,NA,NA,19.2264285714286,NA,NA
"4879073","2007-05-23",NA,0.324324324324325,NA,NA,NA,NA,NA,NA,34.9896480331263,NA,19.2095714285714,NA,NA
"4879072","2007-05-24",NA,0.25382262996942,0.275836940659408,NA,NA,NA,NA,NA,33.1422537335948,NA,19.1616285714286,NA,NA
"4879071","2007-05-25",NA,0.307339449541285,0.295162134611676,NA,NA,NA,NA,NA,31.978547355928,NA,19.0987447619048,NA,NA
"4879070","2007-05-29",NA,0.380733944954129,0.313965341488278,0.294988138919787,NA,NA,NA,NA,34.4569546371579,NA,19.0655787936508,NA,NA
"4879069","2007-05-30",NA,0.401015228426396,0.363029540973937,0.32405233902463,NA,NA,NA,NA,34.1222290897898,NA,19.031501621164,NA,NA
"4879068","2007-05-31",NA,0.567415730337079,0.449721634572535,0.375572172344917,20.8029790671533,17.8676875995133,19.3353333333333,0.424368669194378,37.7065097338373,NA,19.0313014050088,NA,NA
"4879067","2007-06-01",NA,0.578651685393259,0.515694214718911,0.442815130088461,20.4982545350824,18.0007454649176,19.2495,0.520220146786761,38.0365679696445,NA,19.0337945510076,NA,NA
"4879066","2007-06-04",NA,0.376404494382023,0.50749063670412,0.490968828665189,20.143041311232,18.1452920221013,19.1441666666667,0.332728426692584,34.4937746327514,NA,18.98795527754,NA,NA
"4879065","2007-06-05",NA,0.398876404494382,0.451310861423222,0.491498570948751,19.8220868536203,18.293246479713,19.0576666666667,0.353265692637352,35.2158054480051,NA,18.9535612405346,NA,NA
