"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4959427","2011-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959426","2011-12-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959425","2011-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959424","2011-12-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959423","2011-12-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959422","2011-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959421","2011-12-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959420","2011-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959419","2011-12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959418","2011-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959417","2011-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959416","2011-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959415","2012-01-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959414","2012-01-04",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.259642857142857,NA,NA
"4959413","2012-01-05",NA,0,NA,NA,NA,NA,NA,NA,16.1764705882353,NA,0.24102380952381,NA,NA
"4959412","2012-01-06",NA,0,0,NA,NA,NA,NA,NA,16.1764705882353,NA,0.224887301587302,NA,NA
"4959411","2012-01-09",NA,0,0,NA,NA,NA,NA,NA,16.1764705882353,NA,0.210902328042328,NA,NA
"4959410","2012-01-10",NA,0,0,0,NA,NA,NA,NA,16.1764705882353,NA,0.198782017636684,NA,NA
"4959409","2012-01-11",NA,0,0,0,NA,NA,NA,NA,16.1764705882353,NA,0.18827774861846,NA,NA
"4959408","2012-01-12",NA,0,0,0,0.387527886447258,0.0538054468860757,0.220666666666667,0.158398757512678,14.9063476989491,NA,0.176507382135998,NA,NA
"4959407","2012-01-13",NA,0,0,0,0.370824759718257,0.0468419069484094,0.208833333333333,0.205231313374966,14.9063476989491,NA,0.166306397851199,NA,NA
"4959406","2012-01-17",NA,0,0,0,0.361425478884703,0.0367411877819633,0.199083333333333,0.210231335757595,14.9063476989491,NA,0.157465544804372,NA,NA
"4959405","2012-01-18",NA,0,0,0,0.350623366109874,0.0265433005567931,0.188583333333333,0.195805623943301,13.5750994760824,NA,0.147136805497123,NA,NA
"4959404","2012-01-19",NA,0,0,0,0.33797982488728,0.0168535084460531,0.177416666666667,0.18626053100684,13.2563593398841,NA,0.137518564764173,NA,NA
"4959403","2012-01-20",NA,0,0,0,0.322265282220354,0.0100680511129797,0.166166666666667,0.207983743663275,13.2563593398841,0.1906,0.12918275612895,NA,NA
"4959402","2012-01-23",NA,0,0,0,0.30367883348882,0.00515449984451299,0.154416666666667,0.200471095353966,12.2551966870917,0.179,0.11995838864509,-41.4738482466311,NA
"4959401","2012-01-24",NA,0,0,0,0.292814811046882,-0.00298147771354892,0.144916666666667,0.212921798233102,12.2551966870917,0.1694,0.111963936825745,-42.628023126733,NA
"4959400","2012-01-25",53.9550037181983,0,0,0,0.266819097978093,-0.000985764644759107,0.132916666666667,0.227724635196953,12.2551966870917,0.1598,0.105035411915645,-43.4550676773876,NA
"4959399","2012-01-26",52.8432800361896,0.25,0.0833333333333333,0.0277777777777778,0.233373060730793,0.0104602726025406,0.121916666666667,0.311959345093517,22.0578880387101,0.151,0.101697356993559,-42.5900465617227,NA
"4959398","2012-01-27",51.81096518861,0.25,0.166666666666667,0.0833333333333333,0.18803472190955,0.0337986114237831,0.110916666666667,0.299549751551082,22.0578880387101,0.1422,0.0988043760610847,-41.6074425246896,NA
"4959397","2012-01-30",50.283562269856,0.25,0.25,0.166666666666667,0.170087169537555,0.0397461637957786,0.104916666666667,0.334408724940384,22.0578880387101,0.1334,0.0962971259196067,-40.5244229534143,NA
"4959396","2012-01-31",48.8652595595843,0.3125,0.270833333333333,0.229166666666667,0.161693061276328,0.0406402720570054,0.101166666666667,0.366449449278066,24.6851220590017,0.1268,0.0947908424636592,-38.981008971098,NA
"4959395","2012-02-01",46.7005180487126,0.25,0.270833333333333,0.263888888888889,0.150940961314599,0.0437257053520677,0.0973333333333334,0.400511670928674,23.8204311538123,0.118,0.0928187301351713,-37.8073089078704,NA
"4959394","2012-02-02",44.6904009314745,0.4375,0.333333333333333,0.291666666666666,0.137000965240174,0.0506657014264932,0.0938333333333334,0.532817798987073,31.5652014806563,0.1098,0.0931095661171485,-35.3979259377252,-40.4961216563635
"4959393","2012-02-03",42.8238636083249,0.727272727272727,0.471590909090909,0.358585858585858,0.13233888850314,0.0523277781635267,0.0923333333333334,0.595820025920461,33.9747919665102,0.1018,0.094028290634862,-32.7432584963494,-38.9455490243607
"4959392","2012-02-06",41.5003683310364,0.599999999999999,0.588257575757575,0.464393939393939,0.128953187539974,0.053046812460026,0.091,0.53073962273756,31.5798705317173,0.0982,0.0934911852168804,-31.0787801235572,-37.3721952442
"4959391","2012-02-07",40.4689938930454,0.624999999999999,0.650757575757575,0.57020202020202,0.124898609782264,0.0537680568844023,0.0893333333333334,0.462510249702462,30.4250347403402,0.0956,0.092359027187963,-29.8600087628599,-35.869757947932
"4959390","2012-02-08",38.849138320447,0.999999999999999,0.741666666666666,0.660227272727272,0.120585796821561,0.0557475365117721,0.0881666666666667,0.682505410799042,37.7764448193138,0.0934,0.0933778235629013,-27.4131982126495,-34.1784460008755
"4959389","2012-02-09",37.7727463375345,0.749999999999999,0.791666666666666,0.728030303030302,0.11578015673399,0.0577198432660105,0.08675,0.584682055142162,35.1127987202105,0.091,0.0929274470878478,-25.9848530557477,-32.5397274118499
"4959388","2012-02-10",35.2808046632291,0.714285714285714,0.821428571428571,0.784920634920634,0.11793251402129,0.0565674859787099,0.08725,0.979371844273498,43.667915463423,0.0906,0.0952037874761347,-22.9874068522932,-30.6292632999386
"4959387","2012-02-13",33.0114772407134,0.571428571428571,0.678571428571428,0.763888888888888,0.116899832775452,0.0571001672245479,0.087,0.85674669978168,40.7732591110115,0.0898,0.0958432824793168,-21.155078449799,-28.7344263299107
"4959386","2012-02-14",30.6647751943162,0.999999999999999,0.761904761904762,0.753968253968253,0.122786212878658,0.0537137871213418,0.0882500000000001,1.1044380162163,51.2200289796285,0.0902,0.100397511482075,-17.1404595091535,-26.4156329657592
"4959385","2012-02-15",30.0415583574964,0.2,0.59047619047619,0.676984126984126,0.123660600109422,0.0538393998905777,0.0887500000000001,0.661125846658872,40.8690361421495,0.089,0.0990111766177979,-16.8591098152162,-24.5043283356506
"4959384","2012-02-16",29.4628570090208,0.4,0.533333333333333,0.628571428571428,0.124693335090578,0.0551399982427555,0.0899166666666667,0.644972675507932,43.9202520056347,0.0882,0.0991430197354249,-15.6970244760052,-22.7428675637215
"4959383","2012-02-17",29.2572015827743,0.2,0.266666666666667,0.463492063492063,0.124949149150765,0.0567175175159022,0.0908333333333334,0.536639897655952,41.6080790121582,0.0878,0.0979239504373682,-15.3979765350499,-21.2738893579872
"4959382","2012-02-21",29.0662358298312,0.4,0.333333333333333,0.377777777777777,0.124754317499539,0.0604123491671282,0.0925833333333334,0.615269502299803,44.740957425475,0.0878,0.0982007570457191,-14.2193642723343,-19.8629843408566
"4959381","2012-02-22",29.2273760319306,0.111111111111111,0.237037037037037,0.279012345679012,0.12263105166987,0.0655356149967969,0.0940833333333334,0.428482317129573,42.2970458058454,0.0873999999999999,0.0971073227729566,-13.9320328979024,-18.6767940522658
"4959380","2012-02-23",29.3770062195944,0.111111111111111,0.207407407407407,0.259259259259259,0.119603579423293,0.0715630872433737,0.0955833333333334,0.383778598428531,42.2970458058454,0.0877999999999999,0.0961596797365624,-13.5707636593477,-17.6555879736822
"4959379","2012-02-24",28.8626982670581,0.333333333333333,0.185185185185185,0.209876543209876,0.119568231757202,0.0735984349094648,0.0965833333333334,0.574324162840733,45.7347715406437,0.0887999999999999,0.0966717224383541,-12.3369297056649,-16.5918563200787
"4959378","2012-02-27",28.7729444852809,0.111111111111111,0.185185185185185,0.192592592592592,0.119013246285628,0.0754867537143723,0.0972500000000001,0.410016487998547,42.9773838302789,0.0893999999999999,0.0957821594465735,-12.0408305087798,-15.6816511578189
"4959377","2012-02-28",28.8768244330876,0,0.148148148148148,0.172839506172839,0.118894615505062,0.0757720511616051,0.0973333333333334,0.213993508477312,41.6260241976505,0.0903999999999999,0.0943445381870304,-12.1019252372469,-14.9657059737045
"4959376","2012-02-29",28.9732843846223,0,0.0370370370370371,0.123456790123457,0.118894615505062,0.0757720511616051,0.0973333333333334,0.213993508477312,41.6260241976505,0.0913999999999999,0.093098599762093,-12.0397035992952,-14.3805054988227
"4959375","2012-03-01",29.0628543396189,0,1.48029736616688e-16,0.0617283950617283,0.118987704059486,0.0755122959405145,0.0972500000000001,0.21823151224992,41.6260241976505,0.0923999999999999,0.0920187864604806,-11.8768765784803,-13.8797797147542
"4959374","2012-03-02",29.1460264406872,0,1.48029736616688e-16,0.0123456790123457,0.119052177853841,0.0742811554794923,0.0966666666666667,0.239414781080562,41.6260241976505,0.0925999999999999,0.0910829482657499,-11.6331413030165,-13.4304520324066
"4959373","2012-03-05",29.2232576773934,0,1.48029736616688e-16,4.62592926927149e-17,0.118804679055494,0.0730286542778395,0.0959166666666667,0.261519993933688,41.6260241976505,0.0927999999999999,0.0902718884969832,-11.3254965009479,-13.0094609261149
"4959372","2012-03-06",29.294972397192,0,1.48029736616688e-16,4.62592926927148e-17,0.118859509127263,0.0721404908727374,0.0955000000000001,0.275252126600862,41.6260241976505,0.0929999999999999,0.0895689700307188,-10.9685349356889,-12.6012757280297
"4959371","2012-03-07",29.6279985911935,0,1.48029736616688e-16,4.62592926927148e-17,0.119201363807814,0.0711319695255196,0.0951666666666667,0.184483923853952,39.6797330448007,0.0927999999999999,0.0882931073599563,-11.0204724092663,-12.285115064277
"4959370","2012-03-08",29.9372371999091,0,1.48029736616688e-16,4.62592926927148e-17,0.118965860201941,0.0693674731313923,0.0941666666666667,0.214372432181796,39.6797330448007,0.0927999999999999,0.0871873597119621,-10.958673004813,-12.0198266523842
"4959369","2012-03-09",30.2243873365736,0,1.48029736616688e-16,4.62592926927148e-17,0.119127956598862,0.068038710067805,0.0935833333333334,0.234125393196469,39.6797330448007,0.0921999999999999,0.0862290450837005,-10.8044942680576,-11.7767601755189
"4959368","2012-03-12",30.4910267491906,0,1.48029736616688e-16,4.62592926927148e-17,0.115612453073116,0.067887546926884,0.0917500000000001,0.25379731572447,39.6797330448007,0.0913999999999999,0.0853985057392071,-10.5763788199143,-11.536683904398
"4959367","2012-03-13",30.7386204894779,0,1.48029736616688e-16,4.62592926927148e-17,0.113441773349916,0.0672248933167507,0.0903333333333334,0.276416466755909,39.6797330448007,0.0909999999999999,0.0846787049739795,-10.2901739268842,-11.2873819088952
"4959366","2012-03-14",30.9685289626018,0,1.48029736616688e-16,4.62592926927148e-17,0.102518927181274,0.073147739485393,0.0878333333333334,0.233298720690414,39.6797330448007,0.0907999999999999,0.0840548776441156,-9.95942536084988,-11.0217905992862
"4959365","2012-03-15",31.5451349726545,0,1.48029736616688e-16,4.62592926927148e-17,0.101003875445071,0.0723294578882624,0.0866666666666668,0.151257083768539,36.982333458505,0.0897999999999999,0.0828475606249002,-10.0722766655149,-10.8318878125319
"4959364","2012-03-16",31.3202887380972,0,1.48029736616688e-16,4.62592926927148e-17,0.0989696862513035,0.0721969804153634,0.0855833333333334,0.229201820524708,36.982333458505,0.0891999999999999,0.0818012192082468,-10.0674249442263,-10.6789952388708
"4959363","2012-03-19",31.1115029488654,0.999999999999994,0.333333333333332,0.111111111111111,0.0980723071217374,0.0722610262115961,0.0851666666666668,0.493542875022477,45.5655444902449,0.0881999999999999,0.0822277233138139,-8.99371799920405,-10.3419397909375
"4959362","2012-03-20",30.917630430293,0.999999999999994,0.666666666666663,0.333333333333332,0.095385055589182,0.0734482777441515,0.0844166666666668,0.526591568618424,45.5655444902449,0.0875999999999999,0.0825973602053054,-8.04822144753009,-9.88319612225598
"4959361","2012-03-21",31.5586075609716,0,0.666666666666663,0.555555555555552,0.0948992401335498,0.0726007598664504,0.0837500000000001,0.182340085580424,39.3497231818375,0.0853999999999999,0.081584378844598,-8.17954565216384,-9.54246602823755
"4959360","2012-03-22",32.4953882373162,0,0.333333333333332,0.555555555555552,0.0950099166210687,0.0704900833789314,0.0827500000000001,-0.0199872231630513,36.6571048045681,0.0845999999999999,0.0800397949986516,-8.69897948046758,-9.37376871868356
"4959359","2012-03-23",33.3652560082076,0,1.48029736616688e-16,0.333333333333332,0.0919413776266465,0.0705586223733537,0.0812500000000001,-0.0261249014327853,36.6571048045681,0.0833999999999999,0.0787011556654981,-9.03720134530496,-9.30645524400784
"4959358","2012-03-26",34.506829304095,0,1.48029736616688e-16,0.111111111111111,0.0912302139981859,0.0684364526684809,0.0798333333333334,-0.150762860888716,33.9618844903798,0.0823999999999999,0.0768743349100983,-9.7394555368954,-9.39305530258535
"4959357","2012-03-27",34.6773088530808,0.249999999999999,0.0833333333333333,0.0277777777777778,0.0909845470902949,0.0671821195763719,0.0790833333333334,0.118386262156655,38.8071902526426,0.0811999999999999,0.0759577569220852,-9.6958998098115,-9.45362420403058
"4959356","2012-03-28",35.2070483188662,0,0.0833333333333333,0.0555555555555555,0.0908989528365229,0.0654343804968106,0.0781666666666667,0.0483921800616437,35.9653752899949,0.0801999999999999,0.0744967226658072,-10.0983313221342,-9.58256562765131
