"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"4999127","2017-09-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999126","2017-09-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999125","2017-09-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999124","2017-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999123","2017-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999122","2017-09-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999121","2017-09-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999120","2017-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999119","2017-10-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999118","2017-10-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999117","2017-10-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999116","2017-10-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999115","2017-10-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999114","2017-10-09",NA,0.78743961352657,NA,NA,NA,NA,NA,NA,NA,NA,31.3092857142857,NA,NA
"4999113","2017-10-10",NA,0.696022727272727,NA,NA,NA,NA,NA,NA,85.9943977591036,NA,31.541380952381,NA,NA
"4999112","2017-10-11",NA,0.713068181818182,0.732176840872493,NA,NA,NA,NA,NA,86.1200085415332,NA,31.7505301587302,NA,NA
"4999111","2017-10-12",NA,0.438235294117646,0.615775401069518,NA,NA,NA,NA,NA,81.9011169257205,NA,31.8891261375661,NA,NA
"4999110","2017-10-13",NA,0.494047619047619,0.548450364994482,0.632134202312164,NA,NA,NA,NA,82.5067624305029,NA,32.0372426525573,NA,NA
"4999109","2017-10-16",NA,0.449404761904762,0.460562558356676,0.541596108140225,NA,NA,NA,NA,80.4362623420125,NA,32.145610298883,NA,NA
"4999108","2017-10-17",NA,0,0.314484126984127,0.441165683445095,34.0428837896108,30.1764495437225,32.1096666666667,0.212999990146806,53.5288782692514,NA,31.8675289256986,NA,NA
"4999107","2017-10-18",NA,0.422413793103449,0.290606185002737,0.355217623447846,33.7639814497523,30.7376852169144,32.2508333333333,0.519550850979048,62.9144523874205,NA,31.8878584022721,NA,NA
"4999106","2017-10-19",NA,0.103448275862069,0.175287356321839,0.260125889436234,33.7851199346388,30.6918800653612,32.2385,0.126551216367056,54.0392664483898,NA,31.7081439486358,NA,NA
"4999105","2017-10-20",NA,0,0.175287356321839,0.213726965882138,33.8938175407082,30.4745157926251,32.1841666666667,-0.00814468216326477,50.7080209268955,NA,31.4670580888177,NA,NA
"4999104","2017-10-23",NA,0,0.0344827586206896,0.128352490421456,34.0488712892936,30.1407953773731,32.0948333333333,-0.0377326457733229,49.4262811831139,NA,31.2247836769754,NA,NA
"4999103","2017-10-24",NA,0,-4.16333634234434e-17,0.0699233716475094,34.1755480882164,29.839285245117,32.0074166666667,0.0174608315092139,49.372521936204,31.3976,31.013479186712,NA,NA
"4999102","2017-10-25",NA,0,-4.16333634234434e-17,0.011494252873563,34.278954513134,29.468545486866,31.87375,0.0252482715026391,47.5351025298749,31.4536,30.7863486284837,-1.97111766725897,NA
"4999101","2017-10-26",NA,0.0296846011131725,0.00989486703772414,0.00329828901257451,34.3293927492477,29.1751072507523,31.75225,0.105069735867841,48.5351586048612,31.4044,30.6108354780192,-2.14780334391866,NA
"4999100","2017-10-27",42.3647717387239,0,0.00989486703772414,0.00659657802514924,34.3796492240195,28.8611841093139,31.6204166666667,0.106095181392482,46.7363048710183,31.3472,30.41872408095,-2.34292072597937,NA
"4999099","2017-10-30",42.2092455441556,0.0159132007233268,0.0151992672788331,0.0116630004514269,34.4217217131103,28.6039782868897,31.51285,0.1549320725251,47.3527033738801,31.26552,30.2639608701567,-2.44875981837113,NA
"4999098","2017-10-31",40.6120309308076,0.077757685352622,0.0312236286919829,0.0187725876695132,34.4104833516055,28.4512166483945,31.43085,0.262691719675622,49.7848682212574,31.19152,30.1754327541358,-2.41520858354427,NA
"4999097","2017-11-01",38.9592380552685,0.139462809917355,0.0777112319977679,0.0413780426561944,34.3679446139443,28.3307553860557,31.34935,0.312382337114603,51.5129617737829,31.10812,30.1313750535843,-2.29724972848164,NA
"4999096","2017-11-02",37.6180927359344,0.113895216400911,0.110371903890296,0.0731022548600154,34.3347022786079,28.1863310547254,31.2605166666667,0.285224961443885,50.1844707057364,31.02252,30.0698583797731,-2.22540406522513,NA
"4999095","2017-11-03",36.7493742319736,0.0403225806451609,0.0978935356544756,0.0953255571808463,34.2573254044979,27.9987079288355,31.1280166666667,0.247332377134514,47.5435900828277,30.91732,29.96987726247,-2.23742603084931,NA
"4999094","2017-11-06",35.2378511790151,0.118279569892473,0.0908324556461815,0.0996992983969842,33.9764867190071,27.9435466143262,30.9600166666667,0.320980044899052,49.8962765816055,30.84172,29.921893627474,-2.14491187385539,-2.24786687083154
"4999093","2017-11-07",34.5802142074575,0,0.0528673835125444,0.0805311249377337,33.6505106379771,27.8631893620229,30.75685,0.243660910475012,44.6864198253231,30.74212,29.7869744771441,-2.23568880896682,-2.2454312584586
"4999092","2017-11-08",34.7422341681464,0,0.0394265232974908,0.0610421208187387,33.2836446689272,27.7517219977395,30.5176833333333,0.157560289143864,39.0420051602148,30.59972,29.5500445468583,-2.52581806743591,-2.30150862025406
"4999091","2017-11-09",34.8926812745004,0.332203389830508,0.110734463276836,0.0676761233622902,32.7822371817834,27.82879615155,30.3055166666667,0.273453781626941,46.9062180511121,30.50572,29.4753719406105,-2.46256521145908,-2.33371993849506
"4999090","2017-11-10",35.5313730320954,0.108474576271185,0.146892655367231,0.0990178806471856,32.2188219956749,27.9272113376585,30.0730166666667,0.176962774474798,42.8928242536702,30.35612,29.3226556818624,-2.56517245000356,-2.38001044079676
"4999089","2017-11-13",36.2370535837971,0.0542372881355933,0.164971751412429,0.140866290018832,31.61078051264,28.0635861540267,29.8371833333333,0.0863820290053381,41.9556242644444,30.17092,29.1689682576141,-2.66231553810213,-2.43647146025784
"4999088","2017-11-14",36.459793384606,0,0.0542372881355928,0.122033898305084,31.5077281819886,27.900638484678,29.7041833333333,0.121804987452782,40.9910810561523,29.96932,29.0144391565989,-2.75437262254687,-2.50005169271565
"4999087","2017-11-15",36.6750531922526,0,0.0180790960451977,0.0790960451977396,30.9742996953951,28.0233003046049,29.4988,0.0606686091793866,40.9277503872996,29.76492,28.8791806023857,-2.8001764466039,-2.5600766434933
