"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5009686","2013-05-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009685","2013-05-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009684","2013-05-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009683","2013-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009682","2013-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009681","2013-06-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009680","2013-06-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009679","2013-06-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009678","2013-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009677","2013-06-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009676","2013-06-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009675","2013-06-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009674","2013-06-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5009673","2013-06-13",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,25.0042857142857,NA,NA
"5009672","2013-06-14",NA,0,NA,NA,NA,NA,NA,NA,50,NA,25.0037142857143,NA,NA
"5009671","2013-06-17",NA,0,0,NA,NA,NA,NA,NA,50,NA,25.003219047619,NA,NA
"5009670","2013-06-18",NA,0,0,NA,NA,NA,NA,NA,43.6692506459938,NA,25.0014565079365,NA,NA
"5009669","2013-06-19",NA,0.0909090909091027,0.0303030303030342,0.0101010101010114,NA,NA,NA,NA,50.4285464404409,NA,25.0012623068783,NA,NA
"5009668","2013-06-20",NA,0.0909090909091027,0.0606060606060684,0.0303030303030342,NA,NA,NA,NA,50.4285464404409,NA,25.0010939992945,NA,NA
"5009667","2013-06-21",NA,0.0909090909091027,0.0909090909091027,0.0606060606060684,25.0631253231631,24.9825413435035,25.0228333333333,0.258016418618564,50.4285464404408,NA,25.0009481327219,NA,NA
"5009666","2013-06-24",NA,0.0909090909091027,0.0909090909091027,0.0808080808080913,25.0625135478971,24.9804864521029,25.0215,0.278528466834542,50.4285464404409,NA,25.0008217150257,NA,NA
"5009665","2013-06-25",NA,0.0909090909091027,0.0909090909091027,0.0909090909091027,25.0563436564025,24.9809896769308,25.0186666666667,0.296515944601287,50.4285464404409,NA,25.0007121530222,NA,NA
"5009664","2013-06-26",NA,0.0909090909091027,0.0909090909091027,0.0909090909091027,25.0465139608034,24.98481937253,25.0156666666667,0.354120105962572,50.4285464404409,NA,25.0006171992859,NA,NA
"5009663","2013-06-27",NA,0.0909090909091027,0.0909090909091027,0.0909090909091027,25.0377950152828,24.9885383180506,25.0131666666667,0.368038249309163,50.4285464404409,NA,25.0005349060478,NA,NA
"5009662","2013-06-28",NA,0,0.0606060606060684,0.0808080808080913,25.0931482145976,24.9125184520691,25.0028333333333,-0.549107286348136,7.15560636182539,24.99,24.9604635852414,NA,NA
"5009661","2013-07-01",NA,0,0.0303030303030342,0.0606060606060684,25.1576240257221,24.8137093076112,24.9856666666667,-0.427555533977153,4.89420803485876,24.972,24.9057351072092,-0.325233419067195,NA
"5009660","2013-07-02",NA,0,0,0.0303030303030342,25.2193947978353,24.705938535498,24.9626666666667,-0.310195591161708,4.39554540380485,24.9512,24.8516370929147,-0.426912621567344,NA
"5009659","2013-07-03",69.7170287016649,0,0,0.0101010101010114,25.2766128793574,24.5923871206426,24.9345,-0.222714679623888,3.6045258460528,24.9268,24.7914188138594,-0.534194487161999,NA
"5009658","2013-07-05",70.286212603871,0,0,0,25.3615702514958,24.4267630818375,24.8941666666667,-0.246143186145016,2.3075951874555,24.8908,24.7005629720115,-0.706194137599458,NA
"5009657","2013-07-08",70.9566602449049,0,0,0,25.4213196624315,24.2753470042352,24.8483333333333,-0.141376558806297,2.08475185042041,24.852,24.6111545757433,-0.859687926055952,NA
"5009656","2013-07-09",72.0730475631167,0,0,0,25.5240117599786,24.0429882400214,24.7835,-0.202329606957675,1.33724611906279,24.796,24.4763339656442,-1.11115623714407,NA
"5009655","2013-07-10",73.2052135820759,0,0,0,25.6139829645093,23.8056837021574,24.7098333333333,-0.139551220352701,1.19745518470147,24.7348,24.3421561035583,-1.34004121285742,NA
"5009654","2013-07-11",71.5204282756797,0.0955414012738867,0.0318471337579622,0.0106157112526541,25.6272256749724,23.665107658361,24.6461666666667,0.0466633543602135,12.5561752576254,24.6796,24.2458686230839,-1.4565599705465,NA
