"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5063370","2001-07-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063369","2001-07-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063368","2001-08-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063367","2001-08-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063366","2001-08-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063365","2001-08-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063364","2001-08-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063363","2001-08-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063362","2001-08-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063361","2001-08-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063360","2001-08-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063359","2001-08-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063358","2001-08-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063357","2001-08-16",NA,0.726578498723886,NA,NA,NA,NA,NA,NA,NA,NA,10.7378421428571,NA,NA
"5063356","2001-08-17",NA,0.730401799675172,NA,NA,NA,NA,NA,NA,58.7759379074216,NA,10.7559658571429,NA,NA
"5063355","2001-08-20",NA,0.663478901229711,0.706819733209589,NA,NA,NA,NA,NA,56.3244087048136,NA,10.7628277428571,NA,NA
"5063354","2001-08-21",NA,0.348725338062513,0.580868679655798,NA,NA,NA,NA,NA,57.4705021948389,NA,10.7740813771429,NA,NA
"5063353","2001-08-22",NA,0.304539677210484,0.438914638834236,0.575534350566541,NA,NA,NA,NA,57.5846441188502,NA,10.7843398601905,NA,NA
"5063352","2001-08-23",NA,0.400009592556174,0.351091535943057,0.456958284811031,NA,NA,NA,NA,58.8344051555016,NA,10.7985385454984,NA,NA
"5063351","2001-08-24",NA,0.527278831626656,0.410609367131105,0.400205180636133,11.1244905949398,10.5400277383935,10.8322591666667,0.771008097251307,60.5050606749207,NA,10.8179200727653,NA,NA
"5063350","2001-08-27",NA,0.608506296351602,0.511931573511477,0.42454415886188,11.140147110188,10.5629105564787,10.8515288333333,0.793550074478933,61.2905597979403,NA,10.8380027297299,NA,NA
"5063349","2001-08-28",NA,0.603777810960131,0.579854312979463,0.500798417874015,11.1516715256573,10.5873348076761,10.8695031666667,0.757210802301263,61.1894999272297,NA,10.8551543657659,NA,NA
"5063348","2001-08-29",NA,0.198123537902541,0.470135881738091,0.520640589409677,11.0398305862491,10.7537627470842,10.8967966666667,0.459252089641758,53.1003768977826,NA,10.8482857836638,NA,NA
"5063347","2001-08-30",NA,0,0.267300449620891,0.439096881446148,11.0573651194197,10.7268138805803,10.8920895,-0.186175515369669,44.2998307612169,NA,10.812006345842,NA,NA
"5063346","2001-08-31",NA,0,0.0660411793008469,0.267825836886609,11.1069445010562,10.6467191656104,10.8768318333333,-0.271300069757068,40.6704955841675,10.772858,10.7654014997297,NA,NA
"5063345","2001-09-04",NA,0,-1.01770443923973e-16,0.111113876307246,11.1321030499787,10.5888342833546,10.8604686666667,-0.0790847661307073,39.5651235049246,10.7664896,10.7202092997657,-0.450450276169945,NA
"5063344","2001-09-05",NA,0,-1.01770443923973e-16,0.0220137264336156,11.1393561180577,10.5294585486089,10.8344073333333,-0.057001727859023,39.5651235049246,10.7598936,10.6810427264636,-0.629538352419434,NA
"5063343","2001-09-06",15.0132651979502,0,-1.01770443923973e-16,-1.11022302462516e-16,11.1494699490496,10.4686750509504,10.8090725,-0.0193230751099628,37.6296499710312,10.7686124,10.6392636962685,-0.807575481916689,NA
"5063342","2001-09-07",16.5916773037952,0,-1.01770443923973e-16,-1.11022302462516e-16,11.2080524708549,10.3473555291451,10.777704,-0.167215879175688,30.8209482689996,10.7458676,10.5702018700994,-1.12473764405647,NA
"5063341","2001-09-10",18.4428997380323,0,-1.01770443923973e-16,-1.11022302462516e-16,11.2680098364531,10.2165744968802,10.7422921666667,-0.126063700947532,28.2778596485022,10.7155416,10.4951856207528,-1.44950981621427,NA
"5063340","2001-09-17",21.9138767389154,0,-1.01770443923973e-16,-1.11022302462516e-16,11.4727388221504,9.85781484451632,10.6652768333333,-0.330559323685156,16.4854349228376,10.6463228,10.3081102046524,-2.39681712394504,NA
"5063339","2001-09-18",25.136926811164,0.0270242362555507,0.00900807875185015,0.00300269291728331,11.6027664809201,9.55998285241319,10.5813746666667,-0.175529857433769,18.6780205047157,10.5740712,10.1533061773654,-3.0872669640634,NA
"5063338","2001-09-19",28.6972714579038,0,0.00900807875185015,0.00600538583456672,11.754707569502,9.1977177638313,10.4762126666667,-0.165584455163772,14.3426876755093,10.4808944,9.94080002038337,-4.07902294481892,NA
"5063337","2001-09-20",32.0033057727337,0.00886476460640456,0.0119630002873183,0.0099930525970062,11.8337012116093,8.90334612172407,10.3685236666667,-0.0520071630852693,15.1637563779585,10.3932524,9.75966135099892,-4.81824562099562,-2.09368491384442
"5063336","2001-09-21",35.2709580533901,0,0.00295492153546808,0.00797533352487884,11.9086899738532,8.58353802614684,10.246114,-0.0393349521677437,13.5550036229203,10.2971192,9.56779983753239,-5.5831876399406,-2.79158545906366
"5063335","2001-09-24",35.7903664131754,0.180678585046784,0.0631811165510626,0.026033012791283,11.8807224508914,8.42361054910859,10.1521665,0.155723274085261,28.8669145240993,10.2161484,9.46722519252807,-5.72569742720183,-3.37840785269129
"5063334","2001-09-25",36.2726741758332,0.236663310527442,0.139113965191409,0.0684166677593131,11.821960734857,8.29675193180965,10.0593563333333,0.204473392015979,31.6260868752916,10.139196,9.393960500191,-5.69179888934055,-3.84108606002114
"5063333","2001-09-26",37.2639271163652,0.0961529876338783,0.171164961069368,0.12448668093728,11.7559145930497,8.14931574028368,9.95261516666667,0.171718827534151,27.6379595079992,10.0480664,9.28244843349887,-5.91570285929857,-4.25600941987663
"5063332","2001-09-27",38.2240120157262,0.0846147914561339,0.139143696539151,0.149807540933309,11.672978462768,8.00215320389865,9.83756583333333,0.16766987058679,27.3447942370115,9.95443480000001,9.18201397569902,-6.05953578176521,-4.61671469225435
"5063331","2001-09-28",38.4838514992672,0.14766323589242,0.109477004994144,0.139928554200888,11.5388326434368,7.91277102322989,9.72580183333333,0.232373963367828,31.0221004646995,9.86595880000001,9.11266144560582,-5.99605891965603,-4.89258353773468
"5063330","2001-10-01",38.7684128797331,0.136998692900981,0.123092240083178,0.123904313872158,11.3713248912171,7.85093844211621,9.61113166666667,0.249016664474722,30.7112294810487,9.77915080000001,9.04927058619171,-5.90517409580759,-5.09510164934926
"5063329","2001-10-02",38.3751681698367,0.194445530043967,0.159702486279122,0.130757243785481,11.1687404071033,7.83530225956342,9.50202133333334,0.299134916054315,33.0992686266126,9.69401080000001,9.00519850803281,-5.69899335755151,-5.21587999098971
"5063328","2001-10-03",37.3980107422688,0.286845978019225,0.206096733654724,0.162963820005675,10.9603099432596,7.85356372340703,9.40693683333333,0.363687986283789,37.420643003762,9.6147844,8.9872200402951,-5.34022265702651,-5.24074852419707
"5063327","2001-10-04",35.8327615933363,0.492249594415891,0.324513700826361,0.230104306920069,10.7758053555884,7.88713397774498,9.33146966666667,0.439231693846144,42.0093203135408,9.54086480000001,8.99463603492242,-4.8456126410598,-5.16172134756962
"5063326","2001-10-05",34.4368116895754,0.660715463393034,0.479937011942716,0.336849148807934,10.599725281394,7.92194571860602,9.2608355,0.443363958915485,41.6121030765764,9.46398840000001,8.9982832302661,-4.42106436822609,-5.01358995170091
"5063325","2001-10-08",33.0185000276061,0.660715463393034,0.604560173733986,0.469670295501021,10.392011477044,7.98700085628934,9.18950616666667,0.470801445645468,41.6121030765764,9.38612640000001,9.00144413289729,-4.0378931344046,-4.81845058824165
"5063324","2001-10-09",31.7014963414918,0.728568602142433,0.6833331763095,0.589276787328734,10.1652448818694,8.07951145146397,9.12237816666667,0.514266044851611,43.743061374438,9.3112212,9.01378624851098,-3.62776069402615,-4.58031260939855
"5063323","2001-10-10",29.619945033872,0.729505786296251,0.706263283943906,0.664718877995797,9.91289701854629,8.2131459814537,9.0630215,0.620820733263351,45.8167915234546,9.2456412,9.03383341537618,-3.20287089108455,-4.30482426573575
"5063322","2001-10-11",28.9255924381835,0.653298023370099,0.703790803936261,0.697795754729889,9.76325038186917,8.3080162847975,9.03563333333333,0.926073487361484,54.1747604121054,9.2020476,9.09416895999269,-2.55009917394896,-3.95387924737839
"5063321","2001-10-12",28.5040885423161,0.85609409281886,0.746299300828403,0.718784462902857,9.71436427898315,8.34192905435019,9.02814666666667,1.16024731105907,61.5723210910101,9.1779384,9.19624509866033,-1.6862978744886,-3.50036297280043
"5063320","2001-10-15",28.5389114842226,0.793219693252596,0.767537269813852,0.739209124859505,9.86704581433323,8.25912351900011,9.06308466666667,1.09683356763281,62.3368758979795,9.1570136,9.29052441883896,-0.957584649301035,-2.99180730810055
"5063319","2001-10-16",29.1214455589585,0.83729744382643,0.828870409965962,0.780902326869406,10.0872365592811,8.14930710738558,9.11827183333333,1.11244996930741,67.0884090833588,9.14784,9.41140382966043,-0.131235072736235,-2.41969286102769
"5063318","2001-10-17",29.6738954253534,0.860584860928834,0.830367332669287,0.8089250041497,10.2900168841211,8.10422244921228,9.19711966666667,1.02802632377832,68.0680803648864,9.1436704,9.52501131903904,0.565377890627072,-1.82267871069674
"5063317","2001-10-18",30.6065451488049,0.823261036075681,0.840381113610315,0.833206285415188,10.4922115759383,8.07608642406171,9.284149,0.99971928498636,69.5993712105764,9.15352640000001,9.63736980983383,1.18360669456494,-1.2214216296444
"5063316","2001-10-19",31.6443610009193,0.897758997605686,0.860534964870067,0.843761137049889,10.6864074683508,8.10541853164921,9.395913,1.00062606428085,72.9294652221975,9.17786320000001,9.76785383518932,1.84934275179856,-0.607268753355811
"5063315","2001-10-22",33.0422383767586,0.829061409283994,0.85002714765512,0.850314408711834,10.9062437780895,8.07290855524381,9.48957616666667,0.974935153860284,74.0734041396661,9.24253320000001,9.89332265716408,2.41445682278407,-0.00292363812783425
"5063314","2001-10-23",34.5433073281629,0.810345533354862,0.845721980081514,0.852094697535567,11.1180189432117,8.05364039012165,9.58582966666667,0.942766336847808,75.2239860841884,9.30879560000001,10.0146983028755,2.89540400075758,0.576741889649249
"5063313","2001-10-24",35.9371570687525,0.844826096250847,0.828077679629901,0.841275602455511,11.2932696469165,8.09894801975016,9.69610883333334,0.900119748680556,76.1363118108639,9.40159320000001,10.1299985291588,3.2896450242933,1.11932251657806
"5063312","2001-10-25",36.3608686680138,0.768105593028386,0.807759074211365,0.827186244640926,11.3897778319932,8.22002916800677,9.8049035,0.81189533875849,69.9631244190893,9.48673360000001,10.207434725271,3.42215704462836,1.57988942218812
"5063311","2001-10-26",37.4159602988257,0.810492204273478,0.80780796451757,0.814548239452945,11.5164189659668,8.3229807006999,9.91969983333334,0.854351665092263,72.7684658477882,9.59029680000001,10.3010807619015,3.63628381054126,1.99116829985875
"5063310","2001-10-29",37.8032271265439,0.745852916781864,0.774816904694576,0.796794647807837,11.586168112504,8.47372655416263,10.0299473333333,0.789989702001336,68.3797469388952,9.66906880000001,10.3653086603146,3.65998337982674,2.32493131585235
"5063309","2001-10-30",36.8459587279761,0.529234465554468,0.695193195536603,0.759272688249583,11.5891444206308,8.64588291270259,10.1175136666667,0.658417116095203,58.8031608632963,9.73093400000001,10.3785168389394,3.39117135472526,2.53817932362693
"5063308","2001-10-31",35.9570666435918,0.44730096297301,0.574129448436447,0.681379849555875,11.5853252276047,8.80960810572867,10.1974666666667,0.638718506399203,59.8484034957452,9.80940240000001,10.3972919270808,3.18377987242944,2.66729943338743
