"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5488287","2012-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488286","2012-12-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488285","2012-12-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488284","2012-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488283","2012-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488282","2012-12-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488281","2012-12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488280","2012-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488279","2012-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488278","2013-01-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488277","2013-01-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488276","2013-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488275","2013-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5488274","2013-01-08",NA,0.851063829787233,NA,NA,NA,NA,NA,NA,NA,NA,24.8742857142857,NA,NA
"5488273","2013-01-09",NA,0.739999999999995,NA,NA,NA,NA,NA,NA,62.1212121212119,NA,24.9017142857143,NA,NA
"5488272","2013-01-10",NA,0.735294117647059,0.775452649144762,NA,NA,NA,NA,NA,68.75,NA,24.9428190476191,NA,NA
"5488271","2013-01-11",NA,0.702380952380952,0.725891690009336,NA,NA,NA,NA,NA,72.3567129023815,NA,24.9904431746032,NA,NA
"5488270","2013-01-14",NA,0.880952380952379,0.772875816993464,0.758073385382521,NA,NA,NA,NA,77.1004619515367,NA,25.0517174179894,NA,NA
"5488269","2013-01-15",NA,0.860465116279069,0.814599483204134,0.771122330068978,NA,NA,NA,NA,77.1004619515367,NA,25.1048217622575,NA,NA
"5488268","2013-01-16",NA,0.802325581395347,0.847914359542265,0.811796553246621,25.534885774003,24.5707808926637,25.0528333333333,0.905038920099171,72.3037777899314,NA,25.1441788606232,NA,NA
"5488267","2013-01-17",NA,0.707317073170729,0.790035923615048,0.817516588787149,25.5736789588749,24.5703210411251,25.072,0.806969222598806,66.1033672641219,NA,25.1689550125401,NA,NA
