"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5599567","2010-12-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599566","2010-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599565","2010-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599564","2010-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599563","2010-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599562","2011-01-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599561","2011-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599560","2011-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599559","2011-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599558","2011-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599557","2011-01-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599556","2011-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599555","2011-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5599554","2011-01-13",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA
"5599553","2011-01-14",NA,0,NA,NA,NA,NA,NA,NA,0,NA,24.9813333333333,NA,NA
"5599552","2011-01-18",NA,0.35897435897436,0.11965811965812,NA,NA,NA,NA,NA,51.8518518518518,NA,24.9838222222222,NA,NA
"5599551","2011-01-19",NA,0.35897435897436,0.23931623931624,NA,NA,NA,NA,NA,51.8518518518519,NA,24.9859792592593,NA,NA
"5599550","2011-01-20",NA,0.35897435897436,0.35897435897436,0.23931623931624,NA,NA,NA,NA,51.8518518518519,NA,24.987848691358,NA,NA
"5599549","2011-01-21",NA,0.35897435897436,0.35897435897436,0.31908831908832,NA,NA,NA,NA,51.8518518518518,NA,24.9894688658436,NA,NA
"5599548","2011-01-24",NA,0.35897435897436,0.35897435897436,0.35897435897436,25.0585796849772,24.9500869816895,25.0043333333333,0.490782790273498,51.8518518518518,NA,24.9908730170645,NA,NA
"5599547","2011-01-25",NA,0.35897435897436,0.35897435897436,0.35897435897436,25.0585796849772,24.9500869816895,25.0043333333333,0.490782790273465,51.8518518518519,NA,24.9920899481225,NA,NA
"5599546","2011-01-26",NA,0.35897435897436,0.35897435897436,0.35897435897436,25.0584038003176,24.9499295330158,25.0041666666667,0.492317686451686,51.8518518518519,NA,24.9931446217062,NA,NA
