"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5706583","2014-02-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706582","2014-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706581","2014-02-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706580","2014-02-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706579","2014-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706578","2014-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706577","2014-02-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706576","2014-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706575","2014-02-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706574","2014-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706573","2014-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706572","2014-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706571","2014-03-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5706570","2014-03-04",NA,0.359840954274354,NA,NA,NA,NA,NA,NA,NA,NA,12.5642857142857,NA,NA
"5706569","2014-03-05",NA,0.574647887323943,NA,NA,NA,NA,NA,NA,56.6037735849057,NA,12.682380952381,NA,NA
"5706568","2014-03-06",NA,0.742547425474255,0.559012089024184,NA,NA,NA,NA,NA,62.007623888183,NA,12.8780634920635,NA,NA
"5706567","2014-03-07",NA,0.731707317073171,0.682967543290456,NA,NA,NA,NA,NA,61.5360738743283,NA,13.0423216931217,NA,NA
"5706566","2014-03-10",NA,0.826972010178117,0.767075584241848,0.669685072185496,NA,NA,NA,NA,65.4290469988774,NA,13.2580121340388,NA,NA
