"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5722708","2014-09-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722707","2014-09-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722706","2014-09-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722705","2014-09-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722704","2014-09-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722703","2014-09-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722702","2014-09-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722701","2014-09-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722700","2014-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722699","2014-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722698","2014-09-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722697","2014-09-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722696","2014-09-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5722695","2014-09-30",NA,0.325,NA,NA,NA,NA,NA,NA,NA,NA,0.869285714285714,NA,NA
"5722694","2014-10-01",NA,0.177570093457944,NA,NA,NA,NA,NA,NA,60.3896103896104,NA,0.862714285714286,NA,NA
"5722693","2014-10-02",NA,0.22680412371134,0.243124739056428,NA,NA,NA,NA,NA,63.6904761904762,NA,0.874352380952381,NA,NA
"5722692","2014-10-03",NA,0.147727272727273,0.184033829965519,NA,NA,NA,NA,NA,63.6904761904762,NA,0.88443873015873,NA,NA
"5722691","2016-05-26",NA,0.994582881906826,0.456371426115146,0.294509998379031,NA,NA,NA,NA,95.3016320200139,NA,2.0998468994709,NA,NA
"5722690","2016-05-27",NA,0.99566630552546,0.712658820053186,0.451021358711284,NA,NA,NA,NA,95.3064944488961,NA,3.15453397954145,NA,NA
"5722689","2016-05-31",NA,0.995675675675676,0.995308287702654,0.721446177956996,8.80027615853893,-4.19927615853893,2.3005,1.09562307566249,95.3169332653149,NA,4.07126278226925,NA,NA
"5722688","2016-06-01",NA,0.99622030237581,0.995854094525649,0.90127373409383,10.0399454732824,-4.49161213994909,2.77416666666667,1.00115068142241,95.3253307797005,NA,4.86776107796669,NA,NA
"5722687","2016-06-02",NA,0.996763754045308,0.996219910698931,0.995794097642411,11.0973372662186,-4.61067059955197,3.24333333333333,0.934597864032313,95.3343406413218,NA,5.56005960090446,NA,NA
"5722686","2016-06-03",NA,0.997844827586207,0.996942961335775,0.996338988853452,12.0167138869178,-4.61638055358446,3.70016666666667,0.883963430427511,95.3472173071351,NA,6.16271832078387,NA,NA
"5722685","2016-06-06",NA,0.993548387096774,0.99605232290943,0.996405064981379,12.8233030251653,-4.55830302516529,4.1325,0.842172062971527,95.0646680197564,NA,6.68235587801268,NA,NA
"5722684","2016-06-07",NA,0.99247311827957,0.994622110987517,0.995872465077574,13.5249926045574,-4.37265927122411,4.57616666666667,0.807144574317329,94.9132186109768,3.809,7.13137509427766,NA,NA
"5722683","2016-06-08",NA,0.996451612903226,0.99415770609319,0.994944046663379,14.1332742533349,-4.08114092000152,5.02606666666667,0.778274100582696,94.9453056581442,4.19248,7.52545841504064,97.9543258136586,NA
"5722682","2016-06-09",NA,0.997849462365591,0.995591397849462,0.994790404976723,14.6463981207026,-3.67959812070263,5.4834,0.752279145197082,94.9573413915026,4.57128,7.86873062636855,85.3556021373347,NA
"5722681","2016-06-10",77.472745436893,0.997210300429185,0.997170458566,0.995639854169551,15.0660424634193,-3.17597579675261,5.94503333333333,0.729011575021522,94.9712284075056,4.94664,8.16809987618608,75.2259483263318,NA
"5722680","2016-06-13",78.4655210295307,0.996742671009772,0.997267477934849,0.996676444783437,15.3914640747417,-2.57373074140832,6.40886666666667,0.707686772757911,94.9882154741289,5.29984,8.42968655936127,66.8623630499373,NA
