"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5801549","2020-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801548","2020-12-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801547","2020-12-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801546","2020-12-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801545","2020-12-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801544","2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801543","2021-01-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801542","2021-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801541","2021-01-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801540","2021-01-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801539","2021-01-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801538","2021-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801537","2021-01-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5801536","2021-01-13",NA,0.124401913875598,NA,NA,NA,NA,NA,NA,NA,NA,5.40358571428571,NA,NA
"5801535","2021-01-14",NA,0.264473684210526,NA,NA,NA,NA,NA,NA,41.4858645627876,NA,5.41404095238095,NA,NA
"5801534","2021-01-15",NA,0.353591160220994,0.247488919435706,NA,NA,NA,NA,NA,46.0329306404217,NA,5.45483549206349,NA,NA
"5801533","2021-01-19",NA,0.397790055248619,0.33861829989338,NA,NA,NA,NA,NA,47.5094836100186,NA,5.50085742645503,NA,NA
"5801532","2021-01-20",NA,0.276243093922652,0.342541436464088,0.309549551931058,NA,NA,NA,NA,43.9484115898108,NA,5.51140976959436,NA,NA
"5801531","2021-01-21",NA,0.287292817679558,0.320441988950276,0.333867241769248,NA,NA,NA,NA,44.3567357194072,NA,5.52322180031511,NA,NA
"5801530","2021-01-22",NA,0.154696132596685,0.239410681399632,0.300798035604666,6.30061067279354,5.05262932720646,5.67662,0.355804468576669,40.5402031673687,NA,5.50145889360643,NA,NA
"5801529","2021-01-25",NA,0.0386740331491714,0.160220994475138,0.240024554941682,6.16981157353997,5.08109175979336,5.62545166666667,0.262272781237752,37.499800619985,NA,5.45459770779224,NA,NA
"5801528","2021-01-26",NA,0.0497237569060773,0.0810313075506448,0.160220994475138,6.01707160931821,5.13416505734846,5.57561833333333,0.252010372809909,37.9768838308734,NA,5.41665134675327,NA,NA
