"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5923726","2018-06-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923725","2018-06-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923724","2018-07-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923723","2018-07-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923722","2018-07-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923721","2018-07-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923720","2018-07-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923719","2018-07-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923718","2018-07-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923717","2018-07-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923716","2018-07-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923715","2018-07-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923714","2018-07-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5923713","2018-07-18",NA,0.196787148594377,NA,NA,NA,NA,NA,NA,NA,NA,6.113,NA,NA
"5923712","2018-07-19",NA,0.267029972752043,NA,NA,NA,NA,NA,NA,53.8461538461538,NA,6.0446,NA,NA
"5923711","2018-07-20",NA,0.468664850136239,0.310827323827553,NA,NA,NA,NA,NA,57.6628352490421,NA,6.03465333333333,NA,NA
"5923710","2018-07-23",NA,0.0743494423791825,0.270014755089155,NA,NA,NA,NA,NA,54.1441815414418,NA,5.99003288888889,NA,NA
"5923709","2018-07-24",NA,0,0.181004764171807,0.253948947696172,NA,NA,NA,NA,52.1758306380476,NA,5.93069517037037,NA,NA
"5923708","2018-07-25",NA,0,0.0247831474597275,0.158600888906897,NA,NA,NA,NA,49.370073919821,NA,5.84926914765432,NA,NA
"5923707","2018-07-26",NA,0.248615384615385,0.0828717948717949,0.0962199021677766,6.94271563047647,5.35785103619019,6.15028333333333,0.268045378771164,54.138871687196,NA,5.83256659463375,NA,NA
"5923706","2018-07-27",NA,0,0.0828717948717949,0.0635089124011058,7.0155242050989,5.19270912823443,6.10411666666667,-0.0417170466345751,44.3964925988286,NA,5.70155771534925,NA,NA
"5923705","2018-07-30",NA,0,0.0828717948717949,0.0828717948717949,7.07423298655616,5.0460336801105,6.06013333333333,0.01691138198984,43.6226876876543,NA,5.57735001996935,NA,NA
"5923704","2018-07-31",NA,0,3.70074341541719e-17,0.0552478632478633,7.13168285725416,4.92325047607917,6.02746666666667,0.0287154776066783,42.2353516527325,NA,5.45103668397343,NA,NA
"5923703","2018-08-01",NA,0.388104838709678,0.129368279569893,0.0707466914805625,7.04637482330246,4.89855851003087,5.97246666666667,0.326583556347369,51.3917841944163,NA,5.44423179277698,NA,NA
"5923702","2018-08-02",NA,0.228426395939086,0.205510411549588,0.11162623037316,6.98414615249928,4.83145384750072,5.9078,0.209913643851166,47.9874237343774,5.76684,5.39566755374005,NA,NA
"5923701","2018-08-03",NA,0.0923913043478261,0.236307512998863,0.190395401372781,6.91537992507237,4.75388674159429,5.83463333333333,0.170921932376656,45.1679689094082,5.74844,5.31624521324137,-8.43156488818219,NA
"5923700","2018-08-06",NA,0.248520710059172,0.189779470115361,0.210532464887938,6.85145549772324,4.70551116894343,5.77848333333333,0.268796425263226,48.1000201480839,5.72044,5.28074585147586,-8.15229240036841,NA
"5923699","2018-08-07",49.5464333739262,0.25609756097561,0.199003191794202,0.208363391636142,6.75428674814991,4.67901325185009,5.71665,0.289593997717149,48.1000201480839,5.71804,5.24997973794574,-7.84642984939571,NA
"5923698","2018-08-08",49.6114430244632,0.25609756097561,0.253571944003464,0.214118201971009,6.60374335752775,4.67905664247225,5.6414,0.258540790198195,48.1000201480839,5.65604,5.22331577288631,-7.52215805670964,NA
"5923697","2018-08-09",49.8814728981383,0.164634146341464,0.225609756097561,0.226061630631742,6.43481405185358,4.67465261481309,5.55473333333333,0.156433029035041,46.2468114999697,5.59204,5.18020700316814,-7.41675402699287,NA
"5923696","2018-08-10",47.7877334818189,0.306569343065693,0.242433683460922,0.240538461187316,6.25383316947052,4.72816683052947,5.491,0.3507755851619,48.3882818240433,5.53404,5.16284606941239,-7.02514560931065,NA
"5923695","2018-08-13",46.4297229139845,0.0729927007299274,0.181398730045695,0.216480723201393,6.13874006451853,4.7065932688148,5.42266666666667,0.135046722700072,44.3307981325658,5.47324,5.1051332601574,-7.13821077388087,NA
"5923694","2018-08-14",44.4061181834884,0.27007299270073,0.21654501216545,0.213459141890689,6.04598926080262,4.71287740586404,5.37943333333333,0.340398488785123,48.2721016806949,5.41724,5.09111549213641,-6.73282836494593,NA
"5923693","2018-08-15",43.3843179243152,0,0.114355231143552,0.170766324451566,6.01875526121966,4.624111405447,5.32143333333333,0.0400737394867284,42.2996506981164,5.33524,5.01230009318489,-7.13041902833351,-7.48842255534664
"5923692","2018-08-16",41.7307427521436,0.533333333333333,0.267802108678021,0.199567450662341,5.96094704061503,4.63325295938497,5.2971,0.502184238101984,52.4390374300976,5.28124,5.05066008076024,-6.10367405814761,-7.21147285590683
"5923691","2018-08-17",41.222273341733,0.0666666666666664,0.2,0.194052446607191,5.85978169108026,4.61741830891974,5.2386,0.146963194265067,44.9893845912216,5.20524,4.99057206999221,-6.33683629579363,-7.03654554388419
