"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"5928202","2021-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928201","2021-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928200","2021-04-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928199","2021-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928198","2021-04-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928197","2021-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928196","2021-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928195","2021-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928194","2021-04-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928193","2021-04-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928192","2021-04-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928191","2021-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928190","2021-05-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5928189","2021-05-05",NA,0.133333333333342,NA,NA,NA,NA,NA,NA,NA,NA,9.73035714285714,NA,NA
"5928188","2021-05-06",NA,0.266666666666672,NA,NA,NA,NA,NA,NA,41.025641025641,NA,9.73164285714286,NA,NA
"5928187","2021-05-07",NA,0.333333333333337,0.24444444444445,NA,NA,NA,NA,NA,44.1121495327102,NA,9.73409047619048,NA,NA
"5928186","2021-05-10",NA,0.454545454545456,0.351515151515155,NA,NA,NA,NA,NA,44.1121495327102,NA,9.73621174603175,NA,NA
"5928185","2021-05-11",NA,0.181818181818192,0.323232323232328,0.306397306397311,NA,NA,NA,NA,37.316965914726,NA,9.73405017989418,NA,NA
"5928184","2021-05-12",NA,0.0909090909091041,0.242424242424251,0.305723905723912,NA,NA,NA,NA,35.3615561780014,NA,9.73084348924163,NA,NA
"5928183","2021-05-13",NA,0,0.0909090909090988,0.218855218855226,9.80038309660548,9.69595023672785,9.74816666666667,0.230289233679244,35.3615561780014,NA,9.72806435734274,NA,NA
"5928182","2021-05-14",NA,0,0.0303030303030348,0.121212121212128,9.80227767676759,9.68005565656574,9.74116666666667,-0.191364779116283,21.9948994460283,NA,9.71232244303038,NA,NA
"5928181","2021-05-17",NA,0.0499999999999987,0.0166666666666663,0.0459595959596,9.7995202440849,9.66914642258176,9.73433333333333,-0.0701553615312442,25.0460972313422,NA,9.70001278395966,NA,NA
"5928180","2021-05-18",NA,0.1825,0.0774999999999996,0.0414898989899003,9.79128891472755,9.66347775193911,9.72738333333333,0.00669410539388853,32.5729290314921,NA,9.69287774609837,NA,NA
"5928179","2021-05-19",NA,0.119500000000005,0.117333333333335,0.0705000000000003,9.79190026418958,9.65479306914376,9.72334666666667,0.0812522215617847,30.9799570890102,NA,9.68501404661859,NA,NA
"5928178","2021-05-20",NA,0.200000000000004,0.167333333333336,0.120722222222224,9.79521954631467,9.64514045368533,9.72018,0.0545904129913458,35.3318834691545,9.710616,9.68034550706944,NA,NA
"5928177","2021-05-21",NA,0.449999999999997,0.256500000000002,0.180388888888891,9.79521954631467,9.64514045368533,9.72018,0.454379610465955,46.594110535231,9.707616,9.68296610612685,-0.324874948138976,NA
"5928176","2021-05-24",NA,0.399999999999998,0.35,0.257944444444446,9.7947450173707,9.64394831596263,9.71934666666666,0.393808464085711,44.9095469070222,9.704416,9.68390395864327,-0.291540314983496,NA
"5928175","2021-05-25",18.2273063017728,0.222222222222228,0.357407407407408,0.321302469135803,9.79446251318665,9.63989748681335,9.71718,0.259453992456192,38.8578178402072,9.699216,9.67938343082417,-0.295060155872073,NA
"5928174","2021-05-26",17.0951972583967,0.444444444444446,0.355555555555557,0.354320987654322,9.79278673845082,9.63923992821585,9.71601333333333,0.482546039244328,46.6062823328738,9.697616,9.68079897338095,-0.261500744291565,NA
"5928173","2021-05-27",16.7151445221951,0.312500000000004,0.326388888888893,0.346450617283952,9.78810253478967,9.63625746521033,9.71218,0.288073461396217,42.2787276129545,9.696016,9.67802577693015,-0.256950669765543,NA
"5928172","2021-05-28",16.3622384100079,0.5,0.418981481481483,0.366975308641978,9.78259950248587,9.63609383084746,9.70934666666667,0.436202697396357,47.5259269742218,9.695616,9.67962234000613,-0.225735690190265,NA
"5928171","2021-06-01",16.4710507436478,0.375000000000003,0.395833333333336,0.380401234567904,9.77635920424372,9.63533412908961,9.70584666666667,0.363995817913663,44.6141524602388,9.694016,9.67833936133865,-0.215188697017954,NA
"5928170","2021-06-02",16.7829881633823,0.333333333333337,0.40277777777778,0.405864197530866,9.77396862567373,9.63205804099294,9.70301333333333,0.290854219459659,43.1893377935023,9.692016,9.67589411316016,-0.212720171964709,NA
"5928169","2021-06-03",16.7508775590876,0.400000000000002,0.369444444444448,0.389351851851854,9.76769558775588,9.63166441224412,9.69968,0.379831468005995,45.0782626444103,9.690416,9.67510823140548,-0.200122771315869,-0.253743795948939
"5928168","2021-06-04",15.8278395776514,0.42857142857143,0.38730158730159,0.386507936507939,9.76043225935529,9.63359440731138,9.69701333333333,0.523547124289295,46.9768687923709,9.688416,9.67576046721808,-0.179728432428372,-0.238940723244826
"5928167","2021-06-07",14.6993701421245,0.365582870737505,0.398051433102979,0.384932488283006,9.74981906939852,9.63820759726814,9.69401333333333,0.583503960857281,46.9768687923709,9.686016,9.67632573825567,-0.161701093427558,-0.223492797281372
"5928166","2021-06-08",16.4386449461804,0.16696848967765,0.320374262995529,0.368575761133366,9.74981906939852,9.63820759726814,9.69401333333333,1.06135209165723,46.9768687923709,9.683616,9.67681563982158,-0.145733838214612,-0.20794100546802
"5928165","2021-06-09",18.0536858356608,0.269230769230771,0.267260709881975,0.328562135326828,9.75443981601946,9.63558685064721,9.69501333333333,1.01873618079478,54.7856146520801,9.684016,9.68257355451204,-0.0986003996680473,-0.186072884308026
"5928164","2021-06-10",19.5533666616069,0.307692307692308,0.247963855533576,0.278532942803694,9.76155762976901,9.63180237023099,9.69668,1.01368502186847,56.5099835533521,9.684416,9.6888970805771,-0.0523293880364872,-0.159324185053718
"5928163","2021-06-11",20.9459274285569,0.346153846153846,0.307692307692308,0.274305624369287,9.76784282168826,9.62918384497841,9.69851333333333,0.919398258325693,58.2257072128222,9.684416,9.69571080316682,-0.00727247528616859,-0.128913843100208
"5928162","2021-06-14",22.3773324298078,0.346153846153846,0.333333333333333,0.296329832186406,9.77513413571733,9.63222586428267,9.70368,0.894098951968284,58.2257072128222,9.684016,9.70161602941124,0.0280883859812286,-0.0975133972839207
