"","Date","ADX","STOCHFK","STOCHFD","STOCHSD","BBandsUp","BbandsDn","BbandsMiddle","PercentB","RSI","SMA","EMA","MACD","Signal"
"6004779","2000-05-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004778","2000-05-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004777","2000-05-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004776","2000-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004775","2000-06-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004774","2000-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004773","2000-06-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004772","2000-06-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004771","2000-06-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004770","2000-06-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004769","2000-06-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004768","2000-06-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004767","2000-06-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6004766","2000-06-29",NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,115.771428571429,NA,NA
"6004765","2000-06-30",NA,0.65,NA,NA,NA,NA,NA,NA,59.1463414634146,NA,116.335238095238,NA,NA
"6004764","2000-07-06",NA,0.526315789473684,0.632105263157895,NA,NA,NA,NA,NA,55.5017605633803,NA,116.29053968254,NA,NA
"6004763","2000-07-07",NA,0.293333333333333,0.489883040935672,NA,NA,NA,NA,NA,52.7038323045267,NA,115.825134391534,NA,NA
"6004762","2000-07-11",NA,0.0769230769230769,0.298857399910031,0.473615234667866,NA,NA,NA,NA,50.3137690055718,NA,115.048449805996,NA,NA
"6004761","2000-07-12",NA,0,0.123418803418803,0.304053081421502,NA,NA,NA,NA,50.3137690055718,NA,114.375323165197,NA,NA
"6004760","2000-07-13",NA,0,0.0256410256410255,0.149305742989953,136.596211015615,97.6037893177179,117.100000166667,0.335010670795375,50.3137690055718,NA,113.791946743171,NA,NA
"6004759","2000-07-18",NA,0.0833333333333333,0.0277777777777777,0.0589458689458688,136.589070013733,97.8909303195999,117.240000166667,0.402493155231128,52.245760264571,NA,113.553020510748,NA,NA
"6004758","2000-07-26",NA,0,0.0277777777777777,0.027065527065527,135.026639891799,100.906693774868,117.966666833333,0.282141112576037,49.3524781205164,NA,112.972617775982,NA,NA
"6004757","2000-07-28",NA,0.0645161290322578,0.0492831541218636,0.0349462365591396,133.664774386757,103.495225946576,118.580000166667,0.264221413054824,51.0216108222805,NA,112.682935405851,NA,NA
"6004756","2000-08-01",NA,0,0.0215053763440858,0.0328554360812424,133.596195051142,103.643805282192,118.620000166667,0.172146354851243,48.0380120223916,NA,112.058544018404,NA,NA
"6004755","2000-08-02",NA,0.0307692307692307,0.0317617866004961,0.0341834390221485,133.743316119817,103.19001754685,118.466666833333,0.209796740533335,48.9564374000715,113.936,111.624071482617,NA,NA
"6004754","2000-08-03",NA,0,0.0102564102564101,0.0211745244003307,133.873117561874,102.44688277146,118.160000166667,0.231858846930536,48.0419795450186,113.936,111.140861951601,-2.40160236861946,NA
"6004753","2000-08-10",NA,0.869564902331557,0.300111377700263,0.114043191519056,136.00272641089,102.077274255777,119.040000333333,0.91738582982646,67.5966285730351,115.456,113.922080358054,-0.740002857972399,NA
"6004752","2000-08-11",9.03451142832511,0.507246193026742,0.4589370317861,0.256434939914257,136.202785306386,102.037215360281,119.120000333333,0.709177436366693,57.8303964913602,116.496,114.999136310314,-0.144551435644602,NA
"6004751","2000-08-14",9.331732782737,0.405796954421393,0.594202683259897,0.451083697582086,135.288266211028,102.178400788972,118.7333335,0.562418450623579,55.4161528726661,117.104,115.559251468939,0.127485029086749,NA
